,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
13601,20301,,Seychelles,2020-01-22,0.0,0.0
13602,20302,,Seychelles,2020-01-23,0.0,0.0
13603,20303,,Seychelles,2020-01-24,0.0,0.0
13604,20304,,Seychelles,2020-01-25,0.0,0.0
13605,20305,,Seychelles,2020-01-26,0.0,0.0
13606,20306,,Seychelles,2020-01-27,0.0,0.0
13607,20307,,Seychelles,2020-01-28,0.0,0.0
13608,20308,,Seychelles,2020-01-29,0.0,0.0
13609,20309,,Seychelles,2020-01-30,0.0,0.0
13610,20310,,Seychelles,2020-01-31,0.0,0.0
13611,20311,,Seychelles,2020-02-01,0.0,0.0
13612,20312,,Seychelles,2020-02-02,0.0,0.0
13613,20313,,Seychelles,2020-02-03,0.0,0.0
13614,20314,,Seychelles,2020-02-04,0.0,0.0
13615,20315,,Seychelles,2020-02-05,0.0,0.0
13616,20316,,Seychelles,2020-02-06,0.0,0.0
13617,20317,,Seychelles,2020-02-07,0.0,0.0
13618,20318,,Seychelles,2020-02-08,0.0,0.0
13619,20319,,Seychelles,2020-02-09,0.0,0.0
13620,20320,,Seychelles,2020-02-10,0.0,0.0
13621,20321,,Seychelles,2020-02-11,0.0,0.0
13622,20322,,Seychelles,2020-02-12,0.0,0.0
13623,20323,,Seychelles,2020-02-13,0.0,0.0
13624,20324,,Seychelles,2020-02-14,0.0,0.0
13625,20325,,Seychelles,2020-02-15,0.0,0.0
13626,20326,,Seychelles,2020-02-16,0.0,0.0
13627,20327,,Seychelles,2020-02-17,0.0,0.0
13628,20328,,Seychelles,2020-02-18,0.0,0.0
13629,20329,,Seychelles,2020-02-19,0.0,0.0
13630,20330,,Seychelles,2020-02-20,0.0,0.0
13631,20331,,Seychelles,2020-02-21,0.0,0.0
13632,20332,,Seychelles,2020-02-22,0.0,0.0
13633,20333,,Seychelles,2020-02-23,0.0,0.0
13634,20334,,Seychelles,2020-02-24,0.0,0.0
13635,20335,,Seychelles,2020-02-25,0.0,0.0
13636,20336,,Seychelles,2020-02-26,0.0,0.0
13637,20337,,Seychelles,2020-02-27,0.0,0.0
13638,20338,,Seychelles,2020-02-28,0.0,0.0
13639,20339,,Seychelles,2020-02-29,0.0,0.0
13640,20340,,Seychelles,2020-03-01,0.0,0.0
13641,20341,,Seychelles,2020-03-02,0.0,0.0
13642,20342,,Seychelles,2020-03-03,0.0,0.0
13643,20343,,Seychelles,2020-03-04,0.0,0.0
13644,20344,,Seychelles,2020-03-05,0.0,0.0
13645,20345,,Seychelles,2020-03-06,0.0,0.0
13646,20346,,Seychelles,2020-03-07,0.0,0.0
13647,20347,,Seychelles,2020-03-08,0.0,0.0
13648,20348,,Seychelles,2020-03-09,0.0,0.0
13649,20349,,Seychelles,2020-03-10,0.0,0.0
13650,20350,,Seychelles,2020-03-11,0.0,0.0
13651,20351,,Seychelles,2020-03-12,0.0,0.0
13652,20352,,Seychelles,2020-03-13,0.0,0.0
13653,20353,,Seychelles,2020-03-14,2.0,0.0
13654,20354,,Seychelles,2020-03-15,2.0,0.0
13655,20355,,Seychelles,2020-03-16,3.0,0.0
13656,20356,,Seychelles,2020-03-17,4.0,0.0
13657,20357,,Seychelles,2020-03-18,4.0,0.0
13658,20358,,Seychelles,2020-03-19,6.0,0.0
13659,20359,,Seychelles,2020-03-20,7.0,0.0
13660,20360,,Seychelles,2020-03-21,7.0,0.0
13661,20361,,Seychelles,2020-03-22,7.0,0.0
13662,20362,,Seychelles,2020-03-23,7.0,0.0
13663,20363,,Seychelles,2020-03-24,7.0,0.0
13664,20364,,Seychelles,2020-03-25,7.0,0.0
13665,20365,,Seychelles,2020-03-26,7.0,0.0
13666,20366,,Seychelles,2020-03-27,7.0,0.0
13667,20367,,Seychelles,2020-03-28,8.0,0.0
