,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
13668,20401,,Singapore,2020-01-22,0.0,0.0
13669,20402,,Singapore,2020-01-23,1.0,0.0
13670,20403,,Singapore,2020-01-24,3.0,0.0
13671,20404,,Singapore,2020-01-25,3.0,0.0
13672,20405,,Singapore,2020-01-26,4.0,0.0
13673,20406,,Singapore,2020-01-27,5.0,0.0
13674,20407,,Singapore,2020-01-28,7.0,0.0
13675,20408,,Singapore,2020-01-29,7.0,0.0
13676,20409,,Singapore,2020-01-30,10.0,0.0
13677,20410,,Singapore,2020-01-31,13.0,0.0
13678,20411,,Singapore,2020-02-01,16.0,0.0
13679,20412,,Singapore,2020-02-02,18.0,0.0
13680,20413,,Singapore,2020-02-03,18.0,0.0
13681,20414,,Singapore,2020-02-04,24.0,0.0
13682,20415,,Singapore,2020-02-05,28.0,0.0
13683,20416,,Singapore,2020-02-06,28.0,0.0
13684,20417,,Singapore,2020-02-07,30.0,0.0
13685,20418,,Singapore,2020-02-08,33.0,0.0
13686,20419,,Singapore,2020-02-09,40.0,0.0
13687,20420,,Singapore,2020-02-10,45.0,0.0
13688,20421,,Singapore,2020-02-11,47.0,0.0
13689,20422,,Singapore,2020-02-12,50.0,0.0
13690,20423,,Singapore,2020-02-13,58.0,0.0
13691,20424,,Singapore,2020-02-14,67.0,0.0
13692,20425,,Singapore,2020-02-15,72.0,0.0
13693,20426,,Singapore,2020-02-16,75.0,0.0
13694,20427,,Singapore,2020-02-17,77.0,0.0
13695,20428,,Singapore,2020-02-18,81.0,0.0
13696,20429,,Singapore,2020-02-19,84.0,0.0
13697,20430,,Singapore,2020-02-20,84.0,0.0
13698,20431,,Singapore,2020-02-21,85.0,0.0
13699,20432,,Singapore,2020-02-22,85.0,0.0
13700,20433,,Singapore,2020-02-23,89.0,0.0
13701,20434,,Singapore,2020-02-24,89.0,0.0
13702,20435,,Singapore,2020-02-25,91.0,0.0
13703,20436,,Singapore,2020-02-26,93.0,0.0
13704,20437,,Singapore,2020-02-27,93.0,0.0
13705,20438,,Singapore,2020-02-28,93.0,0.0
13706,20439,,Singapore,2020-02-29,102.0,0.0
13707,20440,,Singapore,2020-03-01,106.0,0.0
13708,20441,,Singapore,2020-03-02,108.0,0.0
13709,20442,,Singapore,2020-03-03,110.0,0.0
13710,20443,,Singapore,2020-03-04,110.0,0.0
13711,20444,,Singapore,2020-03-05,117.0,0.0
13712,20445,,Singapore,2020-03-06,130.0,0.0
13713,20446,,Singapore,2020-03-07,138.0,0.0
13714,20447,,Singapore,2020-03-08,150.0,0.0
13715,20448,,Singapore,2020-03-09,150.0,0.0
13716,20449,,Singapore,2020-03-10,160.0,0.0
13717,20450,,Singapore,2020-03-11,178.0,0.0
13718,20451,,Singapore,2020-03-12,178.0,0.0
13719,20452,,Singapore,2020-03-13,200.0,0.0
13720,20453,,Singapore,2020-03-14,212.0,0.0
13721,20454,,Singapore,2020-03-15,226.0,0.0
13722,20455,,Singapore,2020-03-16,243.0,0.0
13723,20456,,Singapore,2020-03-17,266.0,0.0
13724,20457,,Singapore,2020-03-18,313.0,0.0
13725,20458,,Singapore,2020-03-19,345.0,0.0
13726,20459,,Singapore,2020-03-20,385.0,0.0
13727,20460,,Singapore,2020-03-21,432.0,2.0
13728,20461,,Singapore,2020-03-22,455.0,2.0
13729,20462,,Singapore,2020-03-23,509.0,2.0
13730,20463,,Singapore,2020-03-24,558.0,2.0
13731,20464,,Singapore,2020-03-25,631.0,2.0
13732,20465,,Singapore,2020-03-26,683.0,2.0
13733,20466,,Singapore,2020-03-27,732.0,2.0
13734,20467,,Singapore,2020-03-28,802.0,2.0
