,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
13869,20701,,Somalia,2020-01-22,0.0,0.0
13870,20702,,Somalia,2020-01-23,0.0,0.0
13871,20703,,Somalia,2020-01-24,0.0,0.0
13872,20704,,Somalia,2020-01-25,0.0,0.0
13873,20705,,Somalia,2020-01-26,0.0,0.0
13874,20706,,Somalia,2020-01-27,0.0,0.0
13875,20707,,Somalia,2020-01-28,0.0,0.0
13876,20708,,Somalia,2020-01-29,0.0,0.0
13877,20709,,Somalia,2020-01-30,0.0,0.0
13878,20710,,Somalia,2020-01-31,0.0,0.0
13879,20711,,Somalia,2020-02-01,0.0,0.0
13880,20712,,Somalia,2020-02-02,0.0,0.0
13881,20713,,Somalia,2020-02-03,0.0,0.0
13882,20714,,Somalia,2020-02-04,0.0,0.0
13883,20715,,Somalia,2020-02-05,0.0,0.0
13884,20716,,Somalia,2020-02-06,0.0,0.0
13885,20717,,Somalia,2020-02-07,0.0,0.0
13886,20718,,Somalia,2020-02-08,0.0,0.0
13887,20719,,Somalia,2020-02-09,0.0,0.0
13888,20720,,Somalia,2020-02-10,0.0,0.0
13889,20721,,Somalia,2020-02-11,0.0,0.0
13890,20722,,Somalia,2020-02-12,0.0,0.0
13891,20723,,Somalia,2020-02-13,0.0,0.0
13892,20724,,Somalia,2020-02-14,0.0,0.0
13893,20725,,Somalia,2020-02-15,0.0,0.0
13894,20726,,Somalia,2020-02-16,0.0,0.0
13895,20727,,Somalia,2020-02-17,0.0,0.0
13896,20728,,Somalia,2020-02-18,0.0,0.0
13897,20729,,Somalia,2020-02-19,0.0,0.0
13898,20730,,Somalia,2020-02-20,0.0,0.0
13899,20731,,Somalia,2020-02-21,0.0,0.0
13900,20732,,Somalia,2020-02-22,0.0,0.0
13901,20733,,Somalia,2020-02-23,0.0,0.0
13902,20734,,Somalia,2020-02-24,0.0,0.0
13903,20735,,Somalia,2020-02-25,0.0,0.0
13904,20736,,Somalia,2020-02-26,0.0,0.0
13905,20737,,Somalia,2020-02-27,0.0,0.0
13906,20738,,Somalia,2020-02-28,0.0,0.0
13907,20739,,Somalia,2020-02-29,0.0,0.0
13908,20740,,Somalia,2020-03-01,0.0,0.0
13909,20741,,Somalia,2020-03-02,0.0,0.0
13910,20742,,Somalia,2020-03-03,0.0,0.0
13911,20743,,Somalia,2020-03-04,0.0,0.0
13912,20744,,Somalia,2020-03-05,0.0,0.0
13913,20745,,Somalia,2020-03-06,0.0,0.0
13914,20746,,Somalia,2020-03-07,0.0,0.0
13915,20747,,Somalia,2020-03-08,0.0,0.0
13916,20748,,Somalia,2020-03-09,0.0,0.0
13917,20749,,Somalia,2020-03-10,0.0,0.0
13918,20750,,Somalia,2020-03-11,0.0,0.0
13919,20751,,Somalia,2020-03-12,0.0,0.0
13920,20752,,Somalia,2020-03-13,0.0,0.0
13921,20753,,Somalia,2020-03-14,0.0,0.0
13922,20754,,Somalia,2020-03-15,0.0,0.0
13923,20755,,Somalia,2020-03-16,1.0,0.0
13924,20756,,Somalia,2020-03-17,1.0,0.0
13925,20757,,Somalia,2020-03-18,1.0,0.0
13926,20758,,Somalia,2020-03-19,1.0,0.0
13927,20759,,Somalia,2020-03-20,1.0,0.0
13928,20760,,Somalia,2020-03-21,1.0,0.0
13929,20761,,Somalia,2020-03-22,1.0,0.0
13930,20762,,Somalia,2020-03-23,1.0,0.0
13931,20763,,Somalia,2020-03-24,1.0,0.0
13932,20764,,Somalia,2020-03-25,1.0,0.0
13933,20765,,Somalia,2020-03-26,2.0,0.0
13934,20766,,Somalia,2020-03-27,3.0,0.0
13935,20767,,Somalia,2020-03-28,3.0,0.0
