,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
14003,20901,,Spain,2020-01-22,0.0,0.0
14004,20902,,Spain,2020-01-23,0.0,0.0
14005,20903,,Spain,2020-01-24,0.0,0.0
14006,20904,,Spain,2020-01-25,0.0,0.0
14007,20905,,Spain,2020-01-26,0.0,0.0
14008,20906,,Spain,2020-01-27,0.0,0.0
14009,20907,,Spain,2020-01-28,0.0,0.0
14010,20908,,Spain,2020-01-29,0.0,0.0
14011,20909,,Spain,2020-01-30,0.0,0.0
14012,20910,,Spain,2020-01-31,0.0,0.0
14013,20911,,Spain,2020-02-01,1.0,0.0
14014,20912,,Spain,2020-02-02,1.0,0.0
14015,20913,,Spain,2020-02-03,1.0,0.0
14016,20914,,Spain,2020-02-04,1.0,0.0
14017,20915,,Spain,2020-02-05,1.0,0.0
14018,20916,,Spain,2020-02-06,1.0,0.0
14019,20917,,Spain,2020-02-07,1.0,0.0
14020,20918,,Spain,2020-02-08,1.0,0.0
14021,20919,,Spain,2020-02-09,2.0,0.0
14022,20920,,Spain,2020-02-10,2.0,0.0
14023,20921,,Spain,2020-02-11,2.0,0.0
14024,20922,,Spain,2020-02-12,2.0,0.0
14025,20923,,Spain,2020-02-13,2.0,0.0
14026,20924,,Spain,2020-02-14,2.0,0.0
14027,20925,,Spain,2020-02-15,2.0,0.0
14028,20926,,Spain,2020-02-16,2.0,0.0
14029,20927,,Spain,2020-02-17,2.0,0.0
14030,20928,,Spain,2020-02-18,2.0,0.0
14031,20929,,Spain,2020-02-19,2.0,0.0
14032,20930,,Spain,2020-02-20,2.0,0.0
14033,20931,,Spain,2020-02-21,2.0,0.0
14034,20932,,Spain,2020-02-22,2.0,0.0
14035,20933,,Spain,2020-02-23,2.0,0.0
14036,20934,,Spain,2020-02-24,2.0,0.0
14037,20935,,Spain,2020-02-25,6.0,0.0
14038,20936,,Spain,2020-02-26,13.0,0.0
14039,20937,,Spain,2020-02-27,15.0,0.0
14040,20938,,Spain,2020-02-28,32.0,0.0
14041,20939,,Spain,2020-02-29,45.0,0.0
14042,20940,,Spain,2020-03-01,84.0,0.0
14043,20941,,Spain,2020-03-02,120.0,0.0
14044,20942,,Spain,2020-03-03,165.0,1.0
14045,20943,,Spain,2020-03-04,222.0,2.0
14046,20944,,Spain,2020-03-05,259.0,3.0
14047,20945,,Spain,2020-03-06,400.0,5.0
14048,20946,,Spain,2020-03-07,500.0,10.0
14049,20947,,Spain,2020-03-08,673.0,17.0
14050,20948,,Spain,2020-03-09,1073.0,28.0
14051,20949,,Spain,2020-03-10,1695.0,35.0
14052,20950,,Spain,2020-03-11,2277.0,54.0
14053,20951,,Spain,2020-03-12,2277.0,55.0
14054,20952,,Spain,2020-03-13,5232.0,133.0
14055,20953,,Spain,2020-03-14,6391.0,195.0
14056,20954,,Spain,2020-03-15,7798.0,289.0
14057,20955,,Spain,2020-03-16,9942.0,342.0
14058,20956,,Spain,2020-03-17,11748.0,533.0
14059,20957,,Spain,2020-03-18,13910.0,623.0
14060,20958,,Spain,2020-03-19,17963.0,830.0
14061,20959,,Spain,2020-03-20,20410.0,1043.0
14062,20960,,Spain,2020-03-21,25374.0,1375.0
14063,20961,,Spain,2020-03-22,28768.0,1772.0
14064,20962,,Spain,2020-03-23,35136.0,2311.0
14065,20963,,Spain,2020-03-24,39885.0,2808.0
14066,20964,,Spain,2020-03-25,49515.0,3647.0
14067,20965,,Spain,2020-03-26,57786.0,4365.0
14068,20966,,Spain,2020-03-27,65719.0,5138.0
14069,20967,,Spain,2020-03-28,73235.0,5982.0
