,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
14070,21001,,Sri Lanka,2020-01-22,0.0,0.0
14071,21002,,Sri Lanka,2020-01-23,0.0,0.0
14072,21003,,Sri Lanka,2020-01-24,0.0,0.0
14073,21004,,Sri Lanka,2020-01-25,0.0,0.0
14074,21005,,Sri Lanka,2020-01-26,0.0,0.0
14075,21006,,Sri Lanka,2020-01-27,1.0,0.0
14076,21007,,Sri Lanka,2020-01-28,1.0,0.0
14077,21008,,Sri Lanka,2020-01-29,1.0,0.0
14078,21009,,Sri Lanka,2020-01-30,1.0,0.0
14079,21010,,Sri Lanka,2020-01-31,1.0,0.0
14080,21011,,Sri Lanka,2020-02-01,1.0,0.0
14081,21012,,Sri Lanka,2020-02-02,1.0,0.0
14082,21013,,Sri Lanka,2020-02-03,1.0,0.0
14083,21014,,Sri Lanka,2020-02-04,1.0,0.0
14084,21015,,Sri Lanka,2020-02-05,1.0,0.0
14085,21016,,Sri Lanka,2020-02-06,1.0,0.0
14086,21017,,Sri Lanka,2020-02-07,1.0,0.0
14087,21018,,Sri Lanka,2020-02-08,1.0,0.0
14088,21019,,Sri Lanka,2020-02-09,1.0,0.0
14089,21020,,Sri Lanka,2020-02-10,1.0,0.0
14090,21021,,Sri Lanka,2020-02-11,1.0,0.0
14091,21022,,Sri Lanka,2020-02-12,1.0,0.0
14092,21023,,Sri Lanka,2020-02-13,1.0,0.0
14093,21024,,Sri Lanka,2020-02-14,1.0,0.0
14094,21025,,Sri Lanka,2020-02-15,1.0,0.0
14095,21026,,Sri Lanka,2020-02-16,1.0,0.0
14096,21027,,Sri Lanka,2020-02-17,1.0,0.0
14097,21028,,Sri Lanka,2020-02-18,1.0,0.0
14098,21029,,Sri Lanka,2020-02-19,1.0,0.0
14099,21030,,Sri Lanka,2020-02-20,1.0,0.0
14100,21031,,Sri Lanka,2020-02-21,1.0,0.0
14101,21032,,Sri Lanka,2020-02-22,1.0,0.0
14102,21033,,Sri Lanka,2020-02-23,1.0,0.0
14103,21034,,Sri Lanka,2020-02-24,1.0,0.0
14104,21035,,Sri Lanka,2020-02-25,1.0,0.0
14105,21036,,Sri Lanka,2020-02-26,1.0,0.0
14106,21037,,Sri Lanka,2020-02-27,1.0,0.0
14107,21038,,Sri Lanka,2020-02-28,1.0,0.0
14108,21039,,Sri Lanka,2020-02-29,1.0,0.0
14109,21040,,Sri Lanka,2020-03-01,1.0,0.0
14110,21041,,Sri Lanka,2020-03-02,1.0,0.0
14111,21042,,Sri Lanka,2020-03-03,1.0,0.0
14112,21043,,Sri Lanka,2020-03-04,1.0,0.0
14113,21044,,Sri Lanka,2020-03-05,1.0,0.0
14114,21045,,Sri Lanka,2020-03-06,1.0,0.0
14115,21046,,Sri Lanka,2020-03-07,1.0,0.0
14116,21047,,Sri Lanka,2020-03-08,1.0,0.0
14117,21048,,Sri Lanka,2020-03-09,1.0,0.0
14118,21049,,Sri Lanka,2020-03-10,1.0,0.0
14119,21050,,Sri Lanka,2020-03-11,2.0,0.0
14120,21051,,Sri Lanka,2020-03-12,2.0,0.0
14121,21052,,Sri Lanka,2020-03-13,6.0,0.0
14122,21053,,Sri Lanka,2020-03-14,10.0,0.0
14123,21054,,Sri Lanka,2020-03-15,18.0,0.0
14124,21055,,Sri Lanka,2020-03-16,28.0,0.0
14125,21056,,Sri Lanka,2020-03-17,44.0,0.0
14126,21057,,Sri Lanka,2020-03-18,51.0,0.0
14127,21058,,Sri Lanka,2020-03-19,60.0,0.0
14128,21059,,Sri Lanka,2020-03-20,73.0,0.0
14129,21060,,Sri Lanka,2020-03-21,77.0,0.0
14130,21061,,Sri Lanka,2020-03-22,82.0,0.0
14131,21062,,Sri Lanka,2020-03-23,97.0,0.0
14132,21063,,Sri Lanka,2020-03-24,102.0,0.0
14133,21064,,Sri Lanka,2020-03-25,102.0,0.0
14134,21065,,Sri Lanka,2020-03-26,106.0,0.0
14135,21066,,Sri Lanka,2020-03-27,106.0,0.0
14136,21067,,Sri Lanka,2020-03-28,113.0,1.0
