,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
14338,21401,,Switzerland,2020-01-22,0.0,0.0
14339,21402,,Switzerland,2020-01-23,0.0,0.0
14340,21403,,Switzerland,2020-01-24,0.0,0.0
14341,21404,,Switzerland,2020-01-25,0.0,0.0
14342,21405,,Switzerland,2020-01-26,0.0,0.0
14343,21406,,Switzerland,2020-01-27,0.0,0.0
14344,21407,,Switzerland,2020-01-28,0.0,0.0
14345,21408,,Switzerland,2020-01-29,0.0,0.0
14346,21409,,Switzerland,2020-01-30,0.0,0.0
14347,21410,,Switzerland,2020-01-31,0.0,0.0
14348,21411,,Switzerland,2020-02-01,0.0,0.0
14349,21412,,Switzerland,2020-02-02,0.0,0.0
14350,21413,,Switzerland,2020-02-03,0.0,0.0
14351,21414,,Switzerland,2020-02-04,0.0,0.0
14352,21415,,Switzerland,2020-02-05,0.0,0.0
14353,21416,,Switzerland,2020-02-06,0.0,0.0
14354,21417,,Switzerland,2020-02-07,0.0,0.0
14355,21418,,Switzerland,2020-02-08,0.0,0.0
14356,21419,,Switzerland,2020-02-09,0.0,0.0
14357,21420,,Switzerland,2020-02-10,0.0,0.0
14358,21421,,Switzerland,2020-02-11,0.0,0.0
14359,21422,,Switzerland,2020-02-12,0.0,0.0
14360,21423,,Switzerland,2020-02-13,0.0,0.0
14361,21424,,Switzerland,2020-02-14,0.0,0.0
14362,21425,,Switzerland,2020-02-15,0.0,0.0
14363,21426,,Switzerland,2020-02-16,0.0,0.0
14364,21427,,Switzerland,2020-02-17,0.0,0.0
14365,21428,,Switzerland,2020-02-18,0.0,0.0
14366,21429,,Switzerland,2020-02-19,0.0,0.0
14367,21430,,Switzerland,2020-02-20,0.0,0.0
14368,21431,,Switzerland,2020-02-21,0.0,0.0
14369,21432,,Switzerland,2020-02-22,0.0,0.0
14370,21433,,Switzerland,2020-02-23,0.0,0.0
14371,21434,,Switzerland,2020-02-24,0.0,0.0
14372,21435,,Switzerland,2020-02-25,1.0,0.0
14373,21436,,Switzerland,2020-02-26,1.0,0.0
14374,21437,,Switzerland,2020-02-27,8.0,0.0
14375,21438,,Switzerland,2020-02-28,8.0,0.0
14376,21439,,Switzerland,2020-02-29,18.0,0.0
14377,21440,,Switzerland,2020-03-01,27.0,0.0
14378,21441,,Switzerland,2020-03-02,42.0,0.0
14379,21442,,Switzerland,2020-03-03,56.0,0.0
14380,21443,,Switzerland,2020-03-04,90.0,0.0
14381,21444,,Switzerland,2020-03-05,114.0,1.0
14382,21445,,Switzerland,2020-03-06,214.0,1.0
14383,21446,,Switzerland,2020-03-07,268.0,1.0
14384,21447,,Switzerland,2020-03-08,337.0,2.0
14385,21448,,Switzerland,2020-03-09,374.0,2.0
14386,21449,,Switzerland,2020-03-10,491.0,3.0
14387,21450,,Switzerland,2020-03-11,652.0,4.0
14388,21451,,Switzerland,2020-03-12,652.0,4.0
14389,21452,,Switzerland,2020-03-13,1139.0,11.0
14390,21453,,Switzerland,2020-03-14,1359.0,13.0
14391,21454,,Switzerland,2020-03-15,2200.0,14.0
14392,21455,,Switzerland,2020-03-16,2200.0,14.0
14393,21456,,Switzerland,2020-03-17,2700.0,27.0
14394,21457,,Switzerland,2020-03-18,3028.0,28.0
14395,21458,,Switzerland,2020-03-19,4075.0,41.0
14396,21459,,Switzerland,2020-03-20,5294.0,54.0
14397,21460,,Switzerland,2020-03-21,6575.0,75.0
14398,21461,,Switzerland,2020-03-22,7474.0,98.0
14399,21462,,Switzerland,2020-03-23,8795.0,120.0
14400,21463,,Switzerland,2020-03-24,9877.0,122.0
14401,21464,,Switzerland,2020-03-25,10897.0,153.0
14402,21465,,Switzerland,2020-03-26,11811.0,191.0
14403,21466,,Switzerland,2020-03-27,12928.0,231.0
14404,21467,,Switzerland,2020-03-28,14076.0,264.0
