,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
14405,21501,,Syria,2020-01-22,0.0,0.0
14406,21502,,Syria,2020-01-23,0.0,0.0
14407,21503,,Syria,2020-01-24,0.0,0.0
14408,21504,,Syria,2020-01-25,0.0,0.0
14409,21505,,Syria,2020-01-26,0.0,0.0
14410,21506,,Syria,2020-01-27,0.0,0.0
14411,21507,,Syria,2020-01-28,0.0,0.0
14412,21508,,Syria,2020-01-29,0.0,0.0
14413,21509,,Syria,2020-01-30,0.0,0.0
14414,21510,,Syria,2020-01-31,0.0,0.0
14415,21511,,Syria,2020-02-01,0.0,0.0
14416,21512,,Syria,2020-02-02,0.0,0.0
14417,21513,,Syria,2020-02-03,0.0,0.0
14418,21514,,Syria,2020-02-04,0.0,0.0
14419,21515,,Syria,2020-02-05,0.0,0.0
14420,21516,,Syria,2020-02-06,0.0,0.0
14421,21517,,Syria,2020-02-07,0.0,0.0
14422,21518,,Syria,2020-02-08,0.0,0.0
14423,21519,,Syria,2020-02-09,0.0,0.0
14424,21520,,Syria,2020-02-10,0.0,0.0
14425,21521,,Syria,2020-02-11,0.0,0.0
14426,21522,,Syria,2020-02-12,0.0,0.0
14427,21523,,Syria,2020-02-13,0.0,0.0
14428,21524,,Syria,2020-02-14,0.0,0.0
14429,21525,,Syria,2020-02-15,0.0,0.0
14430,21526,,Syria,2020-02-16,0.0,0.0
14431,21527,,Syria,2020-02-17,0.0,0.0
14432,21528,,Syria,2020-02-18,0.0,0.0
14433,21529,,Syria,2020-02-19,0.0,0.0
14434,21530,,Syria,2020-02-20,0.0,0.0
14435,21531,,Syria,2020-02-21,0.0,0.0
14436,21532,,Syria,2020-02-22,0.0,0.0
14437,21533,,Syria,2020-02-23,0.0,0.0
14438,21534,,Syria,2020-02-24,0.0,0.0
14439,21535,,Syria,2020-02-25,0.0,0.0
14440,21536,,Syria,2020-02-26,0.0,0.0
14441,21537,,Syria,2020-02-27,0.0,0.0
14442,21538,,Syria,2020-02-28,0.0,0.0
14443,21539,,Syria,2020-02-29,0.0,0.0
14444,21540,,Syria,2020-03-01,0.0,0.0
14445,21541,,Syria,2020-03-02,0.0,0.0
14446,21542,,Syria,2020-03-03,0.0,0.0
14447,21543,,Syria,2020-03-04,0.0,0.0
14448,21544,,Syria,2020-03-05,0.0,0.0
14449,21545,,Syria,2020-03-06,0.0,0.0
14450,21546,,Syria,2020-03-07,0.0,0.0
14451,21547,,Syria,2020-03-08,0.0,0.0
14452,21548,,Syria,2020-03-09,0.0,0.0
14453,21549,,Syria,2020-03-10,0.0,0.0
14454,21550,,Syria,2020-03-11,0.0,0.0
14455,21551,,Syria,2020-03-12,0.0,0.0
14456,21552,,Syria,2020-03-13,0.0,0.0
14457,21553,,Syria,2020-03-14,0.0,0.0
14458,21554,,Syria,2020-03-15,0.0,0.0
14459,21555,,Syria,2020-03-16,0.0,0.0
14460,21556,,Syria,2020-03-17,0.0,0.0
14461,21557,,Syria,2020-03-18,0.0,0.0
14462,21558,,Syria,2020-03-19,0.0,0.0
14463,21559,,Syria,2020-03-20,0.0,0.0
14464,21560,,Syria,2020-03-21,0.0,0.0
14465,21561,,Syria,2020-03-22,1.0,0.0
14466,21562,,Syria,2020-03-23,1.0,0.0
14467,21563,,Syria,2020-03-24,1.0,0.0
14468,21564,,Syria,2020-03-25,5.0,0.0
14469,21565,,Syria,2020-03-26,5.0,0.0
14470,21566,,Syria,2020-03-27,5.0,0.0
14471,21567,,Syria,2020-03-28,5.0,0.0
