,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
14472,21601,,Taiwan*,2020-01-22,1.0,0.0
14473,21602,,Taiwan*,2020-01-23,1.0,0.0
14474,21603,,Taiwan*,2020-01-24,3.0,0.0
14475,21604,,Taiwan*,2020-01-25,3.0,0.0
14476,21605,,Taiwan*,2020-01-26,4.0,0.0
14477,21606,,Taiwan*,2020-01-27,5.0,0.0
14478,21607,,Taiwan*,2020-01-28,8.0,0.0
14479,21608,,Taiwan*,2020-01-29,8.0,0.0
14480,21609,,Taiwan*,2020-01-30,9.0,0.0
14481,21610,,Taiwan*,2020-01-31,10.0,0.0
14482,21611,,Taiwan*,2020-02-01,10.0,0.0
14483,21612,,Taiwan*,2020-02-02,10.0,0.0
14484,21613,,Taiwan*,2020-02-03,10.0,0.0
14485,21614,,Taiwan*,2020-02-04,11.0,0.0
14486,21615,,Taiwan*,2020-02-05,11.0,0.0
14487,21616,,Taiwan*,2020-02-06,16.0,0.0
14488,21617,,Taiwan*,2020-02-07,16.0,0.0
14489,21618,,Taiwan*,2020-02-08,17.0,0.0
14490,21619,,Taiwan*,2020-02-09,18.0,0.0
14491,21620,,Taiwan*,2020-02-10,18.0,0.0
14492,21621,,Taiwan*,2020-02-11,18.0,0.0
14493,21622,,Taiwan*,2020-02-12,18.0,0.0
14494,21623,,Taiwan*,2020-02-13,18.0,0.0
14495,21624,,Taiwan*,2020-02-14,18.0,0.0
14496,21625,,Taiwan*,2020-02-15,18.0,0.0
14497,21626,,Taiwan*,2020-02-16,20.0,1.0
14498,21627,,Taiwan*,2020-02-17,22.0,1.0
14499,21628,,Taiwan*,2020-02-18,22.0,1.0
14500,21629,,Taiwan*,2020-02-19,23.0,1.0
14501,21630,,Taiwan*,2020-02-20,24.0,1.0
14502,21631,,Taiwan*,2020-02-21,26.0,1.0
14503,21632,,Taiwan*,2020-02-22,26.0,1.0
14504,21633,,Taiwan*,2020-02-23,28.0,1.0
14505,21634,,Taiwan*,2020-02-24,30.0,1.0
14506,21635,,Taiwan*,2020-02-25,31.0,1.0
14507,21636,,Taiwan*,2020-02-26,32.0,1.0
14508,21637,,Taiwan*,2020-02-27,32.0,1.0
14509,21638,,Taiwan*,2020-02-28,34.0,1.0
14510,21639,,Taiwan*,2020-02-29,39.0,1.0
14511,21640,,Taiwan*,2020-03-01,40.0,1.0
14512,21641,,Taiwan*,2020-03-02,41.0,1.0
14513,21642,,Taiwan*,2020-03-03,42.0,1.0
14514,21643,,Taiwan*,2020-03-04,42.0,1.0
14515,21644,,Taiwan*,2020-03-05,44.0,1.0
14516,21645,,Taiwan*,2020-03-06,45.0,1.0
14517,21646,,Taiwan*,2020-03-07,45.0,1.0
14518,21647,,Taiwan*,2020-03-08,45.0,1.0
14519,21648,,Taiwan*,2020-03-09,45.0,1.0
14520,21649,,Taiwan*,2020-03-10,47.0,1.0
14521,21650,,Taiwan*,2020-03-11,48.0,1.0
14522,21651,,Taiwan*,2020-03-12,49.0,1.0
14523,21652,,Taiwan*,2020-03-13,50.0,1.0
14524,21653,,Taiwan*,2020-03-14,53.0,1.0
14525,21654,,Taiwan*,2020-03-15,59.0,1.0
14526,21655,,Taiwan*,2020-03-16,67.0,1.0
14527,21656,,Taiwan*,2020-03-17,77.0,1.0
14528,21657,,Taiwan*,2020-03-18,100.0,1.0
14529,21658,,Taiwan*,2020-03-19,108.0,1.0
14530,21659,,Taiwan*,2020-03-20,135.0,2.0
14531,21660,,Taiwan*,2020-03-21,153.0,2.0
14532,21661,,Taiwan*,2020-03-22,169.0,2.0
14533,21662,,Taiwan*,2020-03-23,195.0,2.0
14534,21663,,Taiwan*,2020-03-24,215.0,2.0
14535,21664,,Taiwan*,2020-03-25,235.0,2.0
14536,21665,,Taiwan*,2020-03-26,252.0,2.0
14537,21666,,Taiwan*,2020-03-27,267.0,2.0
14538,21667,,Taiwan*,2020-03-28,283.0,2.0
