,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
14539,21701,,Tanzania,2020-01-22,0.0,0.0
14540,21702,,Tanzania,2020-01-23,0.0,0.0
14541,21703,,Tanzania,2020-01-24,0.0,0.0
14542,21704,,Tanzania,2020-01-25,0.0,0.0
14543,21705,,Tanzania,2020-01-26,0.0,0.0
14544,21706,,Tanzania,2020-01-27,0.0,0.0
14545,21707,,Tanzania,2020-01-28,0.0,0.0
14546,21708,,Tanzania,2020-01-29,0.0,0.0
14547,21709,,Tanzania,2020-01-30,0.0,0.0
14548,21710,,Tanzania,2020-01-31,0.0,0.0
14549,21711,,Tanzania,2020-02-01,0.0,0.0
14550,21712,,Tanzania,2020-02-02,0.0,0.0
14551,21713,,Tanzania,2020-02-03,0.0,0.0
14552,21714,,Tanzania,2020-02-04,0.0,0.0
14553,21715,,Tanzania,2020-02-05,0.0,0.0
14554,21716,,Tanzania,2020-02-06,0.0,0.0
14555,21717,,Tanzania,2020-02-07,0.0,0.0
14556,21718,,Tanzania,2020-02-08,0.0,0.0
14557,21719,,Tanzania,2020-02-09,0.0,0.0
14558,21720,,Tanzania,2020-02-10,0.0,0.0
14559,21721,,Tanzania,2020-02-11,0.0,0.0
14560,21722,,Tanzania,2020-02-12,0.0,0.0
14561,21723,,Tanzania,2020-02-13,0.0,0.0
14562,21724,,Tanzania,2020-02-14,0.0,0.0
14563,21725,,Tanzania,2020-02-15,0.0,0.0
14564,21726,,Tanzania,2020-02-16,0.0,0.0
14565,21727,,Tanzania,2020-02-17,0.0,0.0
14566,21728,,Tanzania,2020-02-18,0.0,0.0
14567,21729,,Tanzania,2020-02-19,0.0,0.0
14568,21730,,Tanzania,2020-02-20,0.0,0.0
14569,21731,,Tanzania,2020-02-21,0.0,0.0
14570,21732,,Tanzania,2020-02-22,0.0,0.0
14571,21733,,Tanzania,2020-02-23,0.0,0.0
14572,21734,,Tanzania,2020-02-24,0.0,0.0
14573,21735,,Tanzania,2020-02-25,0.0,0.0
14574,21736,,Tanzania,2020-02-26,0.0,0.0
14575,21737,,Tanzania,2020-02-27,0.0,0.0
14576,21738,,Tanzania,2020-02-28,0.0,0.0
14577,21739,,Tanzania,2020-02-29,0.0,0.0
14578,21740,,Tanzania,2020-03-01,0.0,0.0
14579,21741,,Tanzania,2020-03-02,0.0,0.0
14580,21742,,Tanzania,2020-03-03,0.0,0.0
14581,21743,,Tanzania,2020-03-04,0.0,0.0
14582,21744,,Tanzania,2020-03-05,0.0,0.0
14583,21745,,Tanzania,2020-03-06,0.0,0.0
14584,21746,,Tanzania,2020-03-07,0.0,0.0
14585,21747,,Tanzania,2020-03-08,0.0,0.0
14586,21748,,Tanzania,2020-03-09,0.0,0.0
14587,21749,,Tanzania,2020-03-10,0.0,0.0
14588,21750,,Tanzania,2020-03-11,0.0,0.0
14589,21751,,Tanzania,2020-03-12,0.0,0.0
14590,21752,,Tanzania,2020-03-13,0.0,0.0
14591,21753,,Tanzania,2020-03-14,0.0,0.0
14592,21754,,Tanzania,2020-03-15,0.0,0.0
14593,21755,,Tanzania,2020-03-16,1.0,0.0
14594,21756,,Tanzania,2020-03-17,1.0,0.0
14595,21757,,Tanzania,2020-03-18,3.0,0.0
14596,21758,,Tanzania,2020-03-19,6.0,0.0
14597,21759,,Tanzania,2020-03-20,6.0,0.0
14598,21760,,Tanzania,2020-03-21,6.0,0.0
14599,21761,,Tanzania,2020-03-22,12.0,0.0
14600,21762,,Tanzania,2020-03-23,12.0,0.0
14601,21763,,Tanzania,2020-03-24,12.0,0.0
14602,21764,,Tanzania,2020-03-25,12.0,0.0
14603,21765,,Tanzania,2020-03-26,13.0,0.0
14604,21766,,Tanzania,2020-03-27,13.0,0.0
14605,21767,,Tanzania,2020-03-28,14.0,0.0
