,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
14673,21901,,Timor-Leste,2020-01-22,0.0,0.0
14674,21902,,Timor-Leste,2020-01-23,0.0,0.0
14675,21903,,Timor-Leste,2020-01-24,0.0,0.0
14676,21904,,Timor-Leste,2020-01-25,0.0,0.0
14677,21905,,Timor-Leste,2020-01-26,0.0,0.0
14678,21906,,Timor-Leste,2020-01-27,0.0,0.0
14679,21907,,Timor-Leste,2020-01-28,0.0,0.0
14680,21908,,Timor-Leste,2020-01-29,0.0,0.0
14681,21909,,Timor-Leste,2020-01-30,0.0,0.0
14682,21910,,Timor-Leste,2020-01-31,0.0,0.0
14683,21911,,Timor-Leste,2020-02-01,0.0,0.0
14684,21912,,Timor-Leste,2020-02-02,0.0,0.0
14685,21913,,Timor-Leste,2020-02-03,0.0,0.0
14686,21914,,Timor-Leste,2020-02-04,0.0,0.0
14687,21915,,Timor-Leste,2020-02-05,0.0,0.0
14688,21916,,Timor-Leste,2020-02-06,0.0,0.0
14689,21917,,Timor-Leste,2020-02-07,0.0,0.0
14690,21918,,Timor-Leste,2020-02-08,0.0,0.0
14691,21919,,Timor-Leste,2020-02-09,0.0,0.0
14692,21920,,Timor-Leste,2020-02-10,0.0,0.0
14693,21921,,Timor-Leste,2020-02-11,0.0,0.0
14694,21922,,Timor-Leste,2020-02-12,0.0,0.0
14695,21923,,Timor-Leste,2020-02-13,0.0,0.0
14696,21924,,Timor-Leste,2020-02-14,0.0,0.0
14697,21925,,Timor-Leste,2020-02-15,0.0,0.0
14698,21926,,Timor-Leste,2020-02-16,0.0,0.0
14699,21927,,Timor-Leste,2020-02-17,0.0,0.0
14700,21928,,Timor-Leste,2020-02-18,0.0,0.0
14701,21929,,Timor-Leste,2020-02-19,0.0,0.0
14702,21930,,Timor-Leste,2020-02-20,0.0,0.0
14703,21931,,Timor-Leste,2020-02-21,0.0,0.0
14704,21932,,Timor-Leste,2020-02-22,0.0,0.0
14705,21933,,Timor-Leste,2020-02-23,0.0,0.0
14706,21934,,Timor-Leste,2020-02-24,0.0,0.0
14707,21935,,Timor-Leste,2020-02-25,0.0,0.0
14708,21936,,Timor-Leste,2020-02-26,0.0,0.0
14709,21937,,Timor-Leste,2020-02-27,0.0,0.0
14710,21938,,Timor-Leste,2020-02-28,0.0,0.0
14711,21939,,Timor-Leste,2020-02-29,0.0,0.0
14712,21940,,Timor-Leste,2020-03-01,0.0,0.0
14713,21941,,Timor-Leste,2020-03-02,0.0,0.0
14714,21942,,Timor-Leste,2020-03-03,0.0,0.0
14715,21943,,Timor-Leste,2020-03-04,0.0,0.0
14716,21944,,Timor-Leste,2020-03-05,0.0,0.0
14717,21945,,Timor-Leste,2020-03-06,0.0,0.0
14718,21946,,Timor-Leste,2020-03-07,0.0,0.0
14719,21947,,Timor-Leste,2020-03-08,0.0,0.0
14720,21948,,Timor-Leste,2020-03-09,0.0,0.0
14721,21949,,Timor-Leste,2020-03-10,0.0,0.0
14722,21950,,Timor-Leste,2020-03-11,0.0,0.0
14723,21951,,Timor-Leste,2020-03-12,0.0,0.0
14724,21952,,Timor-Leste,2020-03-13,0.0,0.0
14725,21953,,Timor-Leste,2020-03-14,0.0,0.0
14726,21954,,Timor-Leste,2020-03-15,0.0,0.0
14727,21955,,Timor-Leste,2020-03-16,0.0,0.0
14728,21956,,Timor-Leste,2020-03-17,0.0,0.0
14729,21957,,Timor-Leste,2020-03-18,0.0,0.0
14730,21958,,Timor-Leste,2020-03-19,0.0,0.0
14731,21959,,Timor-Leste,2020-03-20,0.0,0.0
14732,21960,,Timor-Leste,2020-03-21,0.0,0.0
14733,21961,,Timor-Leste,2020-03-22,1.0,0.0
14734,21962,,Timor-Leste,2020-03-23,1.0,0.0
14735,21963,,Timor-Leste,2020-03-24,1.0,0.0
14736,21964,,Timor-Leste,2020-03-25,1.0,0.0
14737,21965,,Timor-Leste,2020-03-26,1.0,0.0
14738,21966,,Timor-Leste,2020-03-27,1.0,0.0
14739,21967,,Timor-Leste,2020-03-28,1.0,0.0
