,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
14807,22101,,Trinidad and Tobago,2020-01-22,0.0,0.0
14808,22102,,Trinidad and Tobago,2020-01-23,0.0,0.0
14809,22103,,Trinidad and Tobago,2020-01-24,0.0,0.0
14810,22104,,Trinidad and Tobago,2020-01-25,0.0,0.0
14811,22105,,Trinidad and Tobago,2020-01-26,0.0,0.0
14812,22106,,Trinidad and Tobago,2020-01-27,0.0,0.0
14813,22107,,Trinidad and Tobago,2020-01-28,0.0,0.0
14814,22108,,Trinidad and Tobago,2020-01-29,0.0,0.0
14815,22109,,Trinidad and Tobago,2020-01-30,0.0,0.0
14816,22110,,Trinidad and Tobago,2020-01-31,0.0,0.0
14817,22111,,Trinidad and Tobago,2020-02-01,0.0,0.0
14818,22112,,Trinidad and Tobago,2020-02-02,0.0,0.0
14819,22113,,Trinidad and Tobago,2020-02-03,0.0,0.0
14820,22114,,Trinidad and Tobago,2020-02-04,0.0,0.0
14821,22115,,Trinidad and Tobago,2020-02-05,0.0,0.0
14822,22116,,Trinidad and Tobago,2020-02-06,0.0,0.0
14823,22117,,Trinidad and Tobago,2020-02-07,0.0,0.0
14824,22118,,Trinidad and Tobago,2020-02-08,0.0,0.0
14825,22119,,Trinidad and Tobago,2020-02-09,0.0,0.0
14826,22120,,Trinidad and Tobago,2020-02-10,0.0,0.0
14827,22121,,Trinidad and Tobago,2020-02-11,0.0,0.0
14828,22122,,Trinidad and Tobago,2020-02-12,0.0,0.0
14829,22123,,Trinidad and Tobago,2020-02-13,0.0,0.0
14830,22124,,Trinidad and Tobago,2020-02-14,0.0,0.0
14831,22125,,Trinidad and Tobago,2020-02-15,0.0,0.0
14832,22126,,Trinidad and Tobago,2020-02-16,0.0,0.0
14833,22127,,Trinidad and Tobago,2020-02-17,0.0,0.0
14834,22128,,Trinidad and Tobago,2020-02-18,0.0,0.0
14835,22129,,Trinidad and Tobago,2020-02-19,0.0,0.0
14836,22130,,Trinidad and Tobago,2020-02-20,0.0,0.0
14837,22131,,Trinidad and Tobago,2020-02-21,0.0,0.0
14838,22132,,Trinidad and Tobago,2020-02-22,0.0,0.0
14839,22133,,Trinidad and Tobago,2020-02-23,0.0,0.0
14840,22134,,Trinidad and Tobago,2020-02-24,0.0,0.0
14841,22135,,Trinidad and Tobago,2020-02-25,0.0,0.0
14842,22136,,Trinidad and Tobago,2020-02-26,0.0,0.0
14843,22137,,Trinidad and Tobago,2020-02-27,0.0,0.0
14844,22138,,Trinidad and Tobago,2020-02-28,0.0,0.0
14845,22139,,Trinidad and Tobago,2020-02-29,0.0,0.0
14846,22140,,Trinidad and Tobago,2020-03-01,0.0,0.0
14847,22141,,Trinidad and Tobago,2020-03-02,0.0,0.0
14848,22142,,Trinidad and Tobago,2020-03-03,0.0,0.0
14849,22143,,Trinidad and Tobago,2020-03-04,0.0,0.0
14850,22144,,Trinidad and Tobago,2020-03-05,0.0,0.0
14851,22145,,Trinidad and Tobago,2020-03-06,0.0,0.0
14852,22146,,Trinidad and Tobago,2020-03-07,0.0,0.0
14853,22147,,Trinidad and Tobago,2020-03-08,0.0,0.0
14854,22148,,Trinidad and Tobago,2020-03-09,0.0,0.0
14855,22149,,Trinidad and Tobago,2020-03-10,0.0,0.0
14856,22150,,Trinidad and Tobago,2020-03-11,0.0,0.0
14857,22151,,Trinidad and Tobago,2020-03-12,0.0,0.0
14858,22152,,Trinidad and Tobago,2020-03-13,0.0,0.0
14859,22153,,Trinidad and Tobago,2020-03-14,2.0,0.0
14860,22154,,Trinidad and Tobago,2020-03-15,2.0,0.0
14861,22155,,Trinidad and Tobago,2020-03-16,4.0,0.0
14862,22156,,Trinidad and Tobago,2020-03-17,5.0,0.0
14863,22157,,Trinidad and Tobago,2020-03-18,7.0,0.0
14864,22158,,Trinidad and Tobago,2020-03-19,9.0,0.0
14865,22159,,Trinidad and Tobago,2020-03-20,9.0,0.0
14866,22160,,Trinidad and Tobago,2020-03-21,49.0,0.0
14867,22161,,Trinidad and Tobago,2020-03-22,50.0,0.0
14868,22162,,Trinidad and Tobago,2020-03-23,51.0,0.0
14869,22163,,Trinidad and Tobago,2020-03-24,57.0,0.0
14870,22164,,Trinidad and Tobago,2020-03-25,60.0,1.0
14871,22165,,Trinidad and Tobago,2020-03-26,65.0,1.0
14872,22166,,Trinidad and Tobago,2020-03-27,66.0,2.0
14873,22167,,Trinidad and Tobago,2020-03-28,74.0,3.0
