,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
15008,22401,Alabama,US,2020-01-22,0.0,0.0
15009,22402,Alabama,US,2020-01-23,0.0,0.0
15010,22403,Alabama,US,2020-01-24,0.0,0.0
15011,22404,Alabama,US,2020-01-25,0.0,0.0
15012,22405,Alabama,US,2020-01-26,0.0,0.0
15013,22406,Alabama,US,2020-01-27,0.0,0.0
15014,22407,Alabama,US,2020-01-28,0.0,0.0
15015,22408,Alabama,US,2020-01-29,0.0,0.0
15016,22409,Alabama,US,2020-01-30,0.0,0.0
15017,22410,Alabama,US,2020-01-31,0.0,0.0
15018,22411,Alabama,US,2020-02-01,0.0,0.0
15019,22412,Alabama,US,2020-02-02,0.0,0.0
15020,22413,Alabama,US,2020-02-03,0.0,0.0
15021,22414,Alabama,US,2020-02-04,0.0,0.0
15022,22415,Alabama,US,2020-02-05,0.0,0.0
15023,22416,Alabama,US,2020-02-06,0.0,0.0
15024,22417,Alabama,US,2020-02-07,0.0,0.0
15025,22418,Alabama,US,2020-02-08,0.0,0.0
15026,22419,Alabama,US,2020-02-09,0.0,0.0
15027,22420,Alabama,US,2020-02-10,0.0,0.0
15028,22421,Alabama,US,2020-02-11,0.0,0.0
15029,22422,Alabama,US,2020-02-12,0.0,0.0
15030,22423,Alabama,US,2020-02-13,0.0,0.0
15031,22424,Alabama,US,2020-02-14,0.0,0.0
15032,22425,Alabama,US,2020-02-15,0.0,0.0
15033,22426,Alabama,US,2020-02-16,0.0,0.0
15034,22427,Alabama,US,2020-02-17,0.0,0.0
15035,22428,Alabama,US,2020-02-18,0.0,0.0
15036,22429,Alabama,US,2020-02-19,0.0,0.0
15037,22430,Alabama,US,2020-02-20,0.0,0.0
15038,22431,Alabama,US,2020-02-21,0.0,0.0
15039,22432,Alabama,US,2020-02-22,0.0,0.0
15040,22433,Alabama,US,2020-02-23,0.0,0.0
15041,22434,Alabama,US,2020-02-24,0.0,0.0
15042,22435,Alabama,US,2020-02-25,0.0,0.0
15043,22436,Alabama,US,2020-02-26,0.0,0.0
15044,22437,Alabama,US,2020-02-27,0.0,0.0
15045,22438,Alabama,US,2020-02-28,0.0,0.0
15046,22439,Alabama,US,2020-02-29,0.0,0.0
15047,22440,Alabama,US,2020-03-01,0.0,0.0
15048,22441,Alabama,US,2020-03-02,0.0,0.0
15049,22442,Alabama,US,2020-03-03,0.0,0.0
15050,22443,Alabama,US,2020-03-04,0.0,0.0
15051,22444,Alabama,US,2020-03-05,0.0,0.0
15052,22445,Alabama,US,2020-03-06,0.0,0.0
15053,22446,Alabama,US,2020-03-07,0.0,0.0
15054,22447,Alabama,US,2020-03-08,0.0,0.0
15055,22448,Alabama,US,2020-03-09,0.0,0.0
15056,22449,Alabama,US,2020-03-10,0.0,0.0
15057,22450,Alabama,US,2020-03-11,0.0,0.0
15058,22451,Alabama,US,2020-03-12,0.0,0.0
15059,22452,Alabama,US,2020-03-13,5.0,0.0
15060,22453,Alabama,US,2020-03-14,6.0,0.0
15061,22454,Alabama,US,2020-03-15,12.0,0.0
15062,22455,Alabama,US,2020-03-16,29.0,0.0
15063,22456,Alabama,US,2020-03-17,39.0,0.0
15064,22457,Alabama,US,2020-03-18,46.0,0.0
15065,22458,Alabama,US,2020-03-19,78.0,0.0
15066,22459,Alabama,US,2020-03-20,83.0,0.0
15067,22460,Alabama,US,2020-03-21,131.0,0.0
15068,22461,Alabama,US,2020-03-22,157.0,0.0
15069,22462,Alabama,US,2020-03-23,196.0,0.0
15070,22463,Alabama,US,2020-03-24,242.0,0.0
15071,22464,Alabama,US,2020-03-25,381.0,1.0
15072,22465,Alabama,US,2020-03-26,517.0,1.0
15073,22466,Alabama,US,2020-03-27,587.0,4.0
15074,22467,Alabama,US,2020-03-28,694.0,4.0
