,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
15075,22501,Alaska,US,2020-01-22,0.0,0.0
15076,22502,Alaska,US,2020-01-23,0.0,0.0
15077,22503,Alaska,US,2020-01-24,0.0,0.0
15078,22504,Alaska,US,2020-01-25,0.0,0.0
15079,22505,Alaska,US,2020-01-26,0.0,0.0
15080,22506,Alaska,US,2020-01-27,0.0,0.0
15081,22507,Alaska,US,2020-01-28,0.0,0.0
15082,22508,Alaska,US,2020-01-29,0.0,0.0
15083,22509,Alaska,US,2020-01-30,0.0,0.0
15084,22510,Alaska,US,2020-01-31,0.0,0.0
15085,22511,Alaska,US,2020-02-01,0.0,0.0
15086,22512,Alaska,US,2020-02-02,0.0,0.0
15087,22513,Alaska,US,2020-02-03,0.0,0.0
15088,22514,Alaska,US,2020-02-04,0.0,0.0
15089,22515,Alaska,US,2020-02-05,0.0,0.0
15090,22516,Alaska,US,2020-02-06,0.0,0.0
15091,22517,Alaska,US,2020-02-07,0.0,0.0
15092,22518,Alaska,US,2020-02-08,0.0,0.0
15093,22519,Alaska,US,2020-02-09,0.0,0.0
15094,22520,Alaska,US,2020-02-10,0.0,0.0
15095,22521,Alaska,US,2020-02-11,0.0,0.0
15096,22522,Alaska,US,2020-02-12,0.0,0.0
15097,22523,Alaska,US,2020-02-13,0.0,0.0
15098,22524,Alaska,US,2020-02-14,0.0,0.0
15099,22525,Alaska,US,2020-02-15,0.0,0.0
15100,22526,Alaska,US,2020-02-16,0.0,0.0
15101,22527,Alaska,US,2020-02-17,0.0,0.0
15102,22528,Alaska,US,2020-02-18,0.0,0.0
15103,22529,Alaska,US,2020-02-19,0.0,0.0
15104,22530,Alaska,US,2020-02-20,0.0,0.0
15105,22531,Alaska,US,2020-02-21,0.0,0.0
15106,22532,Alaska,US,2020-02-22,0.0,0.0
15107,22533,Alaska,US,2020-02-23,0.0,0.0
15108,22534,Alaska,US,2020-02-24,0.0,0.0
15109,22535,Alaska,US,2020-02-25,0.0,0.0
15110,22536,Alaska,US,2020-02-26,0.0,0.0
15111,22537,Alaska,US,2020-02-27,0.0,0.0
15112,22538,Alaska,US,2020-02-28,0.0,0.0
15113,22539,Alaska,US,2020-02-29,0.0,0.0
15114,22540,Alaska,US,2020-03-01,0.0,0.0
15115,22541,Alaska,US,2020-03-02,0.0,0.0
15116,22542,Alaska,US,2020-03-03,0.0,0.0
15117,22543,Alaska,US,2020-03-04,0.0,0.0
15118,22544,Alaska,US,2020-03-05,0.0,0.0
15119,22545,Alaska,US,2020-03-06,0.0,0.0
15120,22546,Alaska,US,2020-03-07,0.0,0.0
15121,22547,Alaska,US,2020-03-08,0.0,0.0
15122,22548,Alaska,US,2020-03-09,0.0,0.0
15123,22549,Alaska,US,2020-03-10,0.0,0.0
15124,22550,Alaska,US,2020-03-11,0.0,0.0
15125,22551,Alaska,US,2020-03-12,0.0,0.0
15126,22552,Alaska,US,2020-03-13,1.0,0.0
15127,22553,Alaska,US,2020-03-14,0.0,0.0
15128,22554,Alaska,US,2020-03-15,1.0,0.0
15129,22555,Alaska,US,2020-03-16,1.0,0.0
15130,22556,Alaska,US,2020-03-17,3.0,0.0
15131,22557,Alaska,US,2020-03-18,6.0,0.0
15132,22558,Alaska,US,2020-03-19,9.0,0.0
15133,22559,Alaska,US,2020-03-20,12.0,0.0
15134,22560,Alaska,US,2020-03-21,15.0,0.0
15135,22561,Alaska,US,2020-03-22,20.0,0.0
15136,22562,Alaska,US,2020-03-23,30.0,0.0
15137,22563,Alaska,US,2020-03-24,34.0,0.0
15138,22564,Alaska,US,2020-03-25,41.0,1.0
15139,22565,Alaska,US,2020-03-26,56.0,1.0
15140,22566,Alaska,US,2020-03-27,58.0,1.0
15141,22567,Alaska,US,2020-03-28,85.0,2.0
