,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
15142,22601,Arizona,US,2020-01-22,0.0,0.0
15143,22602,Arizona,US,2020-01-23,0.0,0.0
15144,22603,Arizona,US,2020-01-24,0.0,0.0
15145,22604,Arizona,US,2020-01-25,0.0,0.0
15146,22605,Arizona,US,2020-01-26,0.0,0.0
15147,22606,Arizona,US,2020-01-27,0.0,0.0
15148,22607,Arizona,US,2020-01-28,0.0,0.0
15149,22608,Arizona,US,2020-01-29,0.0,0.0
15150,22609,Arizona,US,2020-01-30,0.0,0.0
15151,22610,Arizona,US,2020-01-31,0.0,0.0
15152,22611,Arizona,US,2020-02-01,0.0,0.0
15153,22612,Arizona,US,2020-02-02,0.0,0.0
15154,22613,Arizona,US,2020-02-03,0.0,0.0
15155,22614,Arizona,US,2020-02-04,0.0,0.0
15156,22615,Arizona,US,2020-02-05,0.0,0.0
15157,22616,Arizona,US,2020-02-06,0.0,0.0
15158,22617,Arizona,US,2020-02-07,0.0,0.0
15159,22618,Arizona,US,2020-02-08,0.0,0.0
15160,22619,Arizona,US,2020-02-09,0.0,0.0
15161,22620,Arizona,US,2020-02-10,0.0,0.0
15162,22621,Arizona,US,2020-02-11,0.0,0.0
15163,22622,Arizona,US,2020-02-12,0.0,0.0
15164,22623,Arizona,US,2020-02-13,0.0,0.0
15165,22624,Arizona,US,2020-02-14,0.0,0.0
15166,22625,Arizona,US,2020-02-15,0.0,0.0
15167,22626,Arizona,US,2020-02-16,0.0,0.0
15168,22627,Arizona,US,2020-02-17,0.0,0.0
15169,22628,Arizona,US,2020-02-18,0.0,0.0
15170,22629,Arizona,US,2020-02-19,0.0,0.0
15171,22630,Arizona,US,2020-02-20,0.0,0.0
15172,22631,Arizona,US,2020-02-21,0.0,0.0
15173,22632,Arizona,US,2020-02-22,0.0,0.0
15174,22633,Arizona,US,2020-02-23,0.0,0.0
15175,22634,Arizona,US,2020-02-24,0.0,0.0
15176,22635,Arizona,US,2020-02-25,0.0,0.0
15177,22636,Arizona,US,2020-02-26,0.0,0.0
15178,22637,Arizona,US,2020-02-27,0.0,0.0
15179,22638,Arizona,US,2020-02-28,0.0,0.0
15180,22639,Arizona,US,2020-02-29,0.0,0.0
15181,22640,Arizona,US,2020-03-01,0.0,0.0
15182,22641,Arizona,US,2020-03-02,0.0,0.0
15183,22642,Arizona,US,2020-03-03,0.0,0.0
15184,22643,Arizona,US,2020-03-04,0.0,0.0
15185,22644,Arizona,US,2020-03-05,0.0,0.0
15186,22645,Arizona,US,2020-03-06,0.0,0.0
15187,22646,Arizona,US,2020-03-07,0.0,0.0
15188,22647,Arizona,US,2020-03-08,0.0,0.0
15189,22648,Arizona,US,2020-03-09,0.0,0.0
15190,22649,Arizona,US,2020-03-10,6.0,0.0
15191,22650,Arizona,US,2020-03-11,9.0,0.0
15192,22651,Arizona,US,2020-03-12,9.0,0.0
15193,22652,Arizona,US,2020-03-13,9.0,0.0
15194,22653,Arizona,US,2020-03-14,12.0,0.0
15195,22654,Arizona,US,2020-03-15,13.0,0.0
15196,22655,Arizona,US,2020-03-16,18.0,0.0
15197,22656,Arizona,US,2020-03-17,20.0,0.0
15198,22657,Arizona,US,2020-03-18,27.0,0.0
15199,22658,Arizona,US,2020-03-19,45.0,0.0
15200,22659,Arizona,US,2020-03-20,78.0,0.0
15201,22660,Arizona,US,2020-03-21,118.0,1.0
15202,22661,Arizona,US,2020-03-22,152.0,2.0
15203,22662,Arizona,US,2020-03-23,235.0,2.0
15204,22663,Arizona,US,2020-03-24,326.0,5.0
15205,22664,Arizona,US,2020-03-25,401.0,6.0
15206,22665,Arizona,US,2020-03-26,508.0,8.0
15207,22666,Arizona,US,2020-03-27,665.0,13.0
15208,22667,Arizona,US,2020-03-28,773.0,15.0
