,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
15276,22801,California,US,2020-01-22,0.0,0.0
15277,22802,California,US,2020-01-23,0.0,0.0
15278,22803,California,US,2020-01-24,0.0,0.0
15279,22804,California,US,2020-01-25,0.0,0.0
15280,22805,California,US,2020-01-26,0.0,0.0
15281,22806,California,US,2020-01-27,0.0,0.0
15282,22807,California,US,2020-01-28,0.0,0.0
15283,22808,California,US,2020-01-29,0.0,0.0
15284,22809,California,US,2020-01-30,0.0,0.0
15285,22810,California,US,2020-01-31,0.0,0.0
15286,22811,California,US,2020-02-01,0.0,0.0
15287,22812,California,US,2020-02-02,0.0,0.0
15288,22813,California,US,2020-02-03,0.0,0.0
15289,22814,California,US,2020-02-04,0.0,0.0
15290,22815,California,US,2020-02-05,0.0,0.0
15291,22816,California,US,2020-02-06,0.0,0.0
15292,22817,California,US,2020-02-07,0.0,0.0
15293,22818,California,US,2020-02-08,0.0,0.0
15294,22819,California,US,2020-02-09,0.0,0.0
15295,22820,California,US,2020-02-10,0.0,0.0
15296,22821,California,US,2020-02-11,0.0,0.0
15297,22822,California,US,2020-02-12,0.0,0.0
15298,22823,California,US,2020-02-13,0.0,0.0
15299,22824,California,US,2020-02-14,0.0,0.0
15300,22825,California,US,2020-02-15,0.0,0.0
15301,22826,California,US,2020-02-16,0.0,0.0
15302,22827,California,US,2020-02-17,0.0,0.0
15303,22828,California,US,2020-02-18,0.0,0.0
15304,22829,California,US,2020-02-19,0.0,0.0
15305,22830,California,US,2020-02-20,0.0,0.0
15306,22831,California,US,2020-02-21,0.0,0.0
15307,22832,California,US,2020-02-22,0.0,0.0
15308,22833,California,US,2020-02-23,0.0,0.0
15309,22834,California,US,2020-02-24,0.0,0.0
15310,22835,California,US,2020-02-25,0.0,0.0
15311,22836,California,US,2020-02-26,0.0,0.0
15312,22837,California,US,2020-02-27,0.0,0.0
15313,22838,California,US,2020-02-28,0.0,0.0
15314,22839,California,US,2020-02-29,0.0,0.0
15315,22840,California,US,2020-03-01,0.0,0.0
15316,22841,California,US,2020-03-02,0.0,0.0
15317,22842,California,US,2020-03-03,0.0,0.0
15318,22843,California,US,2020-03-04,0.0,0.0
15319,22844,California,US,2020-03-05,0.0,0.0
15320,22845,California,US,2020-03-06,0.0,0.0
15321,22846,California,US,2020-03-07,0.0,0.0
15322,22847,California,US,2020-03-08,0.0,0.0
15323,22848,California,US,2020-03-09,0.0,0.0
15324,22849,California,US,2020-03-10,144.0,2.0
15325,22850,California,US,2020-03-11,177.0,3.0
15326,22851,California,US,2020-03-12,221.0,4.0
15327,22852,California,US,2020-03-13,282.0,4.0
15328,22853,California,US,2020-03-14,340.0,5.0
15329,22854,California,US,2020-03-15,426.0,6.0
15330,22855,California,US,2020-03-16,557.0,7.0
15331,22856,California,US,2020-03-17,698.0,12.0
15332,22857,California,US,2020-03-18,751.0,13.0
15333,22858,California,US,2020-03-19,952.0,18.0
15334,22859,California,US,2020-03-20,1177.0,23.0
15335,22860,California,US,2020-03-21,1364.0,24.0
15336,22861,California,US,2020-03-22,1646.0,30.0
15337,22862,California,US,2020-03-23,2108.0,39.0
15338,22863,California,US,2020-03-24,2538.0,50.0
15339,22864,California,US,2020-03-25,2998.0,65.0
15340,22865,California,US,2020-03-26,3899.0,81.0
15341,22866,California,US,2020-03-27,4657.0,94.0
15342,22867,California,US,2020-03-28,5095.0,110.0
