,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
15343,22901,Colorado,US,2020-01-22,0.0,0.0
15344,22902,Colorado,US,2020-01-23,0.0,0.0
15345,22903,Colorado,US,2020-01-24,0.0,0.0
15346,22904,Colorado,US,2020-01-25,0.0,0.0
15347,22905,Colorado,US,2020-01-26,0.0,0.0
15348,22906,Colorado,US,2020-01-27,0.0,0.0
15349,22907,Colorado,US,2020-01-28,0.0,0.0
15350,22908,Colorado,US,2020-01-29,0.0,0.0
15351,22909,Colorado,US,2020-01-30,0.0,0.0
15352,22910,Colorado,US,2020-01-31,0.0,0.0
15353,22911,Colorado,US,2020-02-01,0.0,0.0
15354,22912,Colorado,US,2020-02-02,0.0,0.0
15355,22913,Colorado,US,2020-02-03,0.0,0.0
15356,22914,Colorado,US,2020-02-04,0.0,0.0
15357,22915,Colorado,US,2020-02-05,0.0,0.0
15358,22916,Colorado,US,2020-02-06,0.0,0.0
15359,22917,Colorado,US,2020-02-07,0.0,0.0
15360,22918,Colorado,US,2020-02-08,0.0,0.0
15361,22919,Colorado,US,2020-02-09,0.0,0.0
15362,22920,Colorado,US,2020-02-10,0.0,0.0
15363,22921,Colorado,US,2020-02-11,0.0,0.0
15364,22922,Colorado,US,2020-02-12,0.0,0.0
15365,22923,Colorado,US,2020-02-13,0.0,0.0
15366,22924,Colorado,US,2020-02-14,0.0,0.0
15367,22925,Colorado,US,2020-02-15,0.0,0.0
15368,22926,Colorado,US,2020-02-16,0.0,0.0
15369,22927,Colorado,US,2020-02-17,0.0,0.0
15370,22928,Colorado,US,2020-02-18,0.0,0.0
15371,22929,Colorado,US,2020-02-19,0.0,0.0
15372,22930,Colorado,US,2020-02-20,0.0,0.0
15373,22931,Colorado,US,2020-02-21,0.0,0.0
15374,22932,Colorado,US,2020-02-22,0.0,0.0
15375,22933,Colorado,US,2020-02-23,0.0,0.0
15376,22934,Colorado,US,2020-02-24,0.0,0.0
15377,22935,Colorado,US,2020-02-25,0.0,0.0
15378,22936,Colorado,US,2020-02-26,0.0,0.0
15379,22937,Colorado,US,2020-02-27,0.0,0.0
15380,22938,Colorado,US,2020-02-28,0.0,0.0
15381,22939,Colorado,US,2020-02-29,0.0,0.0
15382,22940,Colorado,US,2020-03-01,0.0,0.0
15383,22941,Colorado,US,2020-03-02,0.0,0.0
15384,22942,Colorado,US,2020-03-03,0.0,0.0
15385,22943,Colorado,US,2020-03-04,0.0,0.0
15386,22944,Colorado,US,2020-03-05,0.0,0.0
15387,22945,Colorado,US,2020-03-06,0.0,0.0
15388,22946,Colorado,US,2020-03-07,0.0,0.0
15389,22947,Colorado,US,2020-03-08,0.0,0.0
15390,22948,Colorado,US,2020-03-09,0.0,0.0
15391,22949,Colorado,US,2020-03-10,15.0,0.0
15392,22950,Colorado,US,2020-03-11,34.0,0.0
15393,22951,Colorado,US,2020-03-12,45.0,0.0
15394,22952,Colorado,US,2020-03-13,49.0,0.0
15395,22953,Colorado,US,2020-03-14,101.0,1.0
15396,22954,Colorado,US,2020-03-15,131.0,1.0
15397,22955,Colorado,US,2020-03-16,160.0,1.0
15398,22956,Colorado,US,2020-03-17,160.0,2.0
15399,22957,Colorado,US,2020-03-18,184.0,2.0
15400,22958,Colorado,US,2020-03-19,277.0,4.0
15401,22959,Colorado,US,2020-03-20,363.0,4.0
15402,22960,Colorado,US,2020-03-21,390.0,4.0
15403,22961,Colorado,US,2020-03-22,591.0,6.0
15404,22962,Colorado,US,2020-03-23,704.0,7.0
15405,22963,Colorado,US,2020-03-24,723.0,8.0
15406,22964,Colorado,US,2020-03-25,1021.0,16.0
15407,22965,Colorado,US,2020-03-26,1430.0,19.0
15408,22966,Colorado,US,2020-03-27,1433.0,27.0
15409,22967,Colorado,US,2020-03-28,1740.0,31.0
