,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
15544,23201,District of Columbia,US,2020-01-22,0.0,0.0
15545,23202,District of Columbia,US,2020-01-23,0.0,0.0
15546,23203,District of Columbia,US,2020-01-24,0.0,0.0
15547,23204,District of Columbia,US,2020-01-25,0.0,0.0
15548,23205,District of Columbia,US,2020-01-26,0.0,0.0
15549,23206,District of Columbia,US,2020-01-27,0.0,0.0
15550,23207,District of Columbia,US,2020-01-28,0.0,0.0
15551,23208,District of Columbia,US,2020-01-29,0.0,0.0
15552,23209,District of Columbia,US,2020-01-30,0.0,0.0
15553,23210,District of Columbia,US,2020-01-31,0.0,0.0
15554,23211,District of Columbia,US,2020-02-01,0.0,0.0
15555,23212,District of Columbia,US,2020-02-02,0.0,0.0
15556,23213,District of Columbia,US,2020-02-03,0.0,0.0
15557,23214,District of Columbia,US,2020-02-04,0.0,0.0
15558,23215,District of Columbia,US,2020-02-05,0.0,0.0
15559,23216,District of Columbia,US,2020-02-06,0.0,0.0
15560,23217,District of Columbia,US,2020-02-07,0.0,0.0
15561,23218,District of Columbia,US,2020-02-08,0.0,0.0
15562,23219,District of Columbia,US,2020-02-09,0.0,0.0
15563,23220,District of Columbia,US,2020-02-10,0.0,0.0
15564,23221,District of Columbia,US,2020-02-11,0.0,0.0
15565,23222,District of Columbia,US,2020-02-12,0.0,0.0
15566,23223,District of Columbia,US,2020-02-13,0.0,0.0
15567,23224,District of Columbia,US,2020-02-14,0.0,0.0
15568,23225,District of Columbia,US,2020-02-15,0.0,0.0
15569,23226,District of Columbia,US,2020-02-16,0.0,0.0
15570,23227,District of Columbia,US,2020-02-17,0.0,0.0
15571,23228,District of Columbia,US,2020-02-18,0.0,0.0
15572,23229,District of Columbia,US,2020-02-19,0.0,0.0
15573,23230,District of Columbia,US,2020-02-20,0.0,0.0
15574,23231,District of Columbia,US,2020-02-21,0.0,0.0
15575,23232,District of Columbia,US,2020-02-22,0.0,0.0
15576,23233,District of Columbia,US,2020-02-23,0.0,0.0
15577,23234,District of Columbia,US,2020-02-24,0.0,0.0
15578,23235,District of Columbia,US,2020-02-25,0.0,0.0
15579,23236,District of Columbia,US,2020-02-26,0.0,0.0
15580,23237,District of Columbia,US,2020-02-27,0.0,0.0
15581,23238,District of Columbia,US,2020-02-28,0.0,0.0
15582,23239,District of Columbia,US,2020-02-29,0.0,0.0
15583,23240,District of Columbia,US,2020-03-01,0.0,0.0
15584,23241,District of Columbia,US,2020-03-02,0.0,0.0
15585,23242,District of Columbia,US,2020-03-03,0.0,0.0
15586,23243,District of Columbia,US,2020-03-04,0.0,0.0
15587,23244,District of Columbia,US,2020-03-05,0.0,0.0
15588,23245,District of Columbia,US,2020-03-06,0.0,0.0
15589,23246,District of Columbia,US,2020-03-07,0.0,0.0
15590,23247,District of Columbia,US,2020-03-08,0.0,0.0
15591,23248,District of Columbia,US,2020-03-09,0.0,0.0
15592,23249,District of Columbia,US,2020-03-10,5.0,0.0
15593,23250,District of Columbia,US,2020-03-11,10.0,0.0
15594,23251,District of Columbia,US,2020-03-12,10.0,0.0
15595,23252,District of Columbia,US,2020-03-13,10.0,0.0
15596,23253,District of Columbia,US,2020-03-14,10.0,0.0
15597,23254,District of Columbia,US,2020-03-15,16.0,0.0
15598,23255,District of Columbia,US,2020-03-16,22.0,0.0
15599,23256,District of Columbia,US,2020-03-17,22.0,0.0
15600,23257,District of Columbia,US,2020-03-18,31.0,0.0
15601,23258,District of Columbia,US,2020-03-19,40.0,0.0
15602,23259,District of Columbia,US,2020-03-20,71.0,1.0
15603,23260,District of Columbia,US,2020-03-21,77.0,1.0
15604,23261,District of Columbia,US,2020-03-22,102.0,2.0
15605,23262,District of Columbia,US,2020-03-23,120.0,2.0
15606,23263,District of Columbia,US,2020-03-24,141.0,2.0
15607,23264,District of Columbia,US,2020-03-25,187.0,2.0
15608,23265,District of Columbia,US,2020-03-26,231.0,3.0
15609,23266,District of Columbia,US,2020-03-27,271.0,3.0
15610,23267,District of Columbia,US,2020-03-28,304.0,4.0
