,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
15745,23501,Guam,US,2020-01-22,0.0,0.0
15746,23502,Guam,US,2020-01-23,0.0,0.0
15747,23503,Guam,US,2020-01-24,0.0,0.0
15748,23504,Guam,US,2020-01-25,0.0,0.0
15749,23505,Guam,US,2020-01-26,0.0,0.0
15750,23506,Guam,US,2020-01-27,0.0,0.0
15751,23507,Guam,US,2020-01-28,0.0,0.0
15752,23508,Guam,US,2020-01-29,0.0,0.0
15753,23509,Guam,US,2020-01-30,0.0,0.0
15754,23510,Guam,US,2020-01-31,0.0,0.0
15755,23511,Guam,US,2020-02-01,0.0,0.0
15756,23512,Guam,US,2020-02-02,0.0,0.0
15757,23513,Guam,US,2020-02-03,0.0,0.0
15758,23514,Guam,US,2020-02-04,0.0,0.0
15759,23515,Guam,US,2020-02-05,0.0,0.0
15760,23516,Guam,US,2020-02-06,0.0,0.0
15761,23517,Guam,US,2020-02-07,0.0,0.0
15762,23518,Guam,US,2020-02-08,0.0,0.0
15763,23519,Guam,US,2020-02-09,0.0,0.0
15764,23520,Guam,US,2020-02-10,0.0,0.0
15765,23521,Guam,US,2020-02-11,0.0,0.0
15766,23522,Guam,US,2020-02-12,0.0,0.0
15767,23523,Guam,US,2020-02-13,0.0,0.0
15768,23524,Guam,US,2020-02-14,0.0,0.0
15769,23525,Guam,US,2020-02-15,0.0,0.0
15770,23526,Guam,US,2020-02-16,0.0,0.0
15771,23527,Guam,US,2020-02-17,0.0,0.0
15772,23528,Guam,US,2020-02-18,0.0,0.0
15773,23529,Guam,US,2020-02-19,0.0,0.0
15774,23530,Guam,US,2020-02-20,0.0,0.0
15775,23531,Guam,US,2020-02-21,0.0,0.0
15776,23532,Guam,US,2020-02-22,0.0,0.0
15777,23533,Guam,US,2020-02-23,0.0,0.0
15778,23534,Guam,US,2020-02-24,0.0,0.0
15779,23535,Guam,US,2020-02-25,0.0,0.0
15780,23536,Guam,US,2020-02-26,0.0,0.0
15781,23537,Guam,US,2020-02-27,0.0,0.0
15782,23538,Guam,US,2020-02-28,0.0,0.0
15783,23539,Guam,US,2020-02-29,0.0,0.0
15784,23540,Guam,US,2020-03-01,0.0,0.0
15785,23541,Guam,US,2020-03-02,0.0,0.0
15786,23542,Guam,US,2020-03-03,0.0,0.0
15787,23543,Guam,US,2020-03-04,0.0,0.0
15788,23544,Guam,US,2020-03-05,0.0,0.0
15789,23545,Guam,US,2020-03-06,0.0,0.0
15790,23546,Guam,US,2020-03-07,0.0,0.0
15791,23547,Guam,US,2020-03-08,0.0,0.0
15792,23548,Guam,US,2020-03-09,0.0,0.0
15793,23549,Guam,US,2020-03-10,0.0,0.0
15794,23550,Guam,US,2020-03-11,0.0,0.0
15795,23551,Guam,US,2020-03-12,0.0,0.0
15796,23552,Guam,US,2020-03-13,0.0,0.0
15797,23553,Guam,US,2020-03-14,0.0,0.0
15798,23554,Guam,US,2020-03-15,3.0,0.0
15799,23555,Guam,US,2020-03-16,3.0,0.0
15800,23556,Guam,US,2020-03-17,3.0,0.0
15801,23557,Guam,US,2020-03-18,5.0,0.0
15802,23558,Guam,US,2020-03-19,12.0,0.0
15803,23559,Guam,US,2020-03-20,14.0,0.0
15804,23560,Guam,US,2020-03-21,15.0,0.0
15805,23561,Guam,US,2020-03-22,27.0,1.0
15806,23562,Guam,US,2020-03-23,29.0,1.0
15807,23563,Guam,US,2020-03-24,32.0,1.0
15808,23564,Guam,US,2020-03-25,37.0,1.0
15809,23565,Guam,US,2020-03-26,45.0,1.0
15810,23566,Guam,US,2020-03-27,51.0,1.0
15811,23567,Guam,US,2020-03-28,55.0,1.0
