,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
15812,23601,Hawaii,US,2020-01-22,0.0,0.0
15813,23602,Hawaii,US,2020-01-23,0.0,0.0
15814,23603,Hawaii,US,2020-01-24,0.0,0.0
15815,23604,Hawaii,US,2020-01-25,0.0,0.0
15816,23605,Hawaii,US,2020-01-26,0.0,0.0
15817,23606,Hawaii,US,2020-01-27,0.0,0.0
15818,23607,Hawaii,US,2020-01-28,0.0,0.0
15819,23608,Hawaii,US,2020-01-29,0.0,0.0
15820,23609,Hawaii,US,2020-01-30,0.0,0.0
15821,23610,Hawaii,US,2020-01-31,0.0,0.0
15822,23611,Hawaii,US,2020-02-01,0.0,0.0
15823,23612,Hawaii,US,2020-02-02,0.0,0.0
15824,23613,Hawaii,US,2020-02-03,0.0,0.0
15825,23614,Hawaii,US,2020-02-04,0.0,0.0
15826,23615,Hawaii,US,2020-02-05,0.0,0.0
15827,23616,Hawaii,US,2020-02-06,0.0,0.0
15828,23617,Hawaii,US,2020-02-07,0.0,0.0
15829,23618,Hawaii,US,2020-02-08,0.0,0.0
15830,23619,Hawaii,US,2020-02-09,0.0,0.0
15831,23620,Hawaii,US,2020-02-10,0.0,0.0
15832,23621,Hawaii,US,2020-02-11,0.0,0.0
15833,23622,Hawaii,US,2020-02-12,0.0,0.0
15834,23623,Hawaii,US,2020-02-13,0.0,0.0
15835,23624,Hawaii,US,2020-02-14,0.0,0.0
15836,23625,Hawaii,US,2020-02-15,0.0,0.0
15837,23626,Hawaii,US,2020-02-16,0.0,0.0
15838,23627,Hawaii,US,2020-02-17,0.0,0.0
15839,23628,Hawaii,US,2020-02-18,0.0,0.0
15840,23629,Hawaii,US,2020-02-19,0.0,0.0
15841,23630,Hawaii,US,2020-02-20,0.0,0.0
15842,23631,Hawaii,US,2020-02-21,0.0,0.0
15843,23632,Hawaii,US,2020-02-22,0.0,0.0
15844,23633,Hawaii,US,2020-02-23,0.0,0.0
15845,23634,Hawaii,US,2020-02-24,0.0,0.0
15846,23635,Hawaii,US,2020-02-25,0.0,0.0
15847,23636,Hawaii,US,2020-02-26,0.0,0.0
15848,23637,Hawaii,US,2020-02-27,0.0,0.0
15849,23638,Hawaii,US,2020-02-28,0.0,0.0
15850,23639,Hawaii,US,2020-02-29,0.0,0.0
15851,23640,Hawaii,US,2020-03-01,0.0,0.0
15852,23641,Hawaii,US,2020-03-02,0.0,0.0
15853,23642,Hawaii,US,2020-03-03,0.0,0.0
15854,23643,Hawaii,US,2020-03-04,0.0,0.0
15855,23644,Hawaii,US,2020-03-05,0.0,0.0
15856,23645,Hawaii,US,2020-03-06,0.0,0.0
15857,23646,Hawaii,US,2020-03-07,0.0,0.0
15858,23647,Hawaii,US,2020-03-08,0.0,0.0
15859,23648,Hawaii,US,2020-03-09,0.0,0.0
15860,23649,Hawaii,US,2020-03-10,2.0,0.0
15861,23650,Hawaii,US,2020-03-11,2.0,0.0
15862,23651,Hawaii,US,2020-03-12,2.0,0.0
15863,23652,Hawaii,US,2020-03-13,2.0,0.0
15864,23653,Hawaii,US,2020-03-14,4.0,0.0
15865,23654,Hawaii,US,2020-03-15,6.0,0.0
15866,23655,Hawaii,US,2020-03-16,7.0,0.0
15867,23656,Hawaii,US,2020-03-17,10.0,0.0
15868,23657,Hawaii,US,2020-03-18,14.0,0.0
15869,23658,Hawaii,US,2020-03-19,16.0,0.0
15870,23659,Hawaii,US,2020-03-20,26.0,0.0
15871,23660,Hawaii,US,2020-03-21,37.0,0.0
15872,23661,Hawaii,US,2020-03-22,53.0,0.0
15873,23662,Hawaii,US,2020-03-23,56.0,0.0
15874,23663,Hawaii,US,2020-03-24,90.0,1.0
15875,23664,Hawaii,US,2020-03-25,91.0,0.0
15876,23665,Hawaii,US,2020-03-26,95.0,0.0
15877,23666,Hawaii,US,2020-03-27,106.0,0.0
15878,23667,Hawaii,US,2020-03-28,149.0,0.0
