,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
15879,23701,Idaho,US,2020-01-22,0.0,0.0
15880,23702,Idaho,US,2020-01-23,0.0,0.0
15881,23703,Idaho,US,2020-01-24,0.0,0.0
15882,23704,Idaho,US,2020-01-25,0.0,0.0
15883,23705,Idaho,US,2020-01-26,0.0,0.0
15884,23706,Idaho,US,2020-01-27,0.0,0.0
15885,23707,Idaho,US,2020-01-28,0.0,0.0
15886,23708,Idaho,US,2020-01-29,0.0,0.0
15887,23709,Idaho,US,2020-01-30,0.0,0.0
15888,23710,Idaho,US,2020-01-31,0.0,0.0
15889,23711,Idaho,US,2020-02-01,0.0,0.0
15890,23712,Idaho,US,2020-02-02,0.0,0.0
15891,23713,Idaho,US,2020-02-03,0.0,0.0
15892,23714,Idaho,US,2020-02-04,0.0,0.0
15893,23715,Idaho,US,2020-02-05,0.0,0.0
15894,23716,Idaho,US,2020-02-06,0.0,0.0
15895,23717,Idaho,US,2020-02-07,0.0,0.0
15896,23718,Idaho,US,2020-02-08,0.0,0.0
15897,23719,Idaho,US,2020-02-09,0.0,0.0
15898,23720,Idaho,US,2020-02-10,0.0,0.0
15899,23721,Idaho,US,2020-02-11,0.0,0.0
15900,23722,Idaho,US,2020-02-12,0.0,0.0
15901,23723,Idaho,US,2020-02-13,0.0,0.0
15902,23724,Idaho,US,2020-02-14,0.0,0.0
15903,23725,Idaho,US,2020-02-15,0.0,0.0
15904,23726,Idaho,US,2020-02-16,0.0,0.0
15905,23727,Idaho,US,2020-02-17,0.0,0.0
15906,23728,Idaho,US,2020-02-18,0.0,0.0
15907,23729,Idaho,US,2020-02-19,0.0,0.0
15908,23730,Idaho,US,2020-02-20,0.0,0.0
15909,23731,Idaho,US,2020-02-21,0.0,0.0
15910,23732,Idaho,US,2020-02-22,0.0,0.0
15911,23733,Idaho,US,2020-02-23,0.0,0.0
15912,23734,Idaho,US,2020-02-24,0.0,0.0
15913,23735,Idaho,US,2020-02-25,0.0,0.0
15914,23736,Idaho,US,2020-02-26,0.0,0.0
15915,23737,Idaho,US,2020-02-27,0.0,0.0
15916,23738,Idaho,US,2020-02-28,0.0,0.0
15917,23739,Idaho,US,2020-02-29,0.0,0.0
15918,23740,Idaho,US,2020-03-01,0.0,0.0
15919,23741,Idaho,US,2020-03-02,0.0,0.0
15920,23742,Idaho,US,2020-03-03,0.0,0.0
15921,23743,Idaho,US,2020-03-04,0.0,0.0
15922,23744,Idaho,US,2020-03-05,0.0,0.0
15923,23745,Idaho,US,2020-03-06,0.0,0.0
15924,23746,Idaho,US,2020-03-07,0.0,0.0
15925,23747,Idaho,US,2020-03-08,0.0,0.0
15926,23748,Idaho,US,2020-03-09,0.0,0.0
15927,23749,Idaho,US,2020-03-10,0.0,0.0
15928,23750,Idaho,US,2020-03-11,0.0,0.0
15929,23751,Idaho,US,2020-03-12,0.0,0.0
15930,23752,Idaho,US,2020-03-13,1.0,0.0
15931,23753,Idaho,US,2020-03-14,2.0,0.0
15932,23754,Idaho,US,2020-03-15,5.0,0.0
15933,23755,Idaho,US,2020-03-16,5.0,0.0
15934,23756,Idaho,US,2020-03-17,8.0,0.0
15935,23757,Idaho,US,2020-03-18,9.0,0.0
15936,23758,Idaho,US,2020-03-19,11.0,0.0
15937,23759,Idaho,US,2020-03-20,23.0,0.0
15938,23760,Idaho,US,2020-03-21,36.0,0.0
15939,23761,Idaho,US,2020-03-22,42.0,0.0
15940,23762,Idaho,US,2020-03-23,68.0,0.0
15941,23763,Idaho,US,2020-03-24,81.0,0.0
15942,23764,Idaho,US,2020-03-25,91.0,0.0
15943,23765,Idaho,US,2020-03-26,146.0,3.0
15944,23766,Idaho,US,2020-03-27,205.0,3.0
15945,23767,Idaho,US,2020-03-28,234.0,4.0
