,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
15946,23801,Illinois,US,2020-01-22,0.0,0.0
15947,23802,Illinois,US,2020-01-23,0.0,0.0
15948,23803,Illinois,US,2020-01-24,0.0,0.0
15949,23804,Illinois,US,2020-01-25,0.0,0.0
15950,23805,Illinois,US,2020-01-26,0.0,0.0
15951,23806,Illinois,US,2020-01-27,0.0,0.0
15952,23807,Illinois,US,2020-01-28,0.0,0.0
15953,23808,Illinois,US,2020-01-29,0.0,0.0
15954,23809,Illinois,US,2020-01-30,0.0,0.0
15955,23810,Illinois,US,2020-01-31,0.0,0.0
15956,23811,Illinois,US,2020-02-01,0.0,0.0
15957,23812,Illinois,US,2020-02-02,0.0,0.0
15958,23813,Illinois,US,2020-02-03,0.0,0.0
15959,23814,Illinois,US,2020-02-04,0.0,0.0
15960,23815,Illinois,US,2020-02-05,0.0,0.0
15961,23816,Illinois,US,2020-02-06,0.0,0.0
15962,23817,Illinois,US,2020-02-07,0.0,0.0
15963,23818,Illinois,US,2020-02-08,0.0,0.0
15964,23819,Illinois,US,2020-02-09,0.0,0.0
15965,23820,Illinois,US,2020-02-10,0.0,0.0
15966,23821,Illinois,US,2020-02-11,0.0,0.0
15967,23822,Illinois,US,2020-02-12,0.0,0.0
15968,23823,Illinois,US,2020-02-13,0.0,0.0
15969,23824,Illinois,US,2020-02-14,0.0,0.0
15970,23825,Illinois,US,2020-02-15,0.0,0.0
15971,23826,Illinois,US,2020-02-16,0.0,0.0
15972,23827,Illinois,US,2020-02-17,0.0,0.0
15973,23828,Illinois,US,2020-02-18,0.0,0.0
15974,23829,Illinois,US,2020-02-19,0.0,0.0
15975,23830,Illinois,US,2020-02-20,0.0,0.0
15976,23831,Illinois,US,2020-02-21,0.0,0.0
15977,23832,Illinois,US,2020-02-22,0.0,0.0
15978,23833,Illinois,US,2020-02-23,0.0,0.0
15979,23834,Illinois,US,2020-02-24,0.0,0.0
15980,23835,Illinois,US,2020-02-25,0.0,0.0
15981,23836,Illinois,US,2020-02-26,0.0,0.0
15982,23837,Illinois,US,2020-02-27,0.0,0.0
15983,23838,Illinois,US,2020-02-28,0.0,0.0
15984,23839,Illinois,US,2020-02-29,0.0,0.0
15985,23840,Illinois,US,2020-03-01,0.0,0.0
15986,23841,Illinois,US,2020-03-02,0.0,0.0
15987,23842,Illinois,US,2020-03-03,0.0,0.0
15988,23843,Illinois,US,2020-03-04,0.0,0.0
15989,23844,Illinois,US,2020-03-05,0.0,0.0
15990,23845,Illinois,US,2020-03-06,0.0,0.0
15991,23846,Illinois,US,2020-03-07,0.0,0.0
15992,23847,Illinois,US,2020-03-08,0.0,0.0
15993,23848,Illinois,US,2020-03-09,0.0,0.0
15994,23849,Illinois,US,2020-03-10,12.0,0.0
15995,23850,Illinois,US,2020-03-11,25.0,0.0
15996,23851,Illinois,US,2020-03-12,32.0,0.0
15997,23852,Illinois,US,2020-03-13,46.0,0.0
15998,23853,Illinois,US,2020-03-14,64.0,0.0
15999,23854,Illinois,US,2020-03-15,93.0,0.0
16000,23855,Illinois,US,2020-03-16,105.0,0.0
16001,23856,Illinois,US,2020-03-17,161.0,1.0
16002,23857,Illinois,US,2020-03-18,162.0,1.0
16003,23858,Illinois,US,2020-03-19,422.0,4.0
16004,23859,Illinois,US,2020-03-20,585.0,5.0
16005,23860,Illinois,US,2020-03-21,753.0,6.0
16006,23861,Illinois,US,2020-03-22,1049.0,9.0
16007,23862,Illinois,US,2020-03-23,1285.0,12.0
16008,23863,Illinois,US,2020-03-24,1537.0,16.0
16009,23864,Illinois,US,2020-03-25,1865.0,19.0
16010,23865,Illinois,US,2020-03-26,2538.0,26.0
16011,23866,Illinois,US,2020-03-27,3024.0,34.0
16012,23867,Illinois,US,2020-03-28,3491.0,47.0
