,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
16013,23901,Indiana,US,2020-01-22,0.0,0.0
16014,23902,Indiana,US,2020-01-23,0.0,0.0
16015,23903,Indiana,US,2020-01-24,0.0,0.0
16016,23904,Indiana,US,2020-01-25,0.0,0.0
16017,23905,Indiana,US,2020-01-26,0.0,0.0
16018,23906,Indiana,US,2020-01-27,0.0,0.0
16019,23907,Indiana,US,2020-01-28,0.0,0.0
16020,23908,Indiana,US,2020-01-29,0.0,0.0
16021,23909,Indiana,US,2020-01-30,0.0,0.0
16022,23910,Indiana,US,2020-01-31,0.0,0.0
16023,23911,Indiana,US,2020-02-01,0.0,0.0
16024,23912,Indiana,US,2020-02-02,0.0,0.0
16025,23913,Indiana,US,2020-02-03,0.0,0.0
16026,23914,Indiana,US,2020-02-04,0.0,0.0
16027,23915,Indiana,US,2020-02-05,0.0,0.0
16028,23916,Indiana,US,2020-02-06,0.0,0.0
16029,23917,Indiana,US,2020-02-07,0.0,0.0
16030,23918,Indiana,US,2020-02-08,0.0,0.0
16031,23919,Indiana,US,2020-02-09,0.0,0.0
16032,23920,Indiana,US,2020-02-10,0.0,0.0
16033,23921,Indiana,US,2020-02-11,0.0,0.0
16034,23922,Indiana,US,2020-02-12,0.0,0.0
16035,23923,Indiana,US,2020-02-13,0.0,0.0
16036,23924,Indiana,US,2020-02-14,0.0,0.0
16037,23925,Indiana,US,2020-02-15,0.0,0.0
16038,23926,Indiana,US,2020-02-16,0.0,0.0
16039,23927,Indiana,US,2020-02-17,0.0,0.0
16040,23928,Indiana,US,2020-02-18,0.0,0.0
16041,23929,Indiana,US,2020-02-19,0.0,0.0
16042,23930,Indiana,US,2020-02-20,0.0,0.0
16043,23931,Indiana,US,2020-02-21,0.0,0.0
16044,23932,Indiana,US,2020-02-22,0.0,0.0
16045,23933,Indiana,US,2020-02-23,0.0,0.0
16046,23934,Indiana,US,2020-02-24,0.0,0.0
16047,23935,Indiana,US,2020-02-25,0.0,0.0
16048,23936,Indiana,US,2020-02-26,0.0,0.0
16049,23937,Indiana,US,2020-02-27,0.0,0.0
16050,23938,Indiana,US,2020-02-28,0.0,0.0
16051,23939,Indiana,US,2020-02-29,0.0,0.0
16052,23940,Indiana,US,2020-03-01,0.0,0.0
16053,23941,Indiana,US,2020-03-02,0.0,0.0
16054,23942,Indiana,US,2020-03-03,0.0,0.0
16055,23943,Indiana,US,2020-03-04,0.0,0.0
16056,23944,Indiana,US,2020-03-05,0.0,0.0
16057,23945,Indiana,US,2020-03-06,0.0,0.0
16058,23946,Indiana,US,2020-03-07,0.0,0.0
16059,23947,Indiana,US,2020-03-08,0.0,0.0
16060,23948,Indiana,US,2020-03-09,0.0,0.0
16061,23949,Indiana,US,2020-03-10,6.0,0.0
16062,23950,Indiana,US,2020-03-11,11.0,0.0
16063,23951,Indiana,US,2020-03-12,13.0,0.0
16064,23952,Indiana,US,2020-03-13,13.0,0.0
16065,23953,Indiana,US,2020-03-14,16.0,0.0
16066,23954,Indiana,US,2020-03-15,20.0,0.0
16067,23955,Indiana,US,2020-03-16,25.0,1.0
16068,23956,Indiana,US,2020-03-17,30.0,2.0
16069,23957,Indiana,US,2020-03-18,39.0,2.0
16070,23958,Indiana,US,2020-03-19,60.0,2.0
16071,23959,Indiana,US,2020-03-20,86.0,2.0
16072,23960,Indiana,US,2020-03-21,128.0,4.0
16073,23961,Indiana,US,2020-03-22,204.0,6.0
16074,23962,Indiana,US,2020-03-23,270.0,7.0
16075,23963,Indiana,US,2020-03-24,368.0,12.0
16076,23964,Indiana,US,2020-03-25,477.0,14.0
16077,23965,Indiana,US,2020-03-26,645.0,17.0
16078,23966,Indiana,US,2020-03-27,979.0,25.0
16079,23967,Indiana,US,2020-03-28,1233.0,31.0
