,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
16214,24201,Kentucky,US,2020-01-22,0.0,0.0
16215,24202,Kentucky,US,2020-01-23,0.0,0.0
16216,24203,Kentucky,US,2020-01-24,0.0,0.0
16217,24204,Kentucky,US,2020-01-25,0.0,0.0
16218,24205,Kentucky,US,2020-01-26,0.0,0.0
16219,24206,Kentucky,US,2020-01-27,0.0,0.0
16220,24207,Kentucky,US,2020-01-28,0.0,0.0
16221,24208,Kentucky,US,2020-01-29,0.0,0.0
16222,24209,Kentucky,US,2020-01-30,0.0,0.0
16223,24210,Kentucky,US,2020-01-31,0.0,0.0
16224,24211,Kentucky,US,2020-02-01,0.0,0.0
16225,24212,Kentucky,US,2020-02-02,0.0,0.0
16226,24213,Kentucky,US,2020-02-03,0.0,0.0
16227,24214,Kentucky,US,2020-02-04,0.0,0.0
16228,24215,Kentucky,US,2020-02-05,0.0,0.0
16229,24216,Kentucky,US,2020-02-06,0.0,0.0
16230,24217,Kentucky,US,2020-02-07,0.0,0.0
16231,24218,Kentucky,US,2020-02-08,0.0,0.0
16232,24219,Kentucky,US,2020-02-09,0.0,0.0
16233,24220,Kentucky,US,2020-02-10,0.0,0.0
16234,24221,Kentucky,US,2020-02-11,0.0,0.0
16235,24222,Kentucky,US,2020-02-12,0.0,0.0
16236,24223,Kentucky,US,2020-02-13,0.0,0.0
16237,24224,Kentucky,US,2020-02-14,0.0,0.0
16238,24225,Kentucky,US,2020-02-15,0.0,0.0
16239,24226,Kentucky,US,2020-02-16,0.0,0.0
16240,24227,Kentucky,US,2020-02-17,0.0,0.0
16241,24228,Kentucky,US,2020-02-18,0.0,0.0
16242,24229,Kentucky,US,2020-02-19,0.0,0.0
16243,24230,Kentucky,US,2020-02-20,0.0,0.0
16244,24231,Kentucky,US,2020-02-21,0.0,0.0
16245,24232,Kentucky,US,2020-02-22,0.0,0.0
16246,24233,Kentucky,US,2020-02-23,0.0,0.0
16247,24234,Kentucky,US,2020-02-24,0.0,0.0
16248,24235,Kentucky,US,2020-02-25,0.0,0.0
16249,24236,Kentucky,US,2020-02-26,0.0,0.0
16250,24237,Kentucky,US,2020-02-27,0.0,0.0
16251,24238,Kentucky,US,2020-02-28,0.0,0.0
16252,24239,Kentucky,US,2020-02-29,0.0,0.0
16253,24240,Kentucky,US,2020-03-01,0.0,0.0
16254,24241,Kentucky,US,2020-03-02,0.0,0.0
16255,24242,Kentucky,US,2020-03-03,0.0,0.0
16256,24243,Kentucky,US,2020-03-04,0.0,0.0
16257,24244,Kentucky,US,2020-03-05,0.0,0.0
16258,24245,Kentucky,US,2020-03-06,0.0,0.0
16259,24246,Kentucky,US,2020-03-07,0.0,0.0
16260,24247,Kentucky,US,2020-03-08,0.0,0.0
16261,24248,Kentucky,US,2020-03-09,0.0,0.0
16262,24249,Kentucky,US,2020-03-10,6.0,0.0
16263,24250,Kentucky,US,2020-03-11,8.0,0.0
16264,24251,Kentucky,US,2020-03-12,10.0,0.0
16265,24252,Kentucky,US,2020-03-13,14.0,0.0
16266,24253,Kentucky,US,2020-03-14,14.0,0.0
16267,24254,Kentucky,US,2020-03-15,20.0,0.0
16268,24255,Kentucky,US,2020-03-16,21.0,1.0
16269,24256,Kentucky,US,2020-03-17,26.0,1.0
16270,24257,Kentucky,US,2020-03-18,27.0,1.0
16271,24258,Kentucky,US,2020-03-19,37.0,2.0
16272,24259,Kentucky,US,2020-03-20,47.0,2.0
16273,24260,Kentucky,US,2020-03-21,87.0,3.0
16274,24261,Kentucky,US,2020-03-22,103.0,3.0
16275,24262,Kentucky,US,2020-03-23,123.0,4.0
16276,24263,Kentucky,US,2020-03-24,162.0,4.0
16277,24264,Kentucky,US,2020-03-25,197.0,5.0
16278,24265,Kentucky,US,2020-03-26,247.0,5.0
16279,24266,Kentucky,US,2020-03-27,301.0,7.0
16280,24267,Kentucky,US,2020-03-28,393.0,9.0
