,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
16415,24501,Maryland,US,2020-01-22,0.0,0.0
16416,24502,Maryland,US,2020-01-23,0.0,0.0
16417,24503,Maryland,US,2020-01-24,0.0,0.0
16418,24504,Maryland,US,2020-01-25,0.0,0.0
16419,24505,Maryland,US,2020-01-26,0.0,0.0
16420,24506,Maryland,US,2020-01-27,0.0,0.0
16421,24507,Maryland,US,2020-01-28,0.0,0.0
16422,24508,Maryland,US,2020-01-29,0.0,0.0
16423,24509,Maryland,US,2020-01-30,0.0,0.0
16424,24510,Maryland,US,2020-01-31,0.0,0.0
16425,24511,Maryland,US,2020-02-01,0.0,0.0
16426,24512,Maryland,US,2020-02-02,0.0,0.0
16427,24513,Maryland,US,2020-02-03,0.0,0.0
16428,24514,Maryland,US,2020-02-04,0.0,0.0
16429,24515,Maryland,US,2020-02-05,0.0,0.0
16430,24516,Maryland,US,2020-02-06,0.0,0.0
16431,24517,Maryland,US,2020-02-07,0.0,0.0
16432,24518,Maryland,US,2020-02-08,0.0,0.0
16433,24519,Maryland,US,2020-02-09,0.0,0.0
16434,24520,Maryland,US,2020-02-10,0.0,0.0
16435,24521,Maryland,US,2020-02-11,0.0,0.0
16436,24522,Maryland,US,2020-02-12,0.0,0.0
16437,24523,Maryland,US,2020-02-13,0.0,0.0
16438,24524,Maryland,US,2020-02-14,0.0,0.0
16439,24525,Maryland,US,2020-02-15,0.0,0.0
16440,24526,Maryland,US,2020-02-16,0.0,0.0
16441,24527,Maryland,US,2020-02-17,0.0,0.0
16442,24528,Maryland,US,2020-02-18,0.0,0.0
16443,24529,Maryland,US,2020-02-19,0.0,0.0
16444,24530,Maryland,US,2020-02-20,0.0,0.0
16445,24531,Maryland,US,2020-02-21,0.0,0.0
16446,24532,Maryland,US,2020-02-22,0.0,0.0
16447,24533,Maryland,US,2020-02-23,0.0,0.0
16448,24534,Maryland,US,2020-02-24,0.0,0.0
16449,24535,Maryland,US,2020-02-25,0.0,0.0
16450,24536,Maryland,US,2020-02-26,0.0,0.0
16451,24537,Maryland,US,2020-02-27,0.0,0.0
16452,24538,Maryland,US,2020-02-28,0.0,0.0
16453,24539,Maryland,US,2020-02-29,0.0,0.0
16454,24540,Maryland,US,2020-03-01,0.0,0.0
16455,24541,Maryland,US,2020-03-02,0.0,0.0
16456,24542,Maryland,US,2020-03-03,0.0,0.0
16457,24543,Maryland,US,2020-03-04,0.0,0.0
16458,24544,Maryland,US,2020-03-05,0.0,0.0
16459,24545,Maryland,US,2020-03-06,0.0,0.0
16460,24546,Maryland,US,2020-03-07,0.0,0.0
16461,24547,Maryland,US,2020-03-08,0.0,0.0
16462,24548,Maryland,US,2020-03-09,0.0,0.0
16463,24549,Maryland,US,2020-03-10,8.0,0.0
16464,24550,Maryland,US,2020-03-11,9.0,0.0
16465,24551,Maryland,US,2020-03-12,12.0,0.0
16466,24552,Maryland,US,2020-03-13,18.0,0.0
16467,24553,Maryland,US,2020-03-14,26.0,0.0
16468,24554,Maryland,US,2020-03-15,32.0,0.0
16469,24555,Maryland,US,2020-03-16,41.0,0.0
16470,24556,Maryland,US,2020-03-17,60.0,0.0
16471,24557,Maryland,US,2020-03-18,85.0,0.0
16472,24558,Maryland,US,2020-03-19,107.0,1.0
16473,24559,Maryland,US,2020-03-20,149.0,1.0
16474,24560,Maryland,US,2020-03-21,193.0,2.0
16475,24561,Maryland,US,2020-03-22,244.0,3.0
16476,24562,Maryland,US,2020-03-23,290.0,3.0
16477,24563,Maryland,US,2020-03-24,349.0,4.0
16478,24564,Maryland,US,2020-03-25,425.0,4.0
16479,24565,Maryland,US,2020-03-26,583.0,4.0
16480,24566,Maryland,US,2020-03-27,775.0,5.0
16481,24567,Maryland,US,2020-03-28,995.0,5.0
