,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
16482,24601,Massachusetts,US,2020-01-22,0.0,0.0
16483,24602,Massachusetts,US,2020-01-23,0.0,0.0
16484,24603,Massachusetts,US,2020-01-24,0.0,0.0
16485,24604,Massachusetts,US,2020-01-25,0.0,0.0
16486,24605,Massachusetts,US,2020-01-26,0.0,0.0
16487,24606,Massachusetts,US,2020-01-27,0.0,0.0
16488,24607,Massachusetts,US,2020-01-28,0.0,0.0
16489,24608,Massachusetts,US,2020-01-29,0.0,0.0
16490,24609,Massachusetts,US,2020-01-30,0.0,0.0
16491,24610,Massachusetts,US,2020-01-31,0.0,0.0
16492,24611,Massachusetts,US,2020-02-01,0.0,0.0
16493,24612,Massachusetts,US,2020-02-02,0.0,0.0
16494,24613,Massachusetts,US,2020-02-03,0.0,0.0
16495,24614,Massachusetts,US,2020-02-04,0.0,0.0
16496,24615,Massachusetts,US,2020-02-05,0.0,0.0
16497,24616,Massachusetts,US,2020-02-06,0.0,0.0
16498,24617,Massachusetts,US,2020-02-07,0.0,0.0
16499,24618,Massachusetts,US,2020-02-08,0.0,0.0
16500,24619,Massachusetts,US,2020-02-09,0.0,0.0
16501,24620,Massachusetts,US,2020-02-10,0.0,0.0
16502,24621,Massachusetts,US,2020-02-11,0.0,0.0
16503,24622,Massachusetts,US,2020-02-12,0.0,0.0
16504,24623,Massachusetts,US,2020-02-13,0.0,0.0
16505,24624,Massachusetts,US,2020-02-14,0.0,0.0
16506,24625,Massachusetts,US,2020-02-15,0.0,0.0
16507,24626,Massachusetts,US,2020-02-16,0.0,0.0
16508,24627,Massachusetts,US,2020-02-17,0.0,0.0
16509,24628,Massachusetts,US,2020-02-18,0.0,0.0
16510,24629,Massachusetts,US,2020-02-19,0.0,0.0
16511,24630,Massachusetts,US,2020-02-20,0.0,0.0
16512,24631,Massachusetts,US,2020-02-21,0.0,0.0
16513,24632,Massachusetts,US,2020-02-22,0.0,0.0
16514,24633,Massachusetts,US,2020-02-23,0.0,0.0
16515,24634,Massachusetts,US,2020-02-24,0.0,0.0
16516,24635,Massachusetts,US,2020-02-25,0.0,0.0
16517,24636,Massachusetts,US,2020-02-26,0.0,0.0
16518,24637,Massachusetts,US,2020-02-27,0.0,0.0
16519,24638,Massachusetts,US,2020-02-28,0.0,0.0
16520,24639,Massachusetts,US,2020-02-29,0.0,0.0
16521,24640,Massachusetts,US,2020-03-01,0.0,0.0
16522,24641,Massachusetts,US,2020-03-02,0.0,0.0
16523,24642,Massachusetts,US,2020-03-03,0.0,0.0
16524,24643,Massachusetts,US,2020-03-04,0.0,0.0
16525,24644,Massachusetts,US,2020-03-05,0.0,0.0
16526,24645,Massachusetts,US,2020-03-06,0.0,0.0
16527,24646,Massachusetts,US,2020-03-07,0.0,0.0
16528,24647,Massachusetts,US,2020-03-08,0.0,0.0
16529,24648,Massachusetts,US,2020-03-09,0.0,0.0
16530,24649,Massachusetts,US,2020-03-10,92.0,0.0
16531,24650,Massachusetts,US,2020-03-11,95.0,0.0
16532,24651,Massachusetts,US,2020-03-12,108.0,0.0
16533,24652,Massachusetts,US,2020-03-13,123.0,0.0
16534,24653,Massachusetts,US,2020-03-14,138.0,0.0
16535,24654,Massachusetts,US,2020-03-15,164.0,0.0
16536,24655,Massachusetts,US,2020-03-16,197.0,0.0
16537,24656,Massachusetts,US,2020-03-17,218.0,0.0
16538,24657,Massachusetts,US,2020-03-18,218.0,0.0
16539,24658,Massachusetts,US,2020-03-19,328.0,0.0
16540,24659,Massachusetts,US,2020-03-20,413.0,1.0
16541,24660,Massachusetts,US,2020-03-21,525.0,1.0
16542,24661,Massachusetts,US,2020-03-22,646.0,5.0
16543,24662,Massachusetts,US,2020-03-23,777.0,9.0
16544,24663,Massachusetts,US,2020-03-24,1159.0,11.0
16545,24664,Massachusetts,US,2020-03-25,1838.0,15.0
16546,24665,Massachusetts,US,2020-03-26,2417.0,25.0
16547,24666,Massachusetts,US,2020-03-27,3240.0,35.0
16548,24667,Massachusetts,US,2020-03-28,4257.0,44.0
