,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
16549,24701,Michigan,US,2020-01-22,0.0,0.0
16550,24702,Michigan,US,2020-01-23,0.0,0.0
16551,24703,Michigan,US,2020-01-24,0.0,0.0
16552,24704,Michigan,US,2020-01-25,0.0,0.0
16553,24705,Michigan,US,2020-01-26,0.0,0.0
16554,24706,Michigan,US,2020-01-27,0.0,0.0
16555,24707,Michigan,US,2020-01-28,0.0,0.0
16556,24708,Michigan,US,2020-01-29,0.0,0.0
16557,24709,Michigan,US,2020-01-30,0.0,0.0
16558,24710,Michigan,US,2020-01-31,0.0,0.0
16559,24711,Michigan,US,2020-02-01,0.0,0.0
16560,24712,Michigan,US,2020-02-02,0.0,0.0
16561,24713,Michigan,US,2020-02-03,0.0,0.0
16562,24714,Michigan,US,2020-02-04,0.0,0.0
16563,24715,Michigan,US,2020-02-05,0.0,0.0
16564,24716,Michigan,US,2020-02-06,0.0,0.0
16565,24717,Michigan,US,2020-02-07,0.0,0.0
16566,24718,Michigan,US,2020-02-08,0.0,0.0
16567,24719,Michigan,US,2020-02-09,0.0,0.0
16568,24720,Michigan,US,2020-02-10,0.0,0.0
16569,24721,Michigan,US,2020-02-11,0.0,0.0
16570,24722,Michigan,US,2020-02-12,0.0,0.0
16571,24723,Michigan,US,2020-02-13,0.0,0.0
16572,24724,Michigan,US,2020-02-14,0.0,0.0
16573,24725,Michigan,US,2020-02-15,0.0,0.0
16574,24726,Michigan,US,2020-02-16,0.0,0.0
16575,24727,Michigan,US,2020-02-17,0.0,0.0
16576,24728,Michigan,US,2020-02-18,0.0,0.0
16577,24729,Michigan,US,2020-02-19,0.0,0.0
16578,24730,Michigan,US,2020-02-20,0.0,0.0
16579,24731,Michigan,US,2020-02-21,0.0,0.0
16580,24732,Michigan,US,2020-02-22,0.0,0.0
16581,24733,Michigan,US,2020-02-23,0.0,0.0
16582,24734,Michigan,US,2020-02-24,0.0,0.0
16583,24735,Michigan,US,2020-02-25,0.0,0.0
16584,24736,Michigan,US,2020-02-26,0.0,0.0
16585,24737,Michigan,US,2020-02-27,0.0,0.0
16586,24738,Michigan,US,2020-02-28,0.0,0.0
16587,24739,Michigan,US,2020-02-29,0.0,0.0
16588,24740,Michigan,US,2020-03-01,0.0,0.0
16589,24741,Michigan,US,2020-03-02,0.0,0.0
16590,24742,Michigan,US,2020-03-03,0.0,0.0
16591,24743,Michigan,US,2020-03-04,0.0,0.0
16592,24744,Michigan,US,2020-03-05,0.0,0.0
16593,24745,Michigan,US,2020-03-06,0.0,0.0
16594,24746,Michigan,US,2020-03-07,0.0,0.0
16595,24747,Michigan,US,2020-03-08,0.0,0.0
16596,24748,Michigan,US,2020-03-09,0.0,0.0
16597,24749,Michigan,US,2020-03-10,0.0,0.0
16598,24750,Michigan,US,2020-03-11,2.0,0.0
16599,24751,Michigan,US,2020-03-12,2.0,0.0
16600,24752,Michigan,US,2020-03-13,16.0,0.0
16601,24753,Michigan,US,2020-03-14,25.0,0.0
16602,24754,Michigan,US,2020-03-15,33.0,0.0
16603,24755,Michigan,US,2020-03-16,53.0,0.0
16604,24756,Michigan,US,2020-03-17,65.0,0.0
16605,24757,Michigan,US,2020-03-18,83.0,0.0
16606,24758,Michigan,US,2020-03-19,334.0,3.0
16607,24759,Michigan,US,2020-03-20,552.0,3.0
16608,24760,Michigan,US,2020-03-21,788.0,5.0
16609,24761,Michigan,US,2020-03-22,1035.0,9.0
16610,24762,Michigan,US,2020-03-23,1329.0,15.0
16611,24763,Michigan,US,2020-03-24,1793.0,24.0
16612,24764,Michigan,US,2020-03-25,2296.0,43.0
16613,24765,Michigan,US,2020-03-26,2845.0,61.0
16614,24766,Michigan,US,2020-03-27,3634.0,92.0
16615,24767,Michigan,US,2020-03-28,4650.0,111.0
