,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
17018,25401,New Hampshire,US,2020-01-22,0.0,0.0
17019,25402,New Hampshire,US,2020-01-23,0.0,0.0
17020,25403,New Hampshire,US,2020-01-24,0.0,0.0
17021,25404,New Hampshire,US,2020-01-25,0.0,0.0
17022,25405,New Hampshire,US,2020-01-26,0.0,0.0
17023,25406,New Hampshire,US,2020-01-27,0.0,0.0
17024,25407,New Hampshire,US,2020-01-28,0.0,0.0
17025,25408,New Hampshire,US,2020-01-29,0.0,0.0
17026,25409,New Hampshire,US,2020-01-30,0.0,0.0
17027,25410,New Hampshire,US,2020-01-31,0.0,0.0
17028,25411,New Hampshire,US,2020-02-01,0.0,0.0
17029,25412,New Hampshire,US,2020-02-02,0.0,0.0
17030,25413,New Hampshire,US,2020-02-03,0.0,0.0
17031,25414,New Hampshire,US,2020-02-04,0.0,0.0
17032,25415,New Hampshire,US,2020-02-05,0.0,0.0
17033,25416,New Hampshire,US,2020-02-06,0.0,0.0
17034,25417,New Hampshire,US,2020-02-07,0.0,0.0
17035,25418,New Hampshire,US,2020-02-08,0.0,0.0
17036,25419,New Hampshire,US,2020-02-09,0.0,0.0
17037,25420,New Hampshire,US,2020-02-10,0.0,0.0
17038,25421,New Hampshire,US,2020-02-11,0.0,0.0
17039,25422,New Hampshire,US,2020-02-12,0.0,0.0
17040,25423,New Hampshire,US,2020-02-13,0.0,0.0
17041,25424,New Hampshire,US,2020-02-14,0.0,0.0
17042,25425,New Hampshire,US,2020-02-15,0.0,0.0
17043,25426,New Hampshire,US,2020-02-16,0.0,0.0
17044,25427,New Hampshire,US,2020-02-17,0.0,0.0
17045,25428,New Hampshire,US,2020-02-18,0.0,0.0
17046,25429,New Hampshire,US,2020-02-19,0.0,0.0
17047,25430,New Hampshire,US,2020-02-20,0.0,0.0
17048,25431,New Hampshire,US,2020-02-21,0.0,0.0
17049,25432,New Hampshire,US,2020-02-22,0.0,0.0
17050,25433,New Hampshire,US,2020-02-23,0.0,0.0
17051,25434,New Hampshire,US,2020-02-24,0.0,0.0
17052,25435,New Hampshire,US,2020-02-25,0.0,0.0
17053,25436,New Hampshire,US,2020-02-26,0.0,0.0
17054,25437,New Hampshire,US,2020-02-27,0.0,0.0
17055,25438,New Hampshire,US,2020-02-28,0.0,0.0
17056,25439,New Hampshire,US,2020-02-29,0.0,0.0
17057,25440,New Hampshire,US,2020-03-01,0.0,0.0
17058,25441,New Hampshire,US,2020-03-02,0.0,0.0
17059,25442,New Hampshire,US,2020-03-03,0.0,0.0
17060,25443,New Hampshire,US,2020-03-04,0.0,0.0
17061,25444,New Hampshire,US,2020-03-05,0.0,0.0
17062,25445,New Hampshire,US,2020-03-06,0.0,0.0
17063,25446,New Hampshire,US,2020-03-07,0.0,0.0
17064,25447,New Hampshire,US,2020-03-08,0.0,0.0
17065,25448,New Hampshire,US,2020-03-09,0.0,0.0
17066,25449,New Hampshire,US,2020-03-10,4.0,0.0
17067,25450,New Hampshire,US,2020-03-11,5.0,0.0
17068,25451,New Hampshire,US,2020-03-12,6.0,0.0
17069,25452,New Hampshire,US,2020-03-13,6.0,0.0
17070,25453,New Hampshire,US,2020-03-14,7.0,0.0
17071,25454,New Hampshire,US,2020-03-15,13.0,0.0
17072,25455,New Hampshire,US,2020-03-16,17.0,0.0
17073,25456,New Hampshire,US,2020-03-17,26.0,0.0
17074,25457,New Hampshire,US,2020-03-18,26.0,0.0
17075,25458,New Hampshire,US,2020-03-19,44.0,0.0
17076,25459,New Hampshire,US,2020-03-20,44.0,0.0
17077,25460,New Hampshire,US,2020-03-21,55.0,0.0
17078,25461,New Hampshire,US,2020-03-22,74.0,0.0
17079,25462,New Hampshire,US,2020-03-23,101.0,1.0
17080,25463,New Hampshire,US,2020-03-24,101.0,1.0
17081,25464,New Hampshire,US,2020-03-25,108.0,1.0
17082,25465,New Hampshire,US,2020-03-26,137.0,1.0
17083,25466,New Hampshire,US,2020-03-27,158.0,1.0
17084,25467,New Hampshire,US,2020-03-28,187.0,2.0
