,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
17152,25601,New Mexico,US,2020-01-22,0.0,0.0
17153,25602,New Mexico,US,2020-01-23,0.0,0.0
17154,25603,New Mexico,US,2020-01-24,0.0,0.0
17155,25604,New Mexico,US,2020-01-25,0.0,0.0
17156,25605,New Mexico,US,2020-01-26,0.0,0.0
17157,25606,New Mexico,US,2020-01-27,0.0,0.0
17158,25607,New Mexico,US,2020-01-28,0.0,0.0
17159,25608,New Mexico,US,2020-01-29,0.0,0.0
17160,25609,New Mexico,US,2020-01-30,0.0,0.0
17161,25610,New Mexico,US,2020-01-31,0.0,0.0
17162,25611,New Mexico,US,2020-02-01,0.0,0.0
17163,25612,New Mexico,US,2020-02-02,0.0,0.0
17164,25613,New Mexico,US,2020-02-03,0.0,0.0
17165,25614,New Mexico,US,2020-02-04,0.0,0.0
17166,25615,New Mexico,US,2020-02-05,0.0,0.0
17167,25616,New Mexico,US,2020-02-06,0.0,0.0
17168,25617,New Mexico,US,2020-02-07,0.0,0.0
17169,25618,New Mexico,US,2020-02-08,0.0,0.0
17170,25619,New Mexico,US,2020-02-09,0.0,0.0
17171,25620,New Mexico,US,2020-02-10,0.0,0.0
17172,25621,New Mexico,US,2020-02-11,0.0,0.0
17173,25622,New Mexico,US,2020-02-12,0.0,0.0
17174,25623,New Mexico,US,2020-02-13,0.0,0.0
17175,25624,New Mexico,US,2020-02-14,0.0,0.0
17176,25625,New Mexico,US,2020-02-15,0.0,0.0
17177,25626,New Mexico,US,2020-02-16,0.0,0.0
17178,25627,New Mexico,US,2020-02-17,0.0,0.0
17179,25628,New Mexico,US,2020-02-18,0.0,0.0
17180,25629,New Mexico,US,2020-02-19,0.0,0.0
17181,25630,New Mexico,US,2020-02-20,0.0,0.0
17182,25631,New Mexico,US,2020-02-21,0.0,0.0
17183,25632,New Mexico,US,2020-02-22,0.0,0.0
17184,25633,New Mexico,US,2020-02-23,0.0,0.0
17185,25634,New Mexico,US,2020-02-24,0.0,0.0
17186,25635,New Mexico,US,2020-02-25,0.0,0.0
17187,25636,New Mexico,US,2020-02-26,0.0,0.0
17188,25637,New Mexico,US,2020-02-27,0.0,0.0
17189,25638,New Mexico,US,2020-02-28,0.0,0.0
17190,25639,New Mexico,US,2020-02-29,0.0,0.0
17191,25640,New Mexico,US,2020-03-01,0.0,0.0
17192,25641,New Mexico,US,2020-03-02,0.0,0.0
17193,25642,New Mexico,US,2020-03-03,0.0,0.0
17194,25643,New Mexico,US,2020-03-04,0.0,0.0
17195,25644,New Mexico,US,2020-03-05,0.0,0.0
17196,25645,New Mexico,US,2020-03-06,0.0,0.0
17197,25646,New Mexico,US,2020-03-07,0.0,0.0
17198,25647,New Mexico,US,2020-03-08,0.0,0.0
17199,25648,New Mexico,US,2020-03-09,0.0,0.0
17200,25649,New Mexico,US,2020-03-10,0.0,0.0
17201,25650,New Mexico,US,2020-03-11,3.0,0.0
17202,25651,New Mexico,US,2020-03-12,5.0,0.0
17203,25652,New Mexico,US,2020-03-13,10.0,0.0
17204,25653,New Mexico,US,2020-03-14,10.0,0.0
17205,25654,New Mexico,US,2020-03-15,13.0,0.0
17206,25655,New Mexico,US,2020-03-16,17.0,0.0
17207,25656,New Mexico,US,2020-03-17,23.0,0.0
17208,25657,New Mexico,US,2020-03-18,23.0,0.0
17209,25658,New Mexico,US,2020-03-19,35.0,0.0
17210,25659,New Mexico,US,2020-03-20,43.0,0.0
17211,25660,New Mexico,US,2020-03-21,43.0,0.0
17212,25661,New Mexico,US,2020-03-22,57.0,0.0
17213,25662,New Mexico,US,2020-03-23,83.0,0.0
17214,25663,New Mexico,US,2020-03-24,100.0,0.0
17215,25664,New Mexico,US,2020-03-25,113.0,1.0
17216,25665,New Mexico,US,2020-03-26,113.0,1.0
17217,25666,New Mexico,US,2020-03-27,136.0,1.0
17218,25667,New Mexico,US,2020-03-28,208.0,1.0
