,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
17286,25801,North Carolina,US,2020-01-22,0.0,0.0
17287,25802,North Carolina,US,2020-01-23,0.0,0.0
17288,25803,North Carolina,US,2020-01-24,0.0,0.0
17289,25804,North Carolina,US,2020-01-25,0.0,0.0
17290,25805,North Carolina,US,2020-01-26,0.0,0.0
17291,25806,North Carolina,US,2020-01-27,0.0,0.0
17292,25807,North Carolina,US,2020-01-28,0.0,0.0
17293,25808,North Carolina,US,2020-01-29,0.0,0.0
17294,25809,North Carolina,US,2020-01-30,0.0,0.0
17295,25810,North Carolina,US,2020-01-31,0.0,0.0
17296,25811,North Carolina,US,2020-02-01,0.0,0.0
17297,25812,North Carolina,US,2020-02-02,0.0,0.0
17298,25813,North Carolina,US,2020-02-03,0.0,0.0
17299,25814,North Carolina,US,2020-02-04,0.0,0.0
17300,25815,North Carolina,US,2020-02-05,0.0,0.0
17301,25816,North Carolina,US,2020-02-06,0.0,0.0
17302,25817,North Carolina,US,2020-02-07,0.0,0.0
17303,25818,North Carolina,US,2020-02-08,0.0,0.0
17304,25819,North Carolina,US,2020-02-09,0.0,0.0
17305,25820,North Carolina,US,2020-02-10,0.0,0.0
17306,25821,North Carolina,US,2020-02-11,0.0,0.0
17307,25822,North Carolina,US,2020-02-12,0.0,0.0
17308,25823,North Carolina,US,2020-02-13,0.0,0.0
17309,25824,North Carolina,US,2020-02-14,0.0,0.0
17310,25825,North Carolina,US,2020-02-15,0.0,0.0
17311,25826,North Carolina,US,2020-02-16,0.0,0.0
17312,25827,North Carolina,US,2020-02-17,0.0,0.0
17313,25828,North Carolina,US,2020-02-18,0.0,0.0
17314,25829,North Carolina,US,2020-02-19,0.0,0.0
17315,25830,North Carolina,US,2020-02-20,0.0,0.0
17316,25831,North Carolina,US,2020-02-21,0.0,0.0
17317,25832,North Carolina,US,2020-02-22,0.0,0.0
17318,25833,North Carolina,US,2020-02-23,0.0,0.0
17319,25834,North Carolina,US,2020-02-24,0.0,0.0
17320,25835,North Carolina,US,2020-02-25,0.0,0.0
17321,25836,North Carolina,US,2020-02-26,0.0,0.0
17322,25837,North Carolina,US,2020-02-27,0.0,0.0
17323,25838,North Carolina,US,2020-02-28,0.0,0.0
17324,25839,North Carolina,US,2020-02-29,0.0,0.0
17325,25840,North Carolina,US,2020-03-01,0.0,0.0
17326,25841,North Carolina,US,2020-03-02,0.0,0.0
17327,25842,North Carolina,US,2020-03-03,0.0,0.0
17328,25843,North Carolina,US,2020-03-04,0.0,0.0
17329,25844,North Carolina,US,2020-03-05,0.0,0.0
17330,25845,North Carolina,US,2020-03-06,0.0,0.0
17331,25846,North Carolina,US,2020-03-07,0.0,0.0
17332,25847,North Carolina,US,2020-03-08,0.0,0.0
17333,25848,North Carolina,US,2020-03-09,0.0,0.0
17334,25849,North Carolina,US,2020-03-10,7.0,0.0
17335,25850,North Carolina,US,2020-03-11,7.0,0.0
17336,25851,North Carolina,US,2020-03-12,15.0,0.0
17337,25852,North Carolina,US,2020-03-13,17.0,0.0
17338,25853,North Carolina,US,2020-03-14,24.0,0.0
17339,25854,North Carolina,US,2020-03-15,33.0,0.0
17340,25855,North Carolina,US,2020-03-16,38.0,0.0
17341,25856,North Carolina,US,2020-03-17,64.0,0.0
17342,25857,North Carolina,US,2020-03-18,70.0,0.0
17343,25858,North Carolina,US,2020-03-19,123.0,0.0
17344,25859,North Carolina,US,2020-03-20,172.0,0.0
17345,25860,North Carolina,US,2020-03-21,253.0,0.0
17346,25861,North Carolina,US,2020-03-22,305.0,0.0
17347,25862,North Carolina,US,2020-03-23,353.0,0.0
17348,25863,North Carolina,US,2020-03-24,495.0,0.0
17349,25864,North Carolina,US,2020-03-25,590.0,2.0
17350,25865,North Carolina,US,2020-03-26,738.0,3.0
17351,25866,North Carolina,US,2020-03-27,887.0,4.0
17352,25867,North Carolina,US,2020-03-28,1020.0,5.0
