,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
17420,26001,Ohio,US,2020-01-22,0.0,0.0
17421,26002,Ohio,US,2020-01-23,0.0,0.0
17422,26003,Ohio,US,2020-01-24,0.0,0.0
17423,26004,Ohio,US,2020-01-25,0.0,0.0
17424,26005,Ohio,US,2020-01-26,0.0,0.0
17425,26006,Ohio,US,2020-01-27,0.0,0.0
17426,26007,Ohio,US,2020-01-28,0.0,0.0
17427,26008,Ohio,US,2020-01-29,0.0,0.0
17428,26009,Ohio,US,2020-01-30,0.0,0.0
17429,26010,Ohio,US,2020-01-31,0.0,0.0
17430,26011,Ohio,US,2020-02-01,0.0,0.0
17431,26012,Ohio,US,2020-02-02,0.0,0.0
17432,26013,Ohio,US,2020-02-03,0.0,0.0
17433,26014,Ohio,US,2020-02-04,0.0,0.0
17434,26015,Ohio,US,2020-02-05,0.0,0.0
17435,26016,Ohio,US,2020-02-06,0.0,0.0
17436,26017,Ohio,US,2020-02-07,0.0,0.0
17437,26018,Ohio,US,2020-02-08,0.0,0.0
17438,26019,Ohio,US,2020-02-09,0.0,0.0
17439,26020,Ohio,US,2020-02-10,0.0,0.0
17440,26021,Ohio,US,2020-02-11,0.0,0.0
17441,26022,Ohio,US,2020-02-12,0.0,0.0
17442,26023,Ohio,US,2020-02-13,0.0,0.0
17443,26024,Ohio,US,2020-02-14,0.0,0.0
17444,26025,Ohio,US,2020-02-15,0.0,0.0
17445,26026,Ohio,US,2020-02-16,0.0,0.0
17446,26027,Ohio,US,2020-02-17,0.0,0.0
17447,26028,Ohio,US,2020-02-18,0.0,0.0
17448,26029,Ohio,US,2020-02-19,0.0,0.0
17449,26030,Ohio,US,2020-02-20,0.0,0.0
17450,26031,Ohio,US,2020-02-21,0.0,0.0
17451,26032,Ohio,US,2020-02-22,0.0,0.0
17452,26033,Ohio,US,2020-02-23,0.0,0.0
17453,26034,Ohio,US,2020-02-24,0.0,0.0
17454,26035,Ohio,US,2020-02-25,0.0,0.0
17455,26036,Ohio,US,2020-02-26,0.0,0.0
17456,26037,Ohio,US,2020-02-27,0.0,0.0
17457,26038,Ohio,US,2020-02-28,0.0,0.0
17458,26039,Ohio,US,2020-02-29,0.0,0.0
17459,26040,Ohio,US,2020-03-01,0.0,0.0
17460,26041,Ohio,US,2020-03-02,0.0,0.0
17461,26042,Ohio,US,2020-03-03,0.0,0.0
17462,26043,Ohio,US,2020-03-04,0.0,0.0
17463,26044,Ohio,US,2020-03-05,0.0,0.0
17464,26045,Ohio,US,2020-03-06,0.0,0.0
17465,26046,Ohio,US,2020-03-07,0.0,0.0
17466,26047,Ohio,US,2020-03-08,0.0,0.0
17467,26048,Ohio,US,2020-03-09,0.0,0.0
17468,26049,Ohio,US,2020-03-10,3.0,0.0
17469,26050,Ohio,US,2020-03-11,4.0,0.0
17470,26051,Ohio,US,2020-03-12,5.0,0.0
17471,26052,Ohio,US,2020-03-13,13.0,0.0
17472,26053,Ohio,US,2020-03-14,26.0,0.0
17473,26054,Ohio,US,2020-03-15,37.0,0.0
17474,26055,Ohio,US,2020-03-16,50.0,0.0
17475,26056,Ohio,US,2020-03-17,67.0,0.0
17476,26057,Ohio,US,2020-03-18,86.0,0.0
17477,26058,Ohio,US,2020-03-19,119.0,0.0
17478,26059,Ohio,US,2020-03-20,173.0,2.0
17479,26060,Ohio,US,2020-03-21,248.0,3.0
17480,26061,Ohio,US,2020-03-22,356.0,3.0
17481,26062,Ohio,US,2020-03-23,443.0,6.0
17482,26063,Ohio,US,2020-03-24,567.0,8.0
17483,26064,Ohio,US,2020-03-25,704.0,11.0
17484,26065,Ohio,US,2020-03-26,868.0,15.0
17485,26066,Ohio,US,2020-03-27,1137.0,19.0
17486,26067,Ohio,US,2020-03-28,1406.0,25.0
