,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
17487,26101,Oklahoma,US,2020-01-22,0.0,0.0
17488,26102,Oklahoma,US,2020-01-23,0.0,0.0
17489,26103,Oklahoma,US,2020-01-24,0.0,0.0
17490,26104,Oklahoma,US,2020-01-25,0.0,0.0
17491,26105,Oklahoma,US,2020-01-26,0.0,0.0
17492,26106,Oklahoma,US,2020-01-27,0.0,0.0
17493,26107,Oklahoma,US,2020-01-28,0.0,0.0
17494,26108,Oklahoma,US,2020-01-29,0.0,0.0
17495,26109,Oklahoma,US,2020-01-30,0.0,0.0
17496,26110,Oklahoma,US,2020-01-31,0.0,0.0
17497,26111,Oklahoma,US,2020-02-01,0.0,0.0
17498,26112,Oklahoma,US,2020-02-02,0.0,0.0
17499,26113,Oklahoma,US,2020-02-03,0.0,0.0
17500,26114,Oklahoma,US,2020-02-04,0.0,0.0
17501,26115,Oklahoma,US,2020-02-05,0.0,0.0
17502,26116,Oklahoma,US,2020-02-06,0.0,0.0
17503,26117,Oklahoma,US,2020-02-07,0.0,0.0
17504,26118,Oklahoma,US,2020-02-08,0.0,0.0
17505,26119,Oklahoma,US,2020-02-09,0.0,0.0
17506,26120,Oklahoma,US,2020-02-10,0.0,0.0
17507,26121,Oklahoma,US,2020-02-11,0.0,0.0
17508,26122,Oklahoma,US,2020-02-12,0.0,0.0
17509,26123,Oklahoma,US,2020-02-13,0.0,0.0
17510,26124,Oklahoma,US,2020-02-14,0.0,0.0
17511,26125,Oklahoma,US,2020-02-15,0.0,0.0
17512,26126,Oklahoma,US,2020-02-16,0.0,0.0
17513,26127,Oklahoma,US,2020-02-17,0.0,0.0
17514,26128,Oklahoma,US,2020-02-18,0.0,0.0
17515,26129,Oklahoma,US,2020-02-19,0.0,0.0
17516,26130,Oklahoma,US,2020-02-20,0.0,0.0
17517,26131,Oklahoma,US,2020-02-21,0.0,0.0
17518,26132,Oklahoma,US,2020-02-22,0.0,0.0
17519,26133,Oklahoma,US,2020-02-23,0.0,0.0
17520,26134,Oklahoma,US,2020-02-24,0.0,0.0
17521,26135,Oklahoma,US,2020-02-25,0.0,0.0
17522,26136,Oklahoma,US,2020-02-26,0.0,0.0
17523,26137,Oklahoma,US,2020-02-27,0.0,0.0
17524,26138,Oklahoma,US,2020-02-28,0.0,0.0
17525,26139,Oklahoma,US,2020-02-29,0.0,0.0
17526,26140,Oklahoma,US,2020-03-01,0.0,0.0
17527,26141,Oklahoma,US,2020-03-02,0.0,0.0
17528,26142,Oklahoma,US,2020-03-03,0.0,0.0
17529,26143,Oklahoma,US,2020-03-04,0.0,0.0
17530,26144,Oklahoma,US,2020-03-05,0.0,0.0
17531,26145,Oklahoma,US,2020-03-06,0.0,0.0
17532,26146,Oklahoma,US,2020-03-07,0.0,0.0
17533,26147,Oklahoma,US,2020-03-08,0.0,0.0
17534,26148,Oklahoma,US,2020-03-09,0.0,0.0
17535,26149,Oklahoma,US,2020-03-10,2.0,0.0
17536,26150,Oklahoma,US,2020-03-11,2.0,0.0
17537,26151,Oklahoma,US,2020-03-12,2.0,0.0
17538,26152,Oklahoma,US,2020-03-13,2.0,0.0
17539,26153,Oklahoma,US,2020-03-14,4.0,0.0
17540,26154,Oklahoma,US,2020-03-15,7.0,0.0
17541,26155,Oklahoma,US,2020-03-16,10.0,0.0
17542,26156,Oklahoma,US,2020-03-17,19.0,0.0
17543,26157,Oklahoma,US,2020-03-18,19.0,0.0
17544,26158,Oklahoma,US,2020-03-19,44.0,1.0
17545,26159,Oklahoma,US,2020-03-20,49.0,1.0
17546,26160,Oklahoma,US,2020-03-21,53.0,1.0
17547,26161,Oklahoma,US,2020-03-22,67.0,2.0
17548,26162,Oklahoma,US,2020-03-23,81.0,2.0
17549,26163,Oklahoma,US,2020-03-24,106.0,3.0
17550,26164,Oklahoma,US,2020-03-25,164.0,5.0
17551,26165,Oklahoma,US,2020-03-26,248.0,7.0
17552,26166,Oklahoma,US,2020-03-27,322.0,8.0
17553,26167,Oklahoma,US,2020-03-28,377.0,15.0
