,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
17621,26301,Pennsylvania,US,2020-01-22,0.0,0.0
17622,26302,Pennsylvania,US,2020-01-23,0.0,0.0
17623,26303,Pennsylvania,US,2020-01-24,0.0,0.0
17624,26304,Pennsylvania,US,2020-01-25,0.0,0.0
17625,26305,Pennsylvania,US,2020-01-26,0.0,0.0
17626,26306,Pennsylvania,US,2020-01-27,0.0,0.0
17627,26307,Pennsylvania,US,2020-01-28,0.0,0.0
17628,26308,Pennsylvania,US,2020-01-29,0.0,0.0
17629,26309,Pennsylvania,US,2020-01-30,0.0,0.0
17630,26310,Pennsylvania,US,2020-01-31,0.0,0.0
17631,26311,Pennsylvania,US,2020-02-01,0.0,0.0
17632,26312,Pennsylvania,US,2020-02-02,0.0,0.0
17633,26313,Pennsylvania,US,2020-02-03,0.0,0.0
17634,26314,Pennsylvania,US,2020-02-04,0.0,0.0
17635,26315,Pennsylvania,US,2020-02-05,0.0,0.0
17636,26316,Pennsylvania,US,2020-02-06,0.0,0.0
17637,26317,Pennsylvania,US,2020-02-07,0.0,0.0
17638,26318,Pennsylvania,US,2020-02-08,0.0,0.0
17639,26319,Pennsylvania,US,2020-02-09,0.0,0.0
17640,26320,Pennsylvania,US,2020-02-10,0.0,0.0
17641,26321,Pennsylvania,US,2020-02-11,0.0,0.0
17642,26322,Pennsylvania,US,2020-02-12,0.0,0.0
17643,26323,Pennsylvania,US,2020-02-13,0.0,0.0
17644,26324,Pennsylvania,US,2020-02-14,0.0,0.0
17645,26325,Pennsylvania,US,2020-02-15,0.0,0.0
17646,26326,Pennsylvania,US,2020-02-16,0.0,0.0
17647,26327,Pennsylvania,US,2020-02-17,0.0,0.0
17648,26328,Pennsylvania,US,2020-02-18,0.0,0.0
17649,26329,Pennsylvania,US,2020-02-19,0.0,0.0
17650,26330,Pennsylvania,US,2020-02-20,0.0,0.0
17651,26331,Pennsylvania,US,2020-02-21,0.0,0.0
17652,26332,Pennsylvania,US,2020-02-22,0.0,0.0
17653,26333,Pennsylvania,US,2020-02-23,0.0,0.0
17654,26334,Pennsylvania,US,2020-02-24,0.0,0.0
17655,26335,Pennsylvania,US,2020-02-25,0.0,0.0
17656,26336,Pennsylvania,US,2020-02-26,0.0,0.0
17657,26337,Pennsylvania,US,2020-02-27,0.0,0.0
17658,26338,Pennsylvania,US,2020-02-28,0.0,0.0
17659,26339,Pennsylvania,US,2020-02-29,0.0,0.0
17660,26340,Pennsylvania,US,2020-03-01,0.0,0.0
17661,26341,Pennsylvania,US,2020-03-02,0.0,0.0
17662,26342,Pennsylvania,US,2020-03-03,0.0,0.0
17663,26343,Pennsylvania,US,2020-03-04,0.0,0.0
17664,26344,Pennsylvania,US,2020-03-05,0.0,0.0
17665,26345,Pennsylvania,US,2020-03-06,0.0,0.0
17666,26346,Pennsylvania,US,2020-03-07,0.0,0.0
17667,26347,Pennsylvania,US,2020-03-08,0.0,0.0
17668,26348,Pennsylvania,US,2020-03-09,0.0,0.0
17669,26349,Pennsylvania,US,2020-03-10,12.0,0.0
17670,26350,Pennsylvania,US,2020-03-11,16.0,0.0
17671,26351,Pennsylvania,US,2020-03-12,22.0,0.0
17672,26352,Pennsylvania,US,2020-03-13,41.0,0.0
17673,26353,Pennsylvania,US,2020-03-14,47.0,0.0
17674,26354,Pennsylvania,US,2020-03-15,66.0,0.0
17675,26355,Pennsylvania,US,2020-03-16,77.0,0.0
17676,26356,Pennsylvania,US,2020-03-17,112.0,0.0
17677,26357,Pennsylvania,US,2020-03-18,152.0,0.0
17678,26358,Pennsylvania,US,2020-03-19,206.0,1.0
17679,26359,Pennsylvania,US,2020-03-20,303.0,1.0
17680,26360,Pennsylvania,US,2020-03-21,396.0,2.0
17681,26361,Pennsylvania,US,2020-03-22,509.0,4.0
17682,26362,Pennsylvania,US,2020-03-23,698.0,6.0
17683,26363,Pennsylvania,US,2020-03-24,946.0,8.0
17684,26364,Pennsylvania,US,2020-03-25,1260.0,15.0
17685,26365,Pennsylvania,US,2020-03-26,1795.0,18.0
17686,26366,Pennsylvania,US,2020-03-27,2345.0,22.0
17687,26367,Pennsylvania,US,2020-03-28,2845.0,34.0
