,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
17755,26501,Rhode Island,US,2020-01-22,0.0,0.0
17756,26502,Rhode Island,US,2020-01-23,0.0,0.0
17757,26503,Rhode Island,US,2020-01-24,0.0,0.0
17758,26504,Rhode Island,US,2020-01-25,0.0,0.0
17759,26505,Rhode Island,US,2020-01-26,0.0,0.0
17760,26506,Rhode Island,US,2020-01-27,0.0,0.0
17761,26507,Rhode Island,US,2020-01-28,0.0,0.0
17762,26508,Rhode Island,US,2020-01-29,0.0,0.0
17763,26509,Rhode Island,US,2020-01-30,0.0,0.0
17764,26510,Rhode Island,US,2020-01-31,0.0,0.0
17765,26511,Rhode Island,US,2020-02-01,0.0,0.0
17766,26512,Rhode Island,US,2020-02-02,0.0,0.0
17767,26513,Rhode Island,US,2020-02-03,0.0,0.0
17768,26514,Rhode Island,US,2020-02-04,0.0,0.0
17769,26515,Rhode Island,US,2020-02-05,0.0,0.0
17770,26516,Rhode Island,US,2020-02-06,0.0,0.0
17771,26517,Rhode Island,US,2020-02-07,0.0,0.0
17772,26518,Rhode Island,US,2020-02-08,0.0,0.0
17773,26519,Rhode Island,US,2020-02-09,0.0,0.0
17774,26520,Rhode Island,US,2020-02-10,0.0,0.0
17775,26521,Rhode Island,US,2020-02-11,0.0,0.0
17776,26522,Rhode Island,US,2020-02-12,0.0,0.0
17777,26523,Rhode Island,US,2020-02-13,0.0,0.0
17778,26524,Rhode Island,US,2020-02-14,0.0,0.0
17779,26525,Rhode Island,US,2020-02-15,0.0,0.0
17780,26526,Rhode Island,US,2020-02-16,0.0,0.0
17781,26527,Rhode Island,US,2020-02-17,0.0,0.0
17782,26528,Rhode Island,US,2020-02-18,0.0,0.0
17783,26529,Rhode Island,US,2020-02-19,0.0,0.0
17784,26530,Rhode Island,US,2020-02-20,0.0,0.0
17785,26531,Rhode Island,US,2020-02-21,0.0,0.0
17786,26532,Rhode Island,US,2020-02-22,0.0,0.0
17787,26533,Rhode Island,US,2020-02-23,0.0,0.0
17788,26534,Rhode Island,US,2020-02-24,0.0,0.0
17789,26535,Rhode Island,US,2020-02-25,0.0,0.0
17790,26536,Rhode Island,US,2020-02-26,0.0,0.0
17791,26537,Rhode Island,US,2020-02-27,0.0,0.0
17792,26538,Rhode Island,US,2020-02-28,0.0,0.0
17793,26539,Rhode Island,US,2020-02-29,0.0,0.0
17794,26540,Rhode Island,US,2020-03-01,0.0,0.0
17795,26541,Rhode Island,US,2020-03-02,0.0,0.0
17796,26542,Rhode Island,US,2020-03-03,0.0,0.0
17797,26543,Rhode Island,US,2020-03-04,0.0,0.0
17798,26544,Rhode Island,US,2020-03-05,0.0,0.0
17799,26545,Rhode Island,US,2020-03-06,0.0,0.0
17800,26546,Rhode Island,US,2020-03-07,0.0,0.0
17801,26547,Rhode Island,US,2020-03-08,0.0,0.0
17802,26548,Rhode Island,US,2020-03-09,0.0,0.0
17803,26549,Rhode Island,US,2020-03-10,3.0,0.0
17804,26550,Rhode Island,US,2020-03-11,5.0,0.0
17805,26551,Rhode Island,US,2020-03-12,5.0,0.0
17806,26552,Rhode Island,US,2020-03-13,14.0,0.0
17807,26553,Rhode Island,US,2020-03-14,20.0,0.0
17808,26554,Rhode Island,US,2020-03-15,20.0,0.0
17809,26555,Rhode Island,US,2020-03-16,21.0,0.0
17810,26556,Rhode Island,US,2020-03-17,23.0,0.0
17811,26557,Rhode Island,US,2020-03-18,33.0,0.0
17812,26558,Rhode Island,US,2020-03-19,44.0,0.0
17813,26559,Rhode Island,US,2020-03-20,54.0,0.0
17814,26560,Rhode Island,US,2020-03-21,66.0,0.0
17815,26561,Rhode Island,US,2020-03-22,83.0,0.0
17816,26562,Rhode Island,US,2020-03-23,106.0,0.0
17817,26563,Rhode Island,US,2020-03-24,124.0,0.0
17818,26564,Rhode Island,US,2020-03-25,132.0,0.0
17819,26565,Rhode Island,US,2020-03-26,165.0,0.0
17820,26566,Rhode Island,US,2020-03-27,203.0,0.0
17821,26567,Rhode Island,US,2020-03-28,239.0,2.0
