,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
17956,26801,Tennessee,US,2020-01-22,0.0,0.0
17957,26802,Tennessee,US,2020-01-23,0.0,0.0
17958,26803,Tennessee,US,2020-01-24,0.0,0.0
17959,26804,Tennessee,US,2020-01-25,0.0,0.0
17960,26805,Tennessee,US,2020-01-26,0.0,0.0
17961,26806,Tennessee,US,2020-01-27,0.0,0.0
17962,26807,Tennessee,US,2020-01-28,0.0,0.0
17963,26808,Tennessee,US,2020-01-29,0.0,0.0
17964,26809,Tennessee,US,2020-01-30,0.0,0.0
17965,26810,Tennessee,US,2020-01-31,0.0,0.0
17966,26811,Tennessee,US,2020-02-01,0.0,0.0
17967,26812,Tennessee,US,2020-02-02,0.0,0.0
17968,26813,Tennessee,US,2020-02-03,0.0,0.0
17969,26814,Tennessee,US,2020-02-04,0.0,0.0
17970,26815,Tennessee,US,2020-02-05,0.0,0.0
17971,26816,Tennessee,US,2020-02-06,0.0,0.0
17972,26817,Tennessee,US,2020-02-07,0.0,0.0
17973,26818,Tennessee,US,2020-02-08,0.0,0.0
17974,26819,Tennessee,US,2020-02-09,0.0,0.0
17975,26820,Tennessee,US,2020-02-10,0.0,0.0
17976,26821,Tennessee,US,2020-02-11,0.0,0.0
17977,26822,Tennessee,US,2020-02-12,0.0,0.0
17978,26823,Tennessee,US,2020-02-13,0.0,0.0
17979,26824,Tennessee,US,2020-02-14,0.0,0.0
17980,26825,Tennessee,US,2020-02-15,0.0,0.0
17981,26826,Tennessee,US,2020-02-16,0.0,0.0
17982,26827,Tennessee,US,2020-02-17,0.0,0.0
17983,26828,Tennessee,US,2020-02-18,0.0,0.0
17984,26829,Tennessee,US,2020-02-19,0.0,0.0
17985,26830,Tennessee,US,2020-02-20,0.0,0.0
17986,26831,Tennessee,US,2020-02-21,0.0,0.0
17987,26832,Tennessee,US,2020-02-22,0.0,0.0
17988,26833,Tennessee,US,2020-02-23,0.0,0.0
17989,26834,Tennessee,US,2020-02-24,0.0,0.0
17990,26835,Tennessee,US,2020-02-25,0.0,0.0
17991,26836,Tennessee,US,2020-02-26,0.0,0.0
17992,26837,Tennessee,US,2020-02-27,0.0,0.0
17993,26838,Tennessee,US,2020-02-28,0.0,0.0
17994,26839,Tennessee,US,2020-02-29,0.0,0.0
17995,26840,Tennessee,US,2020-03-01,0.0,0.0
17996,26841,Tennessee,US,2020-03-02,0.0,0.0
17997,26842,Tennessee,US,2020-03-03,0.0,0.0
17998,26843,Tennessee,US,2020-03-04,0.0,0.0
17999,26844,Tennessee,US,2020-03-05,0.0,0.0
18000,26845,Tennessee,US,2020-03-06,0.0,0.0
18001,26846,Tennessee,US,2020-03-07,0.0,0.0
18002,26847,Tennessee,US,2020-03-08,0.0,0.0
18003,26848,Tennessee,US,2020-03-09,0.0,0.0
18004,26849,Tennessee,US,2020-03-10,7.0,0.0
18005,26850,Tennessee,US,2020-03-11,9.0,0.0
18006,26851,Tennessee,US,2020-03-12,18.0,0.0
18007,26852,Tennessee,US,2020-03-13,26.0,0.0
18008,26853,Tennessee,US,2020-03-14,32.0,0.0
18009,26854,Tennessee,US,2020-03-15,39.0,0.0
18010,26855,Tennessee,US,2020-03-16,52.0,0.0
18011,26856,Tennessee,US,2020-03-17,74.0,0.0
18012,26857,Tennessee,US,2020-03-18,79.0,0.0
18013,26858,Tennessee,US,2020-03-19,154.0,0.0
18014,26859,Tennessee,US,2020-03-20,233.0,0.0
18015,26860,Tennessee,US,2020-03-21,371.0,1.0
18016,26861,Tennessee,US,2020-03-22,505.0,2.0
18017,26862,Tennessee,US,2020-03-23,614.0,2.0
18018,26863,Tennessee,US,2020-03-24,772.0,2.0
18019,26864,Tennessee,US,2020-03-25,916.0,3.0
18020,26865,Tennessee,US,2020-03-26,1097.0,3.0
18021,26866,Tennessee,US,2020-03-27,1318.0,6.0
18022,26867,Tennessee,US,2020-03-28,1511.0,7.0
