,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
18492,27601,Wisconsin,US,2020-01-22,0.0,0.0
18493,27602,Wisconsin,US,2020-01-23,0.0,0.0
18494,27603,Wisconsin,US,2020-01-24,0.0,0.0
18495,27604,Wisconsin,US,2020-01-25,0.0,0.0
18496,27605,Wisconsin,US,2020-01-26,0.0,0.0
18497,27606,Wisconsin,US,2020-01-27,0.0,0.0
18498,27607,Wisconsin,US,2020-01-28,0.0,0.0
18499,27608,Wisconsin,US,2020-01-29,0.0,0.0
18500,27609,Wisconsin,US,2020-01-30,0.0,0.0
18501,27610,Wisconsin,US,2020-01-31,0.0,0.0
18502,27611,Wisconsin,US,2020-02-01,0.0,0.0
18503,27612,Wisconsin,US,2020-02-02,0.0,0.0
18504,27613,Wisconsin,US,2020-02-03,0.0,0.0
18505,27614,Wisconsin,US,2020-02-04,0.0,0.0
18506,27615,Wisconsin,US,2020-02-05,0.0,0.0
18507,27616,Wisconsin,US,2020-02-06,0.0,0.0
18508,27617,Wisconsin,US,2020-02-07,0.0,0.0
18509,27618,Wisconsin,US,2020-02-08,0.0,0.0
18510,27619,Wisconsin,US,2020-02-09,0.0,0.0
18511,27620,Wisconsin,US,2020-02-10,0.0,0.0
18512,27621,Wisconsin,US,2020-02-11,0.0,0.0
18513,27622,Wisconsin,US,2020-02-12,0.0,0.0
18514,27623,Wisconsin,US,2020-02-13,0.0,0.0
18515,27624,Wisconsin,US,2020-02-14,0.0,0.0
18516,27625,Wisconsin,US,2020-02-15,0.0,0.0
18517,27626,Wisconsin,US,2020-02-16,0.0,0.0
18518,27627,Wisconsin,US,2020-02-17,0.0,0.0
18519,27628,Wisconsin,US,2020-02-18,0.0,0.0
18520,27629,Wisconsin,US,2020-02-19,0.0,0.0
18521,27630,Wisconsin,US,2020-02-20,0.0,0.0
18522,27631,Wisconsin,US,2020-02-21,0.0,0.0
18523,27632,Wisconsin,US,2020-02-22,0.0,0.0
18524,27633,Wisconsin,US,2020-02-23,0.0,0.0
18525,27634,Wisconsin,US,2020-02-24,0.0,0.0
18526,27635,Wisconsin,US,2020-02-25,0.0,0.0
18527,27636,Wisconsin,US,2020-02-26,0.0,0.0
18528,27637,Wisconsin,US,2020-02-27,0.0,0.0
18529,27638,Wisconsin,US,2020-02-28,0.0,0.0
18530,27639,Wisconsin,US,2020-02-29,0.0,0.0
18531,27640,Wisconsin,US,2020-03-01,0.0,0.0
18532,27641,Wisconsin,US,2020-03-02,0.0,0.0
18533,27642,Wisconsin,US,2020-03-03,0.0,0.0
18534,27643,Wisconsin,US,2020-03-04,0.0,0.0
18535,27644,Wisconsin,US,2020-03-05,0.0,0.0
18536,27645,Wisconsin,US,2020-03-06,0.0,0.0
18537,27646,Wisconsin,US,2020-03-07,0.0,0.0
18538,27647,Wisconsin,US,2020-03-08,0.0,0.0
18539,27648,Wisconsin,US,2020-03-09,0.0,0.0
18540,27649,Wisconsin,US,2020-03-10,3.0,0.0
18541,27650,Wisconsin,US,2020-03-11,6.0,0.0
18542,27651,Wisconsin,US,2020-03-12,8.0,0.0
18543,27652,Wisconsin,US,2020-03-13,19.0,0.0
18544,27653,Wisconsin,US,2020-03-14,27.0,0.0
18545,27654,Wisconsin,US,2020-03-15,32.0,0.0
18546,27655,Wisconsin,US,2020-03-16,47.0,0.0
18547,27656,Wisconsin,US,2020-03-17,72.0,0.0
18548,27657,Wisconsin,US,2020-03-18,92.0,0.0
18549,27658,Wisconsin,US,2020-03-19,159.0,0.0
18550,27659,Wisconsin,US,2020-03-20,207.0,3.0
18551,27660,Wisconsin,US,2020-03-21,282.0,4.0
18552,27661,Wisconsin,US,2020-03-22,381.0,4.0
18553,27662,Wisconsin,US,2020-03-23,425.0,5.0
18554,27663,Wisconsin,US,2020-03-24,481.0,5.0
18555,27664,Wisconsin,US,2020-03-25,621.0,7.0
18556,27665,Wisconsin,US,2020-03-26,728.0,10.0
18557,27666,Wisconsin,US,2020-03-27,926.0,14.0
18558,27667,Wisconsin,US,2020-03-28,1055.0,17.0
