,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
18559,27701,Wyoming,US,2020-01-22,0.0,0.0
18560,27702,Wyoming,US,2020-01-23,0.0,0.0
18561,27703,Wyoming,US,2020-01-24,0.0,0.0
18562,27704,Wyoming,US,2020-01-25,0.0,0.0
18563,27705,Wyoming,US,2020-01-26,0.0,0.0
18564,27706,Wyoming,US,2020-01-27,0.0,0.0
18565,27707,Wyoming,US,2020-01-28,0.0,0.0
18566,27708,Wyoming,US,2020-01-29,0.0,0.0
18567,27709,Wyoming,US,2020-01-30,0.0,0.0
18568,27710,Wyoming,US,2020-01-31,0.0,0.0
18569,27711,Wyoming,US,2020-02-01,0.0,0.0
18570,27712,Wyoming,US,2020-02-02,0.0,0.0
18571,27713,Wyoming,US,2020-02-03,0.0,0.0
18572,27714,Wyoming,US,2020-02-04,0.0,0.0
18573,27715,Wyoming,US,2020-02-05,0.0,0.0
18574,27716,Wyoming,US,2020-02-06,0.0,0.0
18575,27717,Wyoming,US,2020-02-07,0.0,0.0
18576,27718,Wyoming,US,2020-02-08,0.0,0.0
18577,27719,Wyoming,US,2020-02-09,0.0,0.0
18578,27720,Wyoming,US,2020-02-10,0.0,0.0
18579,27721,Wyoming,US,2020-02-11,0.0,0.0
18580,27722,Wyoming,US,2020-02-12,0.0,0.0
18581,27723,Wyoming,US,2020-02-13,0.0,0.0
18582,27724,Wyoming,US,2020-02-14,0.0,0.0
18583,27725,Wyoming,US,2020-02-15,0.0,0.0
18584,27726,Wyoming,US,2020-02-16,0.0,0.0
18585,27727,Wyoming,US,2020-02-17,0.0,0.0
18586,27728,Wyoming,US,2020-02-18,0.0,0.0
18587,27729,Wyoming,US,2020-02-19,0.0,0.0
18588,27730,Wyoming,US,2020-02-20,0.0,0.0
18589,27731,Wyoming,US,2020-02-21,0.0,0.0
18590,27732,Wyoming,US,2020-02-22,0.0,0.0
18591,27733,Wyoming,US,2020-02-23,0.0,0.0
18592,27734,Wyoming,US,2020-02-24,0.0,0.0
18593,27735,Wyoming,US,2020-02-25,0.0,0.0
18594,27736,Wyoming,US,2020-02-26,0.0,0.0
18595,27737,Wyoming,US,2020-02-27,0.0,0.0
18596,27738,Wyoming,US,2020-02-28,0.0,0.0
18597,27739,Wyoming,US,2020-02-29,0.0,0.0
18598,27740,Wyoming,US,2020-03-01,0.0,0.0
18599,27741,Wyoming,US,2020-03-02,0.0,0.0
18600,27742,Wyoming,US,2020-03-03,0.0,0.0
18601,27743,Wyoming,US,2020-03-04,0.0,0.0
18602,27744,Wyoming,US,2020-03-05,0.0,0.0
18603,27745,Wyoming,US,2020-03-06,0.0,0.0
18604,27746,Wyoming,US,2020-03-07,0.0,0.0
18605,27747,Wyoming,US,2020-03-08,0.0,0.0
18606,27748,Wyoming,US,2020-03-09,0.0,0.0
18607,27749,Wyoming,US,2020-03-10,0.0,0.0
18608,27750,Wyoming,US,2020-03-11,0.0,0.0
18609,27751,Wyoming,US,2020-03-12,1.0,0.0
18610,27752,Wyoming,US,2020-03-13,1.0,0.0
18611,27753,Wyoming,US,2020-03-14,2.0,0.0
18612,27754,Wyoming,US,2020-03-15,3.0,0.0
18613,27755,Wyoming,US,2020-03-16,3.0,0.0
18614,27756,Wyoming,US,2020-03-17,11.0,0.0
18615,27757,Wyoming,US,2020-03-18,15.0,0.0
18616,27758,Wyoming,US,2020-03-19,18.0,0.0
18617,27759,Wyoming,US,2020-03-20,19.0,0.0
18618,27760,Wyoming,US,2020-03-21,23.0,0.0
18619,27761,Wyoming,US,2020-03-22,26.0,0.0
18620,27762,Wyoming,US,2020-03-23,26.0,0.0
18621,27763,Wyoming,US,2020-03-24,29.0,0.0
18622,27764,Wyoming,US,2020-03-25,44.0,0.0
18623,27765,Wyoming,US,2020-03-26,53.0,0.0
18624,27766,Wyoming,US,2020-03-27,70.0,0.0
18625,27767,Wyoming,US,2020-03-28,82.0,0.0
