,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
18626,27801,,Uganda,2020-01-22,0.0,0.0
18627,27802,,Uganda,2020-01-23,0.0,0.0
18628,27803,,Uganda,2020-01-24,0.0,0.0
18629,27804,,Uganda,2020-01-25,0.0,0.0
18630,27805,,Uganda,2020-01-26,0.0,0.0
18631,27806,,Uganda,2020-01-27,0.0,0.0
18632,27807,,Uganda,2020-01-28,0.0,0.0
18633,27808,,Uganda,2020-01-29,0.0,0.0
18634,27809,,Uganda,2020-01-30,0.0,0.0
18635,27810,,Uganda,2020-01-31,0.0,0.0
18636,27811,,Uganda,2020-02-01,0.0,0.0
18637,27812,,Uganda,2020-02-02,0.0,0.0
18638,27813,,Uganda,2020-02-03,0.0,0.0
18639,27814,,Uganda,2020-02-04,0.0,0.0
18640,27815,,Uganda,2020-02-05,0.0,0.0
18641,27816,,Uganda,2020-02-06,0.0,0.0
18642,27817,,Uganda,2020-02-07,0.0,0.0
18643,27818,,Uganda,2020-02-08,0.0,0.0
18644,27819,,Uganda,2020-02-09,0.0,0.0
18645,27820,,Uganda,2020-02-10,0.0,0.0
18646,27821,,Uganda,2020-02-11,0.0,0.0
18647,27822,,Uganda,2020-02-12,0.0,0.0
18648,27823,,Uganda,2020-02-13,0.0,0.0
18649,27824,,Uganda,2020-02-14,0.0,0.0
18650,27825,,Uganda,2020-02-15,0.0,0.0
18651,27826,,Uganda,2020-02-16,0.0,0.0
18652,27827,,Uganda,2020-02-17,0.0,0.0
18653,27828,,Uganda,2020-02-18,0.0,0.0
18654,27829,,Uganda,2020-02-19,0.0,0.0
18655,27830,,Uganda,2020-02-20,0.0,0.0
18656,27831,,Uganda,2020-02-21,0.0,0.0
18657,27832,,Uganda,2020-02-22,0.0,0.0
18658,27833,,Uganda,2020-02-23,0.0,0.0
18659,27834,,Uganda,2020-02-24,0.0,0.0
18660,27835,,Uganda,2020-02-25,0.0,0.0
18661,27836,,Uganda,2020-02-26,0.0,0.0
18662,27837,,Uganda,2020-02-27,0.0,0.0
18663,27838,,Uganda,2020-02-28,0.0,0.0
18664,27839,,Uganda,2020-02-29,0.0,0.0
18665,27840,,Uganda,2020-03-01,0.0,0.0
18666,27841,,Uganda,2020-03-02,0.0,0.0
18667,27842,,Uganda,2020-03-03,0.0,0.0
18668,27843,,Uganda,2020-03-04,0.0,0.0
18669,27844,,Uganda,2020-03-05,0.0,0.0
18670,27845,,Uganda,2020-03-06,0.0,0.0
18671,27846,,Uganda,2020-03-07,0.0,0.0
18672,27847,,Uganda,2020-03-08,0.0,0.0
18673,27848,,Uganda,2020-03-09,0.0,0.0
18674,27849,,Uganda,2020-03-10,0.0,0.0
18675,27850,,Uganda,2020-03-11,0.0,0.0
18676,27851,,Uganda,2020-03-12,0.0,0.0
18677,27852,,Uganda,2020-03-13,0.0,0.0
18678,27853,,Uganda,2020-03-14,0.0,0.0
18679,27854,,Uganda,2020-03-15,0.0,0.0
18680,27855,,Uganda,2020-03-16,0.0,0.0
18681,27856,,Uganda,2020-03-17,0.0,0.0
18682,27857,,Uganda,2020-03-18,0.0,0.0
18683,27858,,Uganda,2020-03-19,0.0,0.0
18684,27859,,Uganda,2020-03-20,0.0,0.0
18685,27860,,Uganda,2020-03-21,1.0,0.0
18686,27861,,Uganda,2020-03-22,1.0,0.0
18687,27862,,Uganda,2020-03-23,9.0,0.0
18688,27863,,Uganda,2020-03-24,9.0,0.0
18689,27864,,Uganda,2020-03-25,14.0,0.0
18690,27865,,Uganda,2020-03-26,14.0,0.0
18691,27866,,Uganda,2020-03-27,23.0,0.0
18692,27867,,Uganda,2020-03-28,30.0,0.0
