,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
18693,27901,,Ukraine,2020-01-22,0.0,0.0
18694,27902,,Ukraine,2020-01-23,0.0,0.0
18695,27903,,Ukraine,2020-01-24,0.0,0.0
18696,27904,,Ukraine,2020-01-25,0.0,0.0
18697,27905,,Ukraine,2020-01-26,0.0,0.0
18698,27906,,Ukraine,2020-01-27,0.0,0.0
18699,27907,,Ukraine,2020-01-28,0.0,0.0
18700,27908,,Ukraine,2020-01-29,0.0,0.0
18701,27909,,Ukraine,2020-01-30,0.0,0.0
18702,27910,,Ukraine,2020-01-31,0.0,0.0
18703,27911,,Ukraine,2020-02-01,0.0,0.0
18704,27912,,Ukraine,2020-02-02,0.0,0.0
18705,27913,,Ukraine,2020-02-03,0.0,0.0
18706,27914,,Ukraine,2020-02-04,0.0,0.0
18707,27915,,Ukraine,2020-02-05,0.0,0.0
18708,27916,,Ukraine,2020-02-06,0.0,0.0
18709,27917,,Ukraine,2020-02-07,0.0,0.0
18710,27918,,Ukraine,2020-02-08,0.0,0.0
18711,27919,,Ukraine,2020-02-09,0.0,0.0
18712,27920,,Ukraine,2020-02-10,0.0,0.0
18713,27921,,Ukraine,2020-02-11,0.0,0.0
18714,27922,,Ukraine,2020-02-12,0.0,0.0
18715,27923,,Ukraine,2020-02-13,0.0,0.0
18716,27924,,Ukraine,2020-02-14,0.0,0.0
18717,27925,,Ukraine,2020-02-15,0.0,0.0
18718,27926,,Ukraine,2020-02-16,0.0,0.0
18719,27927,,Ukraine,2020-02-17,0.0,0.0
18720,27928,,Ukraine,2020-02-18,0.0,0.0
18721,27929,,Ukraine,2020-02-19,0.0,0.0
18722,27930,,Ukraine,2020-02-20,0.0,0.0
18723,27931,,Ukraine,2020-02-21,0.0,0.0
18724,27932,,Ukraine,2020-02-22,0.0,0.0
18725,27933,,Ukraine,2020-02-23,0.0,0.0
18726,27934,,Ukraine,2020-02-24,0.0,0.0
18727,27935,,Ukraine,2020-02-25,0.0,0.0
18728,27936,,Ukraine,2020-02-26,0.0,0.0
18729,27937,,Ukraine,2020-02-27,0.0,0.0
18730,27938,,Ukraine,2020-02-28,0.0,0.0
18731,27939,,Ukraine,2020-02-29,0.0,0.0
18732,27940,,Ukraine,2020-03-01,0.0,0.0
18733,27941,,Ukraine,2020-03-02,0.0,0.0
18734,27942,,Ukraine,2020-03-03,1.0,0.0
18735,27943,,Ukraine,2020-03-04,1.0,0.0
18736,27944,,Ukraine,2020-03-05,1.0,0.0
18737,27945,,Ukraine,2020-03-06,1.0,0.0
18738,27946,,Ukraine,2020-03-07,1.0,0.0
18739,27947,,Ukraine,2020-03-08,1.0,0.0
18740,27948,,Ukraine,2020-03-09,1.0,0.0
18741,27949,,Ukraine,2020-03-10,1.0,0.0
18742,27950,,Ukraine,2020-03-11,1.0,0.0
18743,27951,,Ukraine,2020-03-12,1.0,0.0
18744,27952,,Ukraine,2020-03-13,3.0,1.0
18745,27953,,Ukraine,2020-03-14,3.0,1.0
18746,27954,,Ukraine,2020-03-15,3.0,1.0
18747,27955,,Ukraine,2020-03-16,7.0,1.0
18748,27956,,Ukraine,2020-03-17,14.0,2.0
18749,27957,,Ukraine,2020-03-18,14.0,2.0
18750,27958,,Ukraine,2020-03-19,16.0,2.0
18751,27959,,Ukraine,2020-03-20,29.0,3.0
18752,27960,,Ukraine,2020-03-21,47.0,3.0
18753,27961,,Ukraine,2020-03-22,73.0,3.0
18754,27962,,Ukraine,2020-03-23,73.0,3.0
18755,27963,,Ukraine,2020-03-24,97.0,3.0
18756,27964,,Ukraine,2020-03-25,145.0,5.0
18757,27965,,Ukraine,2020-03-26,196.0,5.0
18758,27966,,Ukraine,2020-03-27,310.0,5.0
18759,27967,,Ukraine,2020-03-28,356.0,9.0
