,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
18827,28101,Bermuda,United Kingdom,2020-01-22,0.0,0.0
18828,28102,Bermuda,United Kingdom,2020-01-23,0.0,0.0
18829,28103,Bermuda,United Kingdom,2020-01-24,0.0,0.0
18830,28104,Bermuda,United Kingdom,2020-01-25,0.0,0.0
18831,28105,Bermuda,United Kingdom,2020-01-26,0.0,0.0
18832,28106,Bermuda,United Kingdom,2020-01-27,0.0,0.0
18833,28107,Bermuda,United Kingdom,2020-01-28,0.0,0.0
18834,28108,Bermuda,United Kingdom,2020-01-29,0.0,0.0
18835,28109,Bermuda,United Kingdom,2020-01-30,0.0,0.0
18836,28110,Bermuda,United Kingdom,2020-01-31,0.0,0.0
18837,28111,Bermuda,United Kingdom,2020-02-01,0.0,0.0
18838,28112,Bermuda,United Kingdom,2020-02-02,0.0,0.0
18839,28113,Bermuda,United Kingdom,2020-02-03,0.0,0.0
18840,28114,Bermuda,United Kingdom,2020-02-04,0.0,0.0
18841,28115,Bermuda,United Kingdom,2020-02-05,0.0,0.0
18842,28116,Bermuda,United Kingdom,2020-02-06,0.0,0.0
18843,28117,Bermuda,United Kingdom,2020-02-07,0.0,0.0
18844,28118,Bermuda,United Kingdom,2020-02-08,0.0,0.0
18845,28119,Bermuda,United Kingdom,2020-02-09,0.0,0.0
18846,28120,Bermuda,United Kingdom,2020-02-10,0.0,0.0
18847,28121,Bermuda,United Kingdom,2020-02-11,0.0,0.0
18848,28122,Bermuda,United Kingdom,2020-02-12,0.0,0.0
18849,28123,Bermuda,United Kingdom,2020-02-13,0.0,0.0
18850,28124,Bermuda,United Kingdom,2020-02-14,0.0,0.0
18851,28125,Bermuda,United Kingdom,2020-02-15,0.0,0.0
18852,28126,Bermuda,United Kingdom,2020-02-16,0.0,0.0
18853,28127,Bermuda,United Kingdom,2020-02-17,0.0,0.0
18854,28128,Bermuda,United Kingdom,2020-02-18,0.0,0.0
18855,28129,Bermuda,United Kingdom,2020-02-19,0.0,0.0
18856,28130,Bermuda,United Kingdom,2020-02-20,0.0,0.0
18857,28131,Bermuda,United Kingdom,2020-02-21,0.0,0.0
18858,28132,Bermuda,United Kingdom,2020-02-22,0.0,0.0
18859,28133,Bermuda,United Kingdom,2020-02-23,0.0,0.0
18860,28134,Bermuda,United Kingdom,2020-02-24,0.0,0.0
18861,28135,Bermuda,United Kingdom,2020-02-25,0.0,0.0
18862,28136,Bermuda,United Kingdom,2020-02-26,0.0,0.0
18863,28137,Bermuda,United Kingdom,2020-02-27,0.0,0.0
18864,28138,Bermuda,United Kingdom,2020-02-28,0.0,0.0
18865,28139,Bermuda,United Kingdom,2020-02-29,0.0,0.0
18866,28140,Bermuda,United Kingdom,2020-03-01,0.0,0.0
18867,28141,Bermuda,United Kingdom,2020-03-02,0.0,0.0
18868,28142,Bermuda,United Kingdom,2020-03-03,0.0,0.0
18869,28143,Bermuda,United Kingdom,2020-03-04,0.0,0.0
18870,28144,Bermuda,United Kingdom,2020-03-05,0.0,0.0
18871,28145,Bermuda,United Kingdom,2020-03-06,0.0,0.0
18872,28146,Bermuda,United Kingdom,2020-03-07,0.0,0.0
18873,28147,Bermuda,United Kingdom,2020-03-08,0.0,0.0
18874,28148,Bermuda,United Kingdom,2020-03-09,0.0,0.0
18875,28149,Bermuda,United Kingdom,2020-03-10,0.0,0.0
18876,28150,Bermuda,United Kingdom,2020-03-11,0.0,0.0
18877,28151,Bermuda,United Kingdom,2020-03-12,0.0,0.0
18878,28152,Bermuda,United Kingdom,2020-03-13,0.0,0.0
18879,28153,Bermuda,United Kingdom,2020-03-14,0.0,0.0
18880,28154,Bermuda,United Kingdom,2020-03-15,0.0,0.0
18881,28155,Bermuda,United Kingdom,2020-03-16,0.0,0.0
18882,28156,Bermuda,United Kingdom,2020-03-17,0.0,0.0
18883,28157,Bermuda,United Kingdom,2020-03-18,0.0,0.0
18884,28158,Bermuda,United Kingdom,2020-03-19,2.0,0.0
18885,28159,Bermuda,United Kingdom,2020-03-20,2.0,0.0
18886,28160,Bermuda,United Kingdom,2020-03-21,2.0,0.0
18887,28161,Bermuda,United Kingdom,2020-03-22,6.0,0.0
18888,28162,Bermuda,United Kingdom,2020-03-23,6.0,0.0
18889,28163,Bermuda,United Kingdom,2020-03-24,6.0,0.0
18890,28164,Bermuda,United Kingdom,2020-03-25,7.0,0.0
18891,28165,Bermuda,United Kingdom,2020-03-26,15.0,0.0
18892,28166,Bermuda,United Kingdom,2020-03-27,17.0,0.0
18893,28167,Bermuda,United Kingdom,2020-03-28,17.0,0.0
