,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
18894,28201,Cayman Islands,United Kingdom,2020-01-22,0.0,0.0
18895,28202,Cayman Islands,United Kingdom,2020-01-23,0.0,0.0
18896,28203,Cayman Islands,United Kingdom,2020-01-24,0.0,0.0
18897,28204,Cayman Islands,United Kingdom,2020-01-25,0.0,0.0
18898,28205,Cayman Islands,United Kingdom,2020-01-26,0.0,0.0
18899,28206,Cayman Islands,United Kingdom,2020-01-27,0.0,0.0
18900,28207,Cayman Islands,United Kingdom,2020-01-28,0.0,0.0
18901,28208,Cayman Islands,United Kingdom,2020-01-29,0.0,0.0
18902,28209,Cayman Islands,United Kingdom,2020-01-30,0.0,0.0
18903,28210,Cayman Islands,United Kingdom,2020-01-31,0.0,0.0
18904,28211,Cayman Islands,United Kingdom,2020-02-01,0.0,0.0
18905,28212,Cayman Islands,United Kingdom,2020-02-02,0.0,0.0
18906,28213,Cayman Islands,United Kingdom,2020-02-03,0.0,0.0
18907,28214,Cayman Islands,United Kingdom,2020-02-04,0.0,0.0
18908,28215,Cayman Islands,United Kingdom,2020-02-05,0.0,0.0
18909,28216,Cayman Islands,United Kingdom,2020-02-06,0.0,0.0
18910,28217,Cayman Islands,United Kingdom,2020-02-07,0.0,0.0
18911,28218,Cayman Islands,United Kingdom,2020-02-08,0.0,0.0
18912,28219,Cayman Islands,United Kingdom,2020-02-09,0.0,0.0
18913,28220,Cayman Islands,United Kingdom,2020-02-10,0.0,0.0
18914,28221,Cayman Islands,United Kingdom,2020-02-11,0.0,0.0
18915,28222,Cayman Islands,United Kingdom,2020-02-12,0.0,0.0
18916,28223,Cayman Islands,United Kingdom,2020-02-13,0.0,0.0
18917,28224,Cayman Islands,United Kingdom,2020-02-14,0.0,0.0
18918,28225,Cayman Islands,United Kingdom,2020-02-15,0.0,0.0
18919,28226,Cayman Islands,United Kingdom,2020-02-16,0.0,0.0
18920,28227,Cayman Islands,United Kingdom,2020-02-17,0.0,0.0
18921,28228,Cayman Islands,United Kingdom,2020-02-18,0.0,0.0
18922,28229,Cayman Islands,United Kingdom,2020-02-19,0.0,0.0
18923,28230,Cayman Islands,United Kingdom,2020-02-20,0.0,0.0
18924,28231,Cayman Islands,United Kingdom,2020-02-21,0.0,0.0
18925,28232,Cayman Islands,United Kingdom,2020-02-22,0.0,0.0
18926,28233,Cayman Islands,United Kingdom,2020-02-23,0.0,0.0
18927,28234,Cayman Islands,United Kingdom,2020-02-24,0.0,0.0
18928,28235,Cayman Islands,United Kingdom,2020-02-25,0.0,0.0
18929,28236,Cayman Islands,United Kingdom,2020-02-26,0.0,0.0
18930,28237,Cayman Islands,United Kingdom,2020-02-27,0.0,0.0
18931,28238,Cayman Islands,United Kingdom,2020-02-28,0.0,0.0
18932,28239,Cayman Islands,United Kingdom,2020-02-29,0.0,0.0
18933,28240,Cayman Islands,United Kingdom,2020-03-01,0.0,0.0
18934,28241,Cayman Islands,United Kingdom,2020-03-02,0.0,0.0
18935,28242,Cayman Islands,United Kingdom,2020-03-03,0.0,0.0
18936,28243,Cayman Islands,United Kingdom,2020-03-04,0.0,0.0
18937,28244,Cayman Islands,United Kingdom,2020-03-05,0.0,0.0
18938,28245,Cayman Islands,United Kingdom,2020-03-06,0.0,0.0
18939,28246,Cayman Islands,United Kingdom,2020-03-07,0.0,0.0
18940,28247,Cayman Islands,United Kingdom,2020-03-08,0.0,0.0
18941,28248,Cayman Islands,United Kingdom,2020-03-09,0.0,0.0
18942,28249,Cayman Islands,United Kingdom,2020-03-10,0.0,0.0
18943,28250,Cayman Islands,United Kingdom,2020-03-11,0.0,0.0
18944,28251,Cayman Islands,United Kingdom,2020-03-12,0.0,0.0
18945,28252,Cayman Islands,United Kingdom,2020-03-13,1.0,0.0
18946,28253,Cayman Islands,United Kingdom,2020-03-14,1.0,0.0
18947,28254,Cayman Islands,United Kingdom,2020-03-15,1.0,0.0
18948,28255,Cayman Islands,United Kingdom,2020-03-16,1.0,1.0
18949,28256,Cayman Islands,United Kingdom,2020-03-17,1.0,1.0
18950,28257,Cayman Islands,United Kingdom,2020-03-18,1.0,1.0
18951,28258,Cayman Islands,United Kingdom,2020-03-19,3.0,1.0
18952,28259,Cayman Islands,United Kingdom,2020-03-20,3.0,1.0
18953,28260,Cayman Islands,United Kingdom,2020-03-21,3.0,1.0
18954,28261,Cayman Islands,United Kingdom,2020-03-22,3.0,1.0
18955,28262,Cayman Islands,United Kingdom,2020-03-23,5.0,1.0
18956,28263,Cayman Islands,United Kingdom,2020-03-24,6.0,1.0
18957,28264,Cayman Islands,United Kingdom,2020-03-25,8.0,1.0
18958,28265,Cayman Islands,United Kingdom,2020-03-26,8.0,1.0
18959,28266,Cayman Islands,United Kingdom,2020-03-27,8.0,1.0
18960,28267,Cayman Islands,United Kingdom,2020-03-28,8.0,1.0
