,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
19095,28501,Isle of Man,United Kingdom,2020-01-22,0.0,0.0
19096,28502,Isle of Man,United Kingdom,2020-01-23,0.0,0.0
19097,28503,Isle of Man,United Kingdom,2020-01-24,0.0,0.0
19098,28504,Isle of Man,United Kingdom,2020-01-25,0.0,0.0
19099,28505,Isle of Man,United Kingdom,2020-01-26,0.0,0.0
19100,28506,Isle of Man,United Kingdom,2020-01-27,0.0,0.0
19101,28507,Isle of Man,United Kingdom,2020-01-28,0.0,0.0
19102,28508,Isle of Man,United Kingdom,2020-01-29,0.0,0.0
19103,28509,Isle of Man,United Kingdom,2020-01-30,0.0,0.0
19104,28510,Isle of Man,United Kingdom,2020-01-31,0.0,0.0
19105,28511,Isle of Man,United Kingdom,2020-02-01,0.0,0.0
19106,28512,Isle of Man,United Kingdom,2020-02-02,0.0,0.0
19107,28513,Isle of Man,United Kingdom,2020-02-03,0.0,0.0
19108,28514,Isle of Man,United Kingdom,2020-02-04,0.0,0.0
19109,28515,Isle of Man,United Kingdom,2020-02-05,0.0,0.0
19110,28516,Isle of Man,United Kingdom,2020-02-06,0.0,0.0
19111,28517,Isle of Man,United Kingdom,2020-02-07,0.0,0.0
19112,28518,Isle of Man,United Kingdom,2020-02-08,0.0,0.0
19113,28519,Isle of Man,United Kingdom,2020-02-09,0.0,0.0
19114,28520,Isle of Man,United Kingdom,2020-02-10,0.0,0.0
19115,28521,Isle of Man,United Kingdom,2020-02-11,0.0,0.0
19116,28522,Isle of Man,United Kingdom,2020-02-12,0.0,0.0
19117,28523,Isle of Man,United Kingdom,2020-02-13,0.0,0.0
19118,28524,Isle of Man,United Kingdom,2020-02-14,0.0,0.0
19119,28525,Isle of Man,United Kingdom,2020-02-15,0.0,0.0
19120,28526,Isle of Man,United Kingdom,2020-02-16,0.0,0.0
19121,28527,Isle of Man,United Kingdom,2020-02-17,0.0,0.0
19122,28528,Isle of Man,United Kingdom,2020-02-18,0.0,0.0
19123,28529,Isle of Man,United Kingdom,2020-02-19,0.0,0.0
19124,28530,Isle of Man,United Kingdom,2020-02-20,0.0,0.0
19125,28531,Isle of Man,United Kingdom,2020-02-21,0.0,0.0
19126,28532,Isle of Man,United Kingdom,2020-02-22,0.0,0.0
19127,28533,Isle of Man,United Kingdom,2020-02-23,0.0,0.0
19128,28534,Isle of Man,United Kingdom,2020-02-24,0.0,0.0
19129,28535,Isle of Man,United Kingdom,2020-02-25,0.0,0.0
19130,28536,Isle of Man,United Kingdom,2020-02-26,0.0,0.0
19131,28537,Isle of Man,United Kingdom,2020-02-27,0.0,0.0
19132,28538,Isle of Man,United Kingdom,2020-02-28,0.0,0.0
19133,28539,Isle of Man,United Kingdom,2020-02-29,0.0,0.0
19134,28540,Isle of Man,United Kingdom,2020-03-01,0.0,0.0
19135,28541,Isle of Man,United Kingdom,2020-03-02,0.0,0.0
19136,28542,Isle of Man,United Kingdom,2020-03-03,0.0,0.0
19137,28543,Isle of Man,United Kingdom,2020-03-04,0.0,0.0
19138,28544,Isle of Man,United Kingdom,2020-03-05,0.0,0.0
19139,28545,Isle of Man,United Kingdom,2020-03-06,0.0,0.0
19140,28546,Isle of Man,United Kingdom,2020-03-07,0.0,0.0
19141,28547,Isle of Man,United Kingdom,2020-03-08,0.0,0.0
19142,28548,Isle of Man,United Kingdom,2020-03-09,0.0,0.0
19143,28549,Isle of Man,United Kingdom,2020-03-10,0.0,0.0
19144,28550,Isle of Man,United Kingdom,2020-03-11,0.0,0.0
19145,28551,Isle of Man,United Kingdom,2020-03-12,0.0,0.0
19146,28552,Isle of Man,United Kingdom,2020-03-13,0.0,0.0
19147,28553,Isle of Man,United Kingdom,2020-03-14,0.0,0.0
19148,28554,Isle of Man,United Kingdom,2020-03-15,0.0,0.0
19149,28555,Isle of Man,United Kingdom,2020-03-16,0.0,0.0
19150,28556,Isle of Man,United Kingdom,2020-03-17,0.0,0.0
19151,28557,Isle of Man,United Kingdom,2020-03-18,0.0,0.0
19152,28558,Isle of Man,United Kingdom,2020-03-19,0.0,0.0
19153,28559,Isle of Man,United Kingdom,2020-03-20,1.0,0.0
19154,28560,Isle of Man,United Kingdom,2020-03-21,1.0,0.0
19155,28561,Isle of Man,United Kingdom,2020-03-22,5.0,0.0
19156,28562,Isle of Man,United Kingdom,2020-03-23,13.0,0.0
19157,28563,Isle of Man,United Kingdom,2020-03-24,23.0,0.0
19158,28564,Isle of Man,United Kingdom,2020-03-25,23.0,0.0
19159,28565,Isle of Man,United Kingdom,2020-03-26,25.0,0.0
19160,28566,Isle of Man,United Kingdom,2020-03-27,29.0,0.0
19161,28567,Isle of Man,United Kingdom,2020-03-28,32.0,0.0
