,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
19162,28601,Montserrat,United Kingdom,2020-01-22,0.0,0.0
19163,28602,Montserrat,United Kingdom,2020-01-23,0.0,0.0
19164,28603,Montserrat,United Kingdom,2020-01-24,0.0,0.0
19165,28604,Montserrat,United Kingdom,2020-01-25,0.0,0.0
19166,28605,Montserrat,United Kingdom,2020-01-26,0.0,0.0
19167,28606,Montserrat,United Kingdom,2020-01-27,0.0,0.0
19168,28607,Montserrat,United Kingdom,2020-01-28,0.0,0.0
19169,28608,Montserrat,United Kingdom,2020-01-29,0.0,0.0
19170,28609,Montserrat,United Kingdom,2020-01-30,0.0,0.0
19171,28610,Montserrat,United Kingdom,2020-01-31,0.0,0.0
19172,28611,Montserrat,United Kingdom,2020-02-01,0.0,0.0
19173,28612,Montserrat,United Kingdom,2020-02-02,0.0,0.0
19174,28613,Montserrat,United Kingdom,2020-02-03,0.0,0.0
19175,28614,Montserrat,United Kingdom,2020-02-04,0.0,0.0
19176,28615,Montserrat,United Kingdom,2020-02-05,0.0,0.0
19177,28616,Montserrat,United Kingdom,2020-02-06,0.0,0.0
19178,28617,Montserrat,United Kingdom,2020-02-07,0.0,0.0
19179,28618,Montserrat,United Kingdom,2020-02-08,0.0,0.0
19180,28619,Montserrat,United Kingdom,2020-02-09,0.0,0.0
19181,28620,Montserrat,United Kingdom,2020-02-10,0.0,0.0
19182,28621,Montserrat,United Kingdom,2020-02-11,0.0,0.0
19183,28622,Montserrat,United Kingdom,2020-02-12,0.0,0.0
19184,28623,Montserrat,United Kingdom,2020-02-13,0.0,0.0
19185,28624,Montserrat,United Kingdom,2020-02-14,0.0,0.0
19186,28625,Montserrat,United Kingdom,2020-02-15,0.0,0.0
19187,28626,Montserrat,United Kingdom,2020-02-16,0.0,0.0
19188,28627,Montserrat,United Kingdom,2020-02-17,0.0,0.0
19189,28628,Montserrat,United Kingdom,2020-02-18,0.0,0.0
19190,28629,Montserrat,United Kingdom,2020-02-19,0.0,0.0
19191,28630,Montserrat,United Kingdom,2020-02-20,0.0,0.0
19192,28631,Montserrat,United Kingdom,2020-02-21,0.0,0.0
19193,28632,Montserrat,United Kingdom,2020-02-22,0.0,0.0
19194,28633,Montserrat,United Kingdom,2020-02-23,0.0,0.0
19195,28634,Montserrat,United Kingdom,2020-02-24,0.0,0.0
19196,28635,Montserrat,United Kingdom,2020-02-25,0.0,0.0
19197,28636,Montserrat,United Kingdom,2020-02-26,0.0,0.0
19198,28637,Montserrat,United Kingdom,2020-02-27,0.0,0.0
19199,28638,Montserrat,United Kingdom,2020-02-28,0.0,0.0
19200,28639,Montserrat,United Kingdom,2020-02-29,0.0,0.0
19201,28640,Montserrat,United Kingdom,2020-03-01,0.0,0.0
19202,28641,Montserrat,United Kingdom,2020-03-02,0.0,0.0
19203,28642,Montserrat,United Kingdom,2020-03-03,0.0,0.0
19204,28643,Montserrat,United Kingdom,2020-03-04,0.0,0.0
19205,28644,Montserrat,United Kingdom,2020-03-05,0.0,0.0
19206,28645,Montserrat,United Kingdom,2020-03-06,0.0,0.0
19207,28646,Montserrat,United Kingdom,2020-03-07,0.0,0.0
19208,28647,Montserrat,United Kingdom,2020-03-08,0.0,0.0
19209,28648,Montserrat,United Kingdom,2020-03-09,0.0,0.0
19210,28649,Montserrat,United Kingdom,2020-03-10,0.0,0.0
19211,28650,Montserrat,United Kingdom,2020-03-11,0.0,0.0
19212,28651,Montserrat,United Kingdom,2020-03-12,0.0,0.0
19213,28652,Montserrat,United Kingdom,2020-03-13,0.0,0.0
19214,28653,Montserrat,United Kingdom,2020-03-14,0.0,0.0
19215,28654,Montserrat,United Kingdom,2020-03-15,0.0,0.0
19216,28655,Montserrat,United Kingdom,2020-03-16,0.0,0.0
19217,28656,Montserrat,United Kingdom,2020-03-17,0.0,0.0
19218,28657,Montserrat,United Kingdom,2020-03-18,1.0,0.0
19219,28658,Montserrat,United Kingdom,2020-03-19,1.0,0.0
19220,28659,Montserrat,United Kingdom,2020-03-20,1.0,0.0
19221,28660,Montserrat,United Kingdom,2020-03-21,1.0,0.0
19222,28661,Montserrat,United Kingdom,2020-03-22,1.0,0.0
19223,28662,Montserrat,United Kingdom,2020-03-23,1.0,0.0
19224,28663,Montserrat,United Kingdom,2020-03-24,1.0,0.0
19225,28664,Montserrat,United Kingdom,2020-03-25,1.0,0.0
19226,28665,Montserrat,United Kingdom,2020-03-26,5.0,0.0
19227,28666,Montserrat,United Kingdom,2020-03-27,5.0,0.0
19228,28667,Montserrat,United Kingdom,2020-03-28,5.0,0.0
