,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
19363,28901,,Uzbekistan,2020-01-22,0.0,0.0
19364,28902,,Uzbekistan,2020-01-23,0.0,0.0
19365,28903,,Uzbekistan,2020-01-24,0.0,0.0
19366,28904,,Uzbekistan,2020-01-25,0.0,0.0
19367,28905,,Uzbekistan,2020-01-26,0.0,0.0
19368,28906,,Uzbekistan,2020-01-27,0.0,0.0
19369,28907,,Uzbekistan,2020-01-28,0.0,0.0
19370,28908,,Uzbekistan,2020-01-29,0.0,0.0
19371,28909,,Uzbekistan,2020-01-30,0.0,0.0
19372,28910,,Uzbekistan,2020-01-31,0.0,0.0
19373,28911,,Uzbekistan,2020-02-01,0.0,0.0
19374,28912,,Uzbekistan,2020-02-02,0.0,0.0
19375,28913,,Uzbekistan,2020-02-03,0.0,0.0
19376,28914,,Uzbekistan,2020-02-04,0.0,0.0
19377,28915,,Uzbekistan,2020-02-05,0.0,0.0
19378,28916,,Uzbekistan,2020-02-06,0.0,0.0
19379,28917,,Uzbekistan,2020-02-07,0.0,0.0
19380,28918,,Uzbekistan,2020-02-08,0.0,0.0
19381,28919,,Uzbekistan,2020-02-09,0.0,0.0
19382,28920,,Uzbekistan,2020-02-10,0.0,0.0
19383,28921,,Uzbekistan,2020-02-11,0.0,0.0
19384,28922,,Uzbekistan,2020-02-12,0.0,0.0
19385,28923,,Uzbekistan,2020-02-13,0.0,0.0
19386,28924,,Uzbekistan,2020-02-14,0.0,0.0
19387,28925,,Uzbekistan,2020-02-15,0.0,0.0
19388,28926,,Uzbekistan,2020-02-16,0.0,0.0
19389,28927,,Uzbekistan,2020-02-17,0.0,0.0
19390,28928,,Uzbekistan,2020-02-18,0.0,0.0
19391,28929,,Uzbekistan,2020-02-19,0.0,0.0
19392,28930,,Uzbekistan,2020-02-20,0.0,0.0
19393,28931,,Uzbekistan,2020-02-21,0.0,0.0
19394,28932,,Uzbekistan,2020-02-22,0.0,0.0
19395,28933,,Uzbekistan,2020-02-23,0.0,0.0
19396,28934,,Uzbekistan,2020-02-24,0.0,0.0
19397,28935,,Uzbekistan,2020-02-25,0.0,0.0
19398,28936,,Uzbekistan,2020-02-26,0.0,0.0
19399,28937,,Uzbekistan,2020-02-27,0.0,0.0
19400,28938,,Uzbekistan,2020-02-28,0.0,0.0
19401,28939,,Uzbekistan,2020-02-29,0.0,0.0
19402,28940,,Uzbekistan,2020-03-01,0.0,0.0
19403,28941,,Uzbekistan,2020-03-02,0.0,0.0
19404,28942,,Uzbekistan,2020-03-03,0.0,0.0
19405,28943,,Uzbekistan,2020-03-04,0.0,0.0
19406,28944,,Uzbekistan,2020-03-05,0.0,0.0
19407,28945,,Uzbekistan,2020-03-06,0.0,0.0
19408,28946,,Uzbekistan,2020-03-07,0.0,0.0
19409,28947,,Uzbekistan,2020-03-08,0.0,0.0
19410,28948,,Uzbekistan,2020-03-09,0.0,0.0
19411,28949,,Uzbekistan,2020-03-10,0.0,0.0
19412,28950,,Uzbekistan,2020-03-11,0.0,0.0
19413,28951,,Uzbekistan,2020-03-12,0.0,0.0
19414,28952,,Uzbekistan,2020-03-13,0.0,0.0
19415,28953,,Uzbekistan,2020-03-14,0.0,0.0
19416,28954,,Uzbekistan,2020-03-15,1.0,0.0
19417,28955,,Uzbekistan,2020-03-16,6.0,0.0
19418,28956,,Uzbekistan,2020-03-17,10.0,0.0
19419,28957,,Uzbekistan,2020-03-18,15.0,0.0
19420,28958,,Uzbekistan,2020-03-19,23.0,0.0
19421,28959,,Uzbekistan,2020-03-20,33.0,0.0
19422,28960,,Uzbekistan,2020-03-21,43.0,0.0
19423,28961,,Uzbekistan,2020-03-22,43.0,0.0
19424,28962,,Uzbekistan,2020-03-23,46.0,0.0
19425,28963,,Uzbekistan,2020-03-24,50.0,0.0
19426,28964,,Uzbekistan,2020-03-25,60.0,0.0
19427,28965,,Uzbekistan,2020-03-26,75.0,0.0
19428,28966,,Uzbekistan,2020-03-27,88.0,1.0
19429,28967,,Uzbekistan,2020-03-28,104.0,2.0
