,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
19497,29101,,Vietnam,2020-01-22,0.0,0.0
19498,29102,,Vietnam,2020-01-23,2.0,0.0
19499,29103,,Vietnam,2020-01-24,2.0,0.0
19500,29104,,Vietnam,2020-01-25,2.0,0.0
19501,29105,,Vietnam,2020-01-26,2.0,0.0
19502,29106,,Vietnam,2020-01-27,2.0,0.0
19503,29107,,Vietnam,2020-01-28,2.0,0.0
19504,29108,,Vietnam,2020-01-29,2.0,0.0
19505,29109,,Vietnam,2020-01-30,2.0,0.0
19506,29110,,Vietnam,2020-01-31,2.0,0.0
19507,29111,,Vietnam,2020-02-01,6.0,0.0
19508,29112,,Vietnam,2020-02-02,6.0,0.0
19509,29113,,Vietnam,2020-02-03,8.0,0.0
19510,29114,,Vietnam,2020-02-04,8.0,0.0
19511,29115,,Vietnam,2020-02-05,8.0,0.0
19512,29116,,Vietnam,2020-02-06,10.0,0.0
19513,29117,,Vietnam,2020-02-07,10.0,0.0
19514,29118,,Vietnam,2020-02-08,13.0,0.0
19515,29119,,Vietnam,2020-02-09,13.0,0.0
19516,29120,,Vietnam,2020-02-10,14.0,0.0
19517,29121,,Vietnam,2020-02-11,15.0,0.0
19518,29122,,Vietnam,2020-02-12,15.0,0.0
19519,29123,,Vietnam,2020-02-13,16.0,0.0
19520,29124,,Vietnam,2020-02-14,16.0,0.0
19521,29125,,Vietnam,2020-02-15,16.0,0.0
19522,29126,,Vietnam,2020-02-16,16.0,0.0
19523,29127,,Vietnam,2020-02-17,16.0,0.0
19524,29128,,Vietnam,2020-02-18,16.0,0.0
19525,29129,,Vietnam,2020-02-19,16.0,0.0
19526,29130,,Vietnam,2020-02-20,16.0,0.0
19527,29131,,Vietnam,2020-02-21,16.0,0.0
19528,29132,,Vietnam,2020-02-22,16.0,0.0
19529,29133,,Vietnam,2020-02-23,16.0,0.0
19530,29134,,Vietnam,2020-02-24,16.0,0.0
19531,29135,,Vietnam,2020-02-25,16.0,0.0
19532,29136,,Vietnam,2020-02-26,16.0,0.0
19533,29137,,Vietnam,2020-02-27,16.0,0.0
19534,29138,,Vietnam,2020-02-28,16.0,0.0
19535,29139,,Vietnam,2020-02-29,16.0,0.0
19536,29140,,Vietnam,2020-03-01,16.0,0.0
19537,29141,,Vietnam,2020-03-02,16.0,0.0
19538,29142,,Vietnam,2020-03-03,16.0,0.0
19539,29143,,Vietnam,2020-03-04,16.0,0.0
19540,29144,,Vietnam,2020-03-05,16.0,0.0
19541,29145,,Vietnam,2020-03-06,16.0,0.0
19542,29146,,Vietnam,2020-03-07,18.0,0.0
19543,29147,,Vietnam,2020-03-08,30.0,0.0
19544,29148,,Vietnam,2020-03-09,30.0,0.0
19545,29149,,Vietnam,2020-03-10,31.0,0.0
19546,29150,,Vietnam,2020-03-11,38.0,0.0
19547,29151,,Vietnam,2020-03-12,39.0,0.0
19548,29152,,Vietnam,2020-03-13,47.0,0.0
19549,29153,,Vietnam,2020-03-14,53.0,0.0
19550,29154,,Vietnam,2020-03-15,56.0,0.0
19551,29155,,Vietnam,2020-03-16,61.0,0.0
19552,29156,,Vietnam,2020-03-17,66.0,0.0
19553,29157,,Vietnam,2020-03-18,75.0,0.0
19554,29158,,Vietnam,2020-03-19,85.0,0.0
19555,29159,,Vietnam,2020-03-20,91.0,0.0
19556,29160,,Vietnam,2020-03-21,94.0,0.0
19557,29161,,Vietnam,2020-03-22,113.0,0.0
19558,29162,,Vietnam,2020-03-23,123.0,0.0
19559,29163,,Vietnam,2020-03-24,134.0,0.0
19560,29164,,Vietnam,2020-03-25,141.0,0.0
19561,29165,,Vietnam,2020-03-26,153.0,0.0
19562,29166,,Vietnam,2020-03-27,163.0,0.0
19563,29167,,Vietnam,2020-03-28,174.0,0.0
