,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
402,601,,Argentina,2020-01-22,0.0,0.0
403,602,,Argentina,2020-01-23,0.0,0.0
404,603,,Argentina,2020-01-24,0.0,0.0
405,604,,Argentina,2020-01-25,0.0,0.0
406,605,,Argentina,2020-01-26,0.0,0.0
407,606,,Argentina,2020-01-27,0.0,0.0
408,607,,Argentina,2020-01-28,0.0,0.0
409,608,,Argentina,2020-01-29,0.0,0.0
410,609,,Argentina,2020-01-30,0.0,0.0
411,610,,Argentina,2020-01-31,0.0,0.0
412,611,,Argentina,2020-02-01,0.0,0.0
413,612,,Argentina,2020-02-02,0.0,0.0
414,613,,Argentina,2020-02-03,0.0,0.0
415,614,,Argentina,2020-02-04,0.0,0.0
416,615,,Argentina,2020-02-05,0.0,0.0
417,616,,Argentina,2020-02-06,0.0,0.0
418,617,,Argentina,2020-02-07,0.0,0.0
419,618,,Argentina,2020-02-08,0.0,0.0
420,619,,Argentina,2020-02-09,0.0,0.0
421,620,,Argentina,2020-02-10,0.0,0.0
422,621,,Argentina,2020-02-11,0.0,0.0
423,622,,Argentina,2020-02-12,0.0,0.0
424,623,,Argentina,2020-02-13,0.0,0.0
425,624,,Argentina,2020-02-14,0.0,0.0
426,625,,Argentina,2020-02-15,0.0,0.0
427,626,,Argentina,2020-02-16,0.0,0.0
428,627,,Argentina,2020-02-17,0.0,0.0
429,628,,Argentina,2020-02-18,0.0,0.0
430,629,,Argentina,2020-02-19,0.0,0.0
431,630,,Argentina,2020-02-20,0.0,0.0
432,631,,Argentina,2020-02-21,0.0,0.0
433,632,,Argentina,2020-02-22,0.0,0.0
434,633,,Argentina,2020-02-23,0.0,0.0
435,634,,Argentina,2020-02-24,0.0,0.0
436,635,,Argentina,2020-02-25,0.0,0.0
437,636,,Argentina,2020-02-26,0.0,0.0
438,637,,Argentina,2020-02-27,0.0,0.0
439,638,,Argentina,2020-02-28,0.0,0.0
440,639,,Argentina,2020-02-29,0.0,0.0
441,640,,Argentina,2020-03-01,0.0,0.0
442,641,,Argentina,2020-03-02,0.0,0.0
443,642,,Argentina,2020-03-03,1.0,0.0
444,643,,Argentina,2020-03-04,1.0,0.0
445,644,,Argentina,2020-03-05,1.0,0.0
446,645,,Argentina,2020-03-06,2.0,0.0
447,646,,Argentina,2020-03-07,8.0,0.0
448,647,,Argentina,2020-03-08,12.0,1.0
449,648,,Argentina,2020-03-09,12.0,1.0
450,649,,Argentina,2020-03-10,17.0,1.0
451,650,,Argentina,2020-03-11,19.0,1.0
452,651,,Argentina,2020-03-12,19.0,1.0
453,652,,Argentina,2020-03-13,31.0,2.0
454,653,,Argentina,2020-03-14,34.0,2.0
455,654,,Argentina,2020-03-15,45.0,2.0
456,655,,Argentina,2020-03-16,56.0,2.0
457,656,,Argentina,2020-03-17,68.0,2.0
458,657,,Argentina,2020-03-18,79.0,2.0
459,658,,Argentina,2020-03-19,97.0,3.0
460,659,,Argentina,2020-03-20,128.0,3.0
461,660,,Argentina,2020-03-21,158.0,4.0
462,661,,Argentina,2020-03-22,266.0,4.0
463,662,,Argentina,2020-03-23,301.0,4.0
464,663,,Argentina,2020-03-24,387.0,6.0
465,664,,Argentina,2020-03-25,387.0,8.0
466,665,,Argentina,2020-03-26,502.0,9.0
467,666,,Argentina,2020-03-27,589.0,13.0
468,667,,Argentina,2020-03-28,690.0,18.0
