,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
670,1001,Northern Territory,Australia,2020-01-22,0.0,0.0
671,1002,Northern Territory,Australia,2020-01-23,0.0,0.0
672,1003,Northern Territory,Australia,2020-01-24,0.0,0.0
673,1004,Northern Territory,Australia,2020-01-25,0.0,0.0
674,1005,Northern Territory,Australia,2020-01-26,0.0,0.0
675,1006,Northern Territory,Australia,2020-01-27,0.0,0.0
676,1007,Northern Territory,Australia,2020-01-28,0.0,0.0
677,1008,Northern Territory,Australia,2020-01-29,0.0,0.0
678,1009,Northern Territory,Australia,2020-01-30,0.0,0.0
679,1010,Northern Territory,Australia,2020-01-31,0.0,0.0
680,1011,Northern Territory,Australia,2020-02-01,0.0,0.0
681,1012,Northern Territory,Australia,2020-02-02,0.0,0.0
682,1013,Northern Territory,Australia,2020-02-03,0.0,0.0
683,1014,Northern Territory,Australia,2020-02-04,0.0,0.0
684,1015,Northern Territory,Australia,2020-02-05,0.0,0.0
685,1016,Northern Territory,Australia,2020-02-06,0.0,0.0
686,1017,Northern Territory,Australia,2020-02-07,0.0,0.0
687,1018,Northern Territory,Australia,2020-02-08,0.0,0.0
688,1019,Northern Territory,Australia,2020-02-09,0.0,0.0
689,1020,Northern Territory,Australia,2020-02-10,0.0,0.0
690,1021,Northern Territory,Australia,2020-02-11,0.0,0.0
691,1022,Northern Territory,Australia,2020-02-12,0.0,0.0
692,1023,Northern Territory,Australia,2020-02-13,0.0,0.0
693,1024,Northern Territory,Australia,2020-02-14,0.0,0.0
694,1025,Northern Territory,Australia,2020-02-15,0.0,0.0
695,1026,Northern Territory,Australia,2020-02-16,0.0,0.0
696,1027,Northern Territory,Australia,2020-02-17,0.0,0.0
697,1028,Northern Territory,Australia,2020-02-18,0.0,0.0
698,1029,Northern Territory,Australia,2020-02-19,0.0,0.0
699,1030,Northern Territory,Australia,2020-02-20,0.0,0.0
700,1031,Northern Territory,Australia,2020-02-21,0.0,0.0
701,1032,Northern Territory,Australia,2020-02-22,0.0,0.0
702,1033,Northern Territory,Australia,2020-02-23,0.0,0.0
703,1034,Northern Territory,Australia,2020-02-24,0.0,0.0
704,1035,Northern Territory,Australia,2020-02-25,0.0,0.0
705,1036,Northern Territory,Australia,2020-02-26,0.0,0.0
706,1037,Northern Territory,Australia,2020-02-27,0.0,0.0
707,1038,Northern Territory,Australia,2020-02-28,0.0,0.0
708,1039,Northern Territory,Australia,2020-02-29,0.0,0.0
709,1040,Northern Territory,Australia,2020-03-01,0.0,0.0
710,1041,Northern Territory,Australia,2020-03-02,0.0,0.0
711,1042,Northern Territory,Australia,2020-03-03,0.0,0.0
712,1043,Northern Territory,Australia,2020-03-04,1.0,0.0
713,1044,Northern Territory,Australia,2020-03-05,1.0,0.0
714,1045,Northern Territory,Australia,2020-03-06,0.0,0.0
715,1046,Northern Territory,Australia,2020-03-07,0.0,0.0
716,1047,Northern Territory,Australia,2020-03-08,0.0,0.0
717,1048,Northern Territory,Australia,2020-03-09,0.0,0.0
718,1049,Northern Territory,Australia,2020-03-10,1.0,0.0
719,1050,Northern Territory,Australia,2020-03-11,1.0,0.0
720,1051,Northern Territory,Australia,2020-03-12,1.0,0.0
721,1052,Northern Territory,Australia,2020-03-13,1.0,0.0
722,1053,Northern Territory,Australia,2020-03-14,1.0,0.0
723,1054,Northern Territory,Australia,2020-03-15,1.0,0.0
724,1055,Northern Territory,Australia,2020-03-16,1.0,0.0
725,1056,Northern Territory,Australia,2020-03-17,1.0,0.0
726,1057,Northern Territory,Australia,2020-03-18,1.0,0.0
727,1058,Northern Territory,Australia,2020-03-19,1.0,0.0
728,1059,Northern Territory,Australia,2020-03-20,3.0,0.0
729,1060,Northern Territory,Australia,2020-03-21,3.0,0.0
730,1061,Northern Territory,Australia,2020-03-22,5.0,0.0
731,1062,Northern Territory,Australia,2020-03-23,5.0,0.0
732,1063,Northern Territory,Australia,2020-03-24,6.0,0.0
733,1064,Northern Territory,Australia,2020-03-25,6.0,0.0
734,1065,Northern Territory,Australia,2020-03-26,12.0,0.0
735,1066,Northern Territory,Australia,2020-03-27,12.0,0.0
736,1067,Northern Territory,Australia,2020-03-28,15.0,0.0
