,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1005,1501,Western Australia,Australia,2020-01-22,0.0,0.0
1006,1502,Western Australia,Australia,2020-01-23,0.0,0.0
1007,1503,Western Australia,Australia,2020-01-24,0.0,0.0
1008,1504,Western Australia,Australia,2020-01-25,0.0,0.0
1009,1505,Western Australia,Australia,2020-01-26,0.0,0.0
1010,1506,Western Australia,Australia,2020-01-27,0.0,0.0
1011,1507,Western Australia,Australia,2020-01-28,0.0,0.0
1012,1508,Western Australia,Australia,2020-01-29,0.0,0.0
1013,1509,Western Australia,Australia,2020-01-30,0.0,0.0
1014,1510,Western Australia,Australia,2020-01-31,0.0,0.0
1015,1511,Western Australia,Australia,2020-02-01,0.0,0.0
1016,1512,Western Australia,Australia,2020-02-02,0.0,0.0
1017,1513,Western Australia,Australia,2020-02-03,0.0,0.0
1018,1514,Western Australia,Australia,2020-02-04,0.0,0.0
1019,1515,Western Australia,Australia,2020-02-05,0.0,0.0
1020,1516,Western Australia,Australia,2020-02-06,0.0,0.0
1021,1517,Western Australia,Australia,2020-02-07,0.0,0.0
1022,1518,Western Australia,Australia,2020-02-08,0.0,0.0
1023,1519,Western Australia,Australia,2020-02-09,0.0,0.0
1024,1520,Western Australia,Australia,2020-02-10,0.0,0.0
1025,1521,Western Australia,Australia,2020-02-11,0.0,0.0
1026,1522,Western Australia,Australia,2020-02-12,0.0,0.0
1027,1523,Western Australia,Australia,2020-02-13,0.0,0.0
1028,1524,Western Australia,Australia,2020-02-14,0.0,0.0
1029,1525,Western Australia,Australia,2020-02-15,0.0,0.0
1030,1526,Western Australia,Australia,2020-02-16,0.0,0.0
1031,1527,Western Australia,Australia,2020-02-17,0.0,0.0
1032,1528,Western Australia,Australia,2020-02-18,0.0,0.0
1033,1529,Western Australia,Australia,2020-02-19,0.0,0.0
1034,1530,Western Australia,Australia,2020-02-20,0.0,0.0
1035,1531,Western Australia,Australia,2020-02-21,0.0,0.0
1036,1532,Western Australia,Australia,2020-02-22,0.0,0.0
1037,1533,Western Australia,Australia,2020-02-23,0.0,0.0
1038,1534,Western Australia,Australia,2020-02-24,0.0,0.0
1039,1535,Western Australia,Australia,2020-02-25,0.0,0.0
1040,1536,Western Australia,Australia,2020-02-26,0.0,0.0
1041,1537,Western Australia,Australia,2020-02-27,0.0,0.0
1042,1538,Western Australia,Australia,2020-02-28,0.0,0.0
1043,1539,Western Australia,Australia,2020-02-29,2.0,0.0
1044,1540,Western Australia,Australia,2020-03-01,2.0,1.0
1045,1541,Western Australia,Australia,2020-03-02,2.0,1.0
1046,1542,Western Australia,Australia,2020-03-03,2.0,1.0
1047,1543,Western Australia,Australia,2020-03-04,2.0,1.0
1048,1544,Western Australia,Australia,2020-03-05,3.0,1.0
1049,1545,Western Australia,Australia,2020-03-06,3.0,1.0
1050,1546,Western Australia,Australia,2020-03-07,3.0,1.0
1051,1547,Western Australia,Australia,2020-03-08,3.0,1.0
1052,1548,Western Australia,Australia,2020-03-09,4.0,1.0
1053,1549,Western Australia,Australia,2020-03-10,6.0,1.0
1054,1550,Western Australia,Australia,2020-03-11,9.0,1.0
1055,1551,Western Australia,Australia,2020-03-12,9.0,1.0
1056,1552,Western Australia,Australia,2020-03-13,14.0,1.0
1057,1553,Western Australia,Australia,2020-03-14,17.0,1.0
1058,1554,Western Australia,Australia,2020-03-15,17.0,1.0
1059,1555,Western Australia,Australia,2020-03-16,28.0,1.0
1060,1556,Western Australia,Australia,2020-03-17,31.0,1.0
1061,1557,Western Australia,Australia,2020-03-18,35.0,1.0
1062,1558,Western Australia,Australia,2020-03-19,52.0,1.0
1063,1559,Western Australia,Australia,2020-03-20,64.0,1.0
1064,1560,Western Australia,Australia,2020-03-21,90.0,1.0
1065,1561,Western Australia,Australia,2020-03-22,120.0,1.0
1066,1562,Western Australia,Australia,2020-03-23,140.0,1.0
1067,1563,Western Australia,Australia,2020-03-24,175.0,1.0
1068,1564,Western Australia,Australia,2020-03-25,175.0,1.0
1069,1565,Western Australia,Australia,2020-03-26,231.0,2.0
1070,1566,Western Australia,Australia,2020-03-27,231.0,2.0
1071,1567,Western Australia,Australia,2020-03-28,278.0,2.0
