,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1072,1601,,Austria,2020-01-22,0.0,0.0
1073,1602,,Austria,2020-01-23,0.0,0.0
1074,1603,,Austria,2020-01-24,0.0,0.0
1075,1604,,Austria,2020-01-25,0.0,0.0
1076,1605,,Austria,2020-01-26,0.0,0.0
1077,1606,,Austria,2020-01-27,0.0,0.0
1078,1607,,Austria,2020-01-28,0.0,0.0
1079,1608,,Austria,2020-01-29,0.0,0.0
1080,1609,,Austria,2020-01-30,0.0,0.0
1081,1610,,Austria,2020-01-31,0.0,0.0
1082,1611,,Austria,2020-02-01,0.0,0.0
1083,1612,,Austria,2020-02-02,0.0,0.0
1084,1613,,Austria,2020-02-03,0.0,0.0
1085,1614,,Austria,2020-02-04,0.0,0.0
1086,1615,,Austria,2020-02-05,0.0,0.0
1087,1616,,Austria,2020-02-06,0.0,0.0
1088,1617,,Austria,2020-02-07,0.0,0.0
1089,1618,,Austria,2020-02-08,0.0,0.0
1090,1619,,Austria,2020-02-09,0.0,0.0
1091,1620,,Austria,2020-02-10,0.0,0.0
1092,1621,,Austria,2020-02-11,0.0,0.0
1093,1622,,Austria,2020-02-12,0.0,0.0
1094,1623,,Austria,2020-02-13,0.0,0.0
1095,1624,,Austria,2020-02-14,0.0,0.0
1096,1625,,Austria,2020-02-15,0.0,0.0
1097,1626,,Austria,2020-02-16,0.0,0.0
1098,1627,,Austria,2020-02-17,0.0,0.0
1099,1628,,Austria,2020-02-18,0.0,0.0
1100,1629,,Austria,2020-02-19,0.0,0.0
1101,1630,,Austria,2020-02-20,0.0,0.0
1102,1631,,Austria,2020-02-21,0.0,0.0
1103,1632,,Austria,2020-02-22,0.0,0.0
1104,1633,,Austria,2020-02-23,0.0,0.0
1105,1634,,Austria,2020-02-24,0.0,0.0
1106,1635,,Austria,2020-02-25,2.0,0.0
1107,1636,,Austria,2020-02-26,2.0,0.0
1108,1637,,Austria,2020-02-27,3.0,0.0
1109,1638,,Austria,2020-02-28,3.0,0.0
1110,1639,,Austria,2020-02-29,9.0,0.0
1111,1640,,Austria,2020-03-01,14.0,0.0
1112,1641,,Austria,2020-03-02,18.0,0.0
1113,1642,,Austria,2020-03-03,21.0,0.0
1114,1643,,Austria,2020-03-04,29.0,0.0
1115,1644,,Austria,2020-03-05,41.0,0.0
1116,1645,,Austria,2020-03-06,55.0,0.0
1117,1646,,Austria,2020-03-07,79.0,0.0
1118,1647,,Austria,2020-03-08,104.0,0.0
1119,1648,,Austria,2020-03-09,131.0,0.0
1120,1649,,Austria,2020-03-10,182.0,0.0
1121,1650,,Austria,2020-03-11,246.0,0.0
1122,1651,,Austria,2020-03-12,302.0,1.0
1123,1652,,Austria,2020-03-13,504.0,1.0
1124,1653,,Austria,2020-03-14,655.0,1.0
1125,1654,,Austria,2020-03-15,860.0,1.0
1126,1655,,Austria,2020-03-16,1018.0,3.0
1127,1656,,Austria,2020-03-17,1332.0,3.0
1128,1657,,Austria,2020-03-18,1646.0,4.0
1129,1658,,Austria,2020-03-19,2013.0,6.0
1130,1659,,Austria,2020-03-20,2388.0,6.0
1131,1660,,Austria,2020-03-21,2814.0,8.0
1132,1661,,Austria,2020-03-22,3582.0,16.0
1133,1662,,Austria,2020-03-23,4474.0,21.0
1134,1663,,Austria,2020-03-24,5283.0,28.0
1135,1664,,Austria,2020-03-25,5588.0,30.0
1136,1665,,Austria,2020-03-26,6909.0,49.0
1137,1666,,Austria,2020-03-27,7657.0,58.0
1138,1667,,Austria,2020-03-28,8271.0,68.0
