,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1206,1801,,Bahamas,2020-01-22,0.0,0.0
1207,1802,,Bahamas,2020-01-23,0.0,0.0
1208,1803,,Bahamas,2020-01-24,0.0,0.0
1209,1804,,Bahamas,2020-01-25,0.0,0.0
1210,1805,,Bahamas,2020-01-26,0.0,0.0
1211,1806,,Bahamas,2020-01-27,0.0,0.0
1212,1807,,Bahamas,2020-01-28,0.0,0.0
1213,1808,,Bahamas,2020-01-29,0.0,0.0
1214,1809,,Bahamas,2020-01-30,0.0,0.0
1215,1810,,Bahamas,2020-01-31,0.0,0.0
1216,1811,,Bahamas,2020-02-01,0.0,0.0
1217,1812,,Bahamas,2020-02-02,0.0,0.0
1218,1813,,Bahamas,2020-02-03,0.0,0.0
1219,1814,,Bahamas,2020-02-04,0.0,0.0
1220,1815,,Bahamas,2020-02-05,0.0,0.0
1221,1816,,Bahamas,2020-02-06,0.0,0.0
1222,1817,,Bahamas,2020-02-07,0.0,0.0
1223,1818,,Bahamas,2020-02-08,0.0,0.0
1224,1819,,Bahamas,2020-02-09,0.0,0.0
1225,1820,,Bahamas,2020-02-10,0.0,0.0
1226,1821,,Bahamas,2020-02-11,0.0,0.0
1227,1822,,Bahamas,2020-02-12,0.0,0.0
1228,1823,,Bahamas,2020-02-13,0.0,0.0
1229,1824,,Bahamas,2020-02-14,0.0,0.0
1230,1825,,Bahamas,2020-02-15,0.0,0.0
1231,1826,,Bahamas,2020-02-16,0.0,0.0
1232,1827,,Bahamas,2020-02-17,0.0,0.0
1233,1828,,Bahamas,2020-02-18,0.0,0.0
1234,1829,,Bahamas,2020-02-19,0.0,0.0
1235,1830,,Bahamas,2020-02-20,0.0,0.0
1236,1831,,Bahamas,2020-02-21,0.0,0.0
1237,1832,,Bahamas,2020-02-22,0.0,0.0
1238,1833,,Bahamas,2020-02-23,0.0,0.0
1239,1834,,Bahamas,2020-02-24,0.0,0.0
1240,1835,,Bahamas,2020-02-25,0.0,0.0
1241,1836,,Bahamas,2020-02-26,0.0,0.0
1242,1837,,Bahamas,2020-02-27,0.0,0.0
1243,1838,,Bahamas,2020-02-28,0.0,0.0
1244,1839,,Bahamas,2020-02-29,0.0,0.0
1245,1840,,Bahamas,2020-03-01,0.0,0.0
1246,1841,,Bahamas,2020-03-02,0.0,0.0
1247,1842,,Bahamas,2020-03-03,0.0,0.0
1248,1843,,Bahamas,2020-03-04,0.0,0.0
1249,1844,,Bahamas,2020-03-05,0.0,0.0
1250,1845,,Bahamas,2020-03-06,0.0,0.0
1251,1846,,Bahamas,2020-03-07,0.0,0.0
1252,1847,,Bahamas,2020-03-08,0.0,0.0
1253,1848,,Bahamas,2020-03-09,0.0,0.0
1254,1849,,Bahamas,2020-03-10,0.0,0.0
1255,1850,,Bahamas,2020-03-11,0.0,0.0
1256,1851,,Bahamas,2020-03-12,0.0,0.0
1257,1852,,Bahamas,2020-03-13,0.0,0.0
1258,1853,,Bahamas,2020-03-14,0.0,0.0
1259,1854,,Bahamas,2020-03-15,0.0,0.0
1260,1855,,Bahamas,2020-03-16,1.0,0.0
1261,1856,,Bahamas,2020-03-17,1.0,0.0
1262,1857,,Bahamas,2020-03-18,1.0,0.0
1263,1858,,Bahamas,2020-03-19,3.0,0.0
1264,1859,,Bahamas,2020-03-20,3.0,0.0
1265,1860,,Bahamas,2020-03-21,4.0,0.0
1266,1861,,Bahamas,2020-03-22,4.0,0.0
1267,1862,,Bahamas,2020-03-23,4.0,0.0
1268,1863,,Bahamas,2020-03-24,5.0,0.0
1269,1864,,Bahamas,2020-03-25,5.0,0.0
1270,1865,,Bahamas,2020-03-26,9.0,0.0
1271,1866,,Bahamas,2020-03-27,10.0,0.0
1272,1867,,Bahamas,2020-03-28,10.0,0.0
