,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1340,2001,,Bangladesh,2020-01-22,0.0,0.0
1341,2002,,Bangladesh,2020-01-23,0.0,0.0
1342,2003,,Bangladesh,2020-01-24,0.0,0.0
1343,2004,,Bangladesh,2020-01-25,0.0,0.0
1344,2005,,Bangladesh,2020-01-26,0.0,0.0
1345,2006,,Bangladesh,2020-01-27,0.0,0.0
1346,2007,,Bangladesh,2020-01-28,0.0,0.0
1347,2008,,Bangladesh,2020-01-29,0.0,0.0
1348,2009,,Bangladesh,2020-01-30,0.0,0.0
1349,2010,,Bangladesh,2020-01-31,0.0,0.0
1350,2011,,Bangladesh,2020-02-01,0.0,0.0
1351,2012,,Bangladesh,2020-02-02,0.0,0.0
1352,2013,,Bangladesh,2020-02-03,0.0,0.0
1353,2014,,Bangladesh,2020-02-04,0.0,0.0
1354,2015,,Bangladesh,2020-02-05,0.0,0.0
1355,2016,,Bangladesh,2020-02-06,0.0,0.0
1356,2017,,Bangladesh,2020-02-07,0.0,0.0
1357,2018,,Bangladesh,2020-02-08,0.0,0.0
1358,2019,,Bangladesh,2020-02-09,0.0,0.0
1359,2020,,Bangladesh,2020-02-10,0.0,0.0
1360,2021,,Bangladesh,2020-02-11,0.0,0.0
1361,2022,,Bangladesh,2020-02-12,0.0,0.0
1362,2023,,Bangladesh,2020-02-13,0.0,0.0
1363,2024,,Bangladesh,2020-02-14,0.0,0.0
1364,2025,,Bangladesh,2020-02-15,0.0,0.0
1365,2026,,Bangladesh,2020-02-16,0.0,0.0
1366,2027,,Bangladesh,2020-02-17,0.0,0.0
1367,2028,,Bangladesh,2020-02-18,0.0,0.0
1368,2029,,Bangladesh,2020-02-19,0.0,0.0
1369,2030,,Bangladesh,2020-02-20,0.0,0.0
1370,2031,,Bangladesh,2020-02-21,0.0,0.0
1371,2032,,Bangladesh,2020-02-22,0.0,0.0
1372,2033,,Bangladesh,2020-02-23,0.0,0.0
1373,2034,,Bangladesh,2020-02-24,0.0,0.0
1374,2035,,Bangladesh,2020-02-25,0.0,0.0
1375,2036,,Bangladesh,2020-02-26,0.0,0.0
1376,2037,,Bangladesh,2020-02-27,0.0,0.0
1377,2038,,Bangladesh,2020-02-28,0.0,0.0
1378,2039,,Bangladesh,2020-02-29,0.0,0.0
1379,2040,,Bangladesh,2020-03-01,0.0,0.0
1380,2041,,Bangladesh,2020-03-02,0.0,0.0
1381,2042,,Bangladesh,2020-03-03,0.0,0.0
1382,2043,,Bangladesh,2020-03-04,0.0,0.0
1383,2044,,Bangladesh,2020-03-05,0.0,0.0
1384,2045,,Bangladesh,2020-03-06,0.0,0.0
1385,2046,,Bangladesh,2020-03-07,0.0,0.0
1386,2047,,Bangladesh,2020-03-08,3.0,0.0
1387,2048,,Bangladesh,2020-03-09,3.0,0.0
1388,2049,,Bangladesh,2020-03-10,3.0,0.0
1389,2050,,Bangladesh,2020-03-11,3.0,0.0
1390,2051,,Bangladesh,2020-03-12,3.0,0.0
1391,2052,,Bangladesh,2020-03-13,3.0,0.0
1392,2053,,Bangladesh,2020-03-14,3.0,0.0
1393,2054,,Bangladesh,2020-03-15,5.0,0.0
1394,2055,,Bangladesh,2020-03-16,8.0,0.0
1395,2056,,Bangladesh,2020-03-17,10.0,0.0
1396,2057,,Bangladesh,2020-03-18,14.0,1.0
1397,2058,,Bangladesh,2020-03-19,17.0,1.0
1398,2059,,Bangladesh,2020-03-20,20.0,1.0
1399,2060,,Bangladesh,2020-03-21,25.0,2.0
1400,2061,,Bangladesh,2020-03-22,27.0,2.0
1401,2062,,Bangladesh,2020-03-23,33.0,3.0
1402,2063,,Bangladesh,2020-03-24,39.0,4.0
1403,2064,,Bangladesh,2020-03-25,39.0,5.0
1404,2065,,Bangladesh,2020-03-26,44.0,5.0
1405,2066,,Bangladesh,2020-03-27,48.0,5.0
1406,2067,,Bangladesh,2020-03-28,48.0,5.0
