,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1474,2201,,Belarus,2020-01-22,0.0,0.0
1475,2202,,Belarus,2020-01-23,0.0,0.0
1476,2203,,Belarus,2020-01-24,0.0,0.0
1477,2204,,Belarus,2020-01-25,0.0,0.0
1478,2205,,Belarus,2020-01-26,0.0,0.0
1479,2206,,Belarus,2020-01-27,0.0,0.0
1480,2207,,Belarus,2020-01-28,0.0,0.0
1481,2208,,Belarus,2020-01-29,0.0,0.0
1482,2209,,Belarus,2020-01-30,0.0,0.0
1483,2210,,Belarus,2020-01-31,0.0,0.0
1484,2211,,Belarus,2020-02-01,0.0,0.0
1485,2212,,Belarus,2020-02-02,0.0,0.0
1486,2213,,Belarus,2020-02-03,0.0,0.0
1487,2214,,Belarus,2020-02-04,0.0,0.0
1488,2215,,Belarus,2020-02-05,0.0,0.0
1489,2216,,Belarus,2020-02-06,0.0,0.0
1490,2217,,Belarus,2020-02-07,0.0,0.0
1491,2218,,Belarus,2020-02-08,0.0,0.0
1492,2219,,Belarus,2020-02-09,0.0,0.0
1493,2220,,Belarus,2020-02-10,0.0,0.0
1494,2221,,Belarus,2020-02-11,0.0,0.0
1495,2222,,Belarus,2020-02-12,0.0,0.0
1496,2223,,Belarus,2020-02-13,0.0,0.0
1497,2224,,Belarus,2020-02-14,0.0,0.0
1498,2225,,Belarus,2020-02-15,0.0,0.0
1499,2226,,Belarus,2020-02-16,0.0,0.0
1500,2227,,Belarus,2020-02-17,0.0,0.0
1501,2228,,Belarus,2020-02-18,0.0,0.0
1502,2229,,Belarus,2020-02-19,0.0,0.0
1503,2230,,Belarus,2020-02-20,0.0,0.0
1504,2231,,Belarus,2020-02-21,0.0,0.0
1505,2232,,Belarus,2020-02-22,0.0,0.0
1506,2233,,Belarus,2020-02-23,0.0,0.0
1507,2234,,Belarus,2020-02-24,0.0,0.0
1508,2235,,Belarus,2020-02-25,0.0,0.0
1509,2236,,Belarus,2020-02-26,0.0,0.0
1510,2237,,Belarus,2020-02-27,0.0,0.0
1511,2238,,Belarus,2020-02-28,1.0,0.0
1512,2239,,Belarus,2020-02-29,1.0,0.0
1513,2240,,Belarus,2020-03-01,1.0,0.0
1514,2241,,Belarus,2020-03-02,1.0,0.0
1515,2242,,Belarus,2020-03-03,1.0,0.0
1516,2243,,Belarus,2020-03-04,6.0,0.0
1517,2244,,Belarus,2020-03-05,6.0,0.0
1518,2245,,Belarus,2020-03-06,6.0,0.0
1519,2246,,Belarus,2020-03-07,6.0,0.0
1520,2247,,Belarus,2020-03-08,6.0,0.0
1521,2248,,Belarus,2020-03-09,6.0,0.0
1522,2249,,Belarus,2020-03-10,9.0,0.0
1523,2250,,Belarus,2020-03-11,9.0,0.0
1524,2251,,Belarus,2020-03-12,12.0,0.0
1525,2252,,Belarus,2020-03-13,27.0,0.0
1526,2253,,Belarus,2020-03-14,27.0,0.0
1527,2254,,Belarus,2020-03-15,27.0,0.0
1528,2255,,Belarus,2020-03-16,36.0,0.0
1529,2256,,Belarus,2020-03-17,36.0,0.0
1530,2257,,Belarus,2020-03-18,51.0,0.0
1531,2258,,Belarus,2020-03-19,51.0,0.0
1532,2259,,Belarus,2020-03-20,69.0,0.0
1533,2260,,Belarus,2020-03-21,76.0,0.0
1534,2261,,Belarus,2020-03-22,76.0,0.0
1535,2262,,Belarus,2020-03-23,81.0,0.0
1536,2263,,Belarus,2020-03-24,81.0,0.0
1537,2264,,Belarus,2020-03-25,86.0,0.0
1538,2265,,Belarus,2020-03-26,86.0,0.0
1539,2266,,Belarus,2020-03-27,94.0,0.0
1540,2267,,Belarus,2020-03-28,94.0,0.0
