,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1876,2801,,Bosnia and Herzegovina,2020-01-22,0.0,0.0
1877,2802,,Bosnia and Herzegovina,2020-01-23,0.0,0.0
1878,2803,,Bosnia and Herzegovina,2020-01-24,0.0,0.0
1879,2804,,Bosnia and Herzegovina,2020-01-25,0.0,0.0
1880,2805,,Bosnia and Herzegovina,2020-01-26,0.0,0.0
1881,2806,,Bosnia and Herzegovina,2020-01-27,0.0,0.0
1882,2807,,Bosnia and Herzegovina,2020-01-28,0.0,0.0
1883,2808,,Bosnia and Herzegovina,2020-01-29,0.0,0.0
1884,2809,,Bosnia and Herzegovina,2020-01-30,0.0,0.0
1885,2810,,Bosnia and Herzegovina,2020-01-31,0.0,0.0
1886,2811,,Bosnia and Herzegovina,2020-02-01,0.0,0.0
1887,2812,,Bosnia and Herzegovina,2020-02-02,0.0,0.0
1888,2813,,Bosnia and Herzegovina,2020-02-03,0.0,0.0
1889,2814,,Bosnia and Herzegovina,2020-02-04,0.0,0.0
1890,2815,,Bosnia and Herzegovina,2020-02-05,0.0,0.0
1891,2816,,Bosnia and Herzegovina,2020-02-06,0.0,0.0
1892,2817,,Bosnia and Herzegovina,2020-02-07,0.0,0.0
1893,2818,,Bosnia and Herzegovina,2020-02-08,0.0,0.0
1894,2819,,Bosnia and Herzegovina,2020-02-09,0.0,0.0
1895,2820,,Bosnia and Herzegovina,2020-02-10,0.0,0.0
1896,2821,,Bosnia and Herzegovina,2020-02-11,0.0,0.0
1897,2822,,Bosnia and Herzegovina,2020-02-12,0.0,0.0
1898,2823,,Bosnia and Herzegovina,2020-02-13,0.0,0.0
1899,2824,,Bosnia and Herzegovina,2020-02-14,0.0,0.0
1900,2825,,Bosnia and Herzegovina,2020-02-15,0.0,0.0
1901,2826,,Bosnia and Herzegovina,2020-02-16,0.0,0.0
1902,2827,,Bosnia and Herzegovina,2020-02-17,0.0,0.0
1903,2828,,Bosnia and Herzegovina,2020-02-18,0.0,0.0
1904,2829,,Bosnia and Herzegovina,2020-02-19,0.0,0.0
1905,2830,,Bosnia and Herzegovina,2020-02-20,0.0,0.0
1906,2831,,Bosnia and Herzegovina,2020-02-21,0.0,0.0
1907,2832,,Bosnia and Herzegovina,2020-02-22,0.0,0.0
1908,2833,,Bosnia and Herzegovina,2020-02-23,0.0,0.0
1909,2834,,Bosnia and Herzegovina,2020-02-24,0.0,0.0
1910,2835,,Bosnia and Herzegovina,2020-02-25,0.0,0.0
1911,2836,,Bosnia and Herzegovina,2020-02-26,0.0,0.0
1912,2837,,Bosnia and Herzegovina,2020-02-27,0.0,0.0
1913,2838,,Bosnia and Herzegovina,2020-02-28,0.0,0.0
1914,2839,,Bosnia and Herzegovina,2020-02-29,0.0,0.0
1915,2840,,Bosnia and Herzegovina,2020-03-01,0.0,0.0
1916,2841,,Bosnia and Herzegovina,2020-03-02,0.0,0.0
1917,2842,,Bosnia and Herzegovina,2020-03-03,0.0,0.0
1918,2843,,Bosnia and Herzegovina,2020-03-04,0.0,0.0
1919,2844,,Bosnia and Herzegovina,2020-03-05,2.0,0.0
1920,2845,,Bosnia and Herzegovina,2020-03-06,2.0,0.0
1921,2846,,Bosnia and Herzegovina,2020-03-07,3.0,0.0
1922,2847,,Bosnia and Herzegovina,2020-03-08,3.0,0.0
1923,2848,,Bosnia and Herzegovina,2020-03-09,3.0,0.0
1924,2849,,Bosnia and Herzegovina,2020-03-10,5.0,0.0
1925,2850,,Bosnia and Herzegovina,2020-03-11,7.0,0.0
1926,2851,,Bosnia and Herzegovina,2020-03-12,11.0,0.0
1927,2852,,Bosnia and Herzegovina,2020-03-13,13.0,0.0
1928,2853,,Bosnia and Herzegovina,2020-03-14,18.0,0.0
1929,2854,,Bosnia and Herzegovina,2020-03-15,24.0,0.0
1930,2855,,Bosnia and Herzegovina,2020-03-16,25.0,0.0
1931,2856,,Bosnia and Herzegovina,2020-03-17,26.0,0.0
1932,2857,,Bosnia and Herzegovina,2020-03-18,38.0,0.0
1933,2858,,Bosnia and Herzegovina,2020-03-19,63.0,0.0
1934,2859,,Bosnia and Herzegovina,2020-03-20,89.0,0.0
1935,2860,,Bosnia and Herzegovina,2020-03-21,93.0,1.0
1936,2861,,Bosnia and Herzegovina,2020-03-22,126.0,1.0
1937,2862,,Bosnia and Herzegovina,2020-03-23,136.0,1.0
1938,2863,,Bosnia and Herzegovina,2020-03-24,166.0,3.0
1939,2864,,Bosnia and Herzegovina,2020-03-25,176.0,3.0
1940,2865,,Bosnia and Herzegovina,2020-03-26,191.0,3.0
1941,2866,,Bosnia and Herzegovina,2020-03-27,237.0,4.0
1942,2867,,Bosnia and Herzegovina,2020-03-28,258.0,5.0
