,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
2077,3101,,Bulgaria,2020-01-22,0.0,0.0
2078,3102,,Bulgaria,2020-01-23,0.0,0.0
2079,3103,,Bulgaria,2020-01-24,0.0,0.0
2080,3104,,Bulgaria,2020-01-25,0.0,0.0
2081,3105,,Bulgaria,2020-01-26,0.0,0.0
2082,3106,,Bulgaria,2020-01-27,0.0,0.0
2083,3107,,Bulgaria,2020-01-28,0.0,0.0
2084,3108,,Bulgaria,2020-01-29,0.0,0.0
2085,3109,,Bulgaria,2020-01-30,0.0,0.0
2086,3110,,Bulgaria,2020-01-31,0.0,0.0
2087,3111,,Bulgaria,2020-02-01,0.0,0.0
2088,3112,,Bulgaria,2020-02-02,0.0,0.0
2089,3113,,Bulgaria,2020-02-03,0.0,0.0
2090,3114,,Bulgaria,2020-02-04,0.0,0.0
2091,3115,,Bulgaria,2020-02-05,0.0,0.0
2092,3116,,Bulgaria,2020-02-06,0.0,0.0
2093,3117,,Bulgaria,2020-02-07,0.0,0.0
2094,3118,,Bulgaria,2020-02-08,0.0,0.0
2095,3119,,Bulgaria,2020-02-09,0.0,0.0
2096,3120,,Bulgaria,2020-02-10,0.0,0.0
2097,3121,,Bulgaria,2020-02-11,0.0,0.0
2098,3122,,Bulgaria,2020-02-12,0.0,0.0
2099,3123,,Bulgaria,2020-02-13,0.0,0.0
2100,3124,,Bulgaria,2020-02-14,0.0,0.0
2101,3125,,Bulgaria,2020-02-15,0.0,0.0
2102,3126,,Bulgaria,2020-02-16,0.0,0.0
2103,3127,,Bulgaria,2020-02-17,0.0,0.0
2104,3128,,Bulgaria,2020-02-18,0.0,0.0
2105,3129,,Bulgaria,2020-02-19,0.0,0.0
2106,3130,,Bulgaria,2020-02-20,0.0,0.0
2107,3131,,Bulgaria,2020-02-21,0.0,0.0
2108,3132,,Bulgaria,2020-02-22,0.0,0.0
2109,3133,,Bulgaria,2020-02-23,0.0,0.0
2110,3134,,Bulgaria,2020-02-24,0.0,0.0
2111,3135,,Bulgaria,2020-02-25,0.0,0.0
2112,3136,,Bulgaria,2020-02-26,0.0,0.0
2113,3137,,Bulgaria,2020-02-27,0.0,0.0
2114,3138,,Bulgaria,2020-02-28,0.0,0.0
2115,3139,,Bulgaria,2020-02-29,0.0,0.0
2116,3140,,Bulgaria,2020-03-01,0.0,0.0
2117,3141,,Bulgaria,2020-03-02,0.0,0.0
2118,3142,,Bulgaria,2020-03-03,0.0,0.0
2119,3143,,Bulgaria,2020-03-04,0.0,0.0
2120,3144,,Bulgaria,2020-03-05,0.0,0.0
2121,3145,,Bulgaria,2020-03-06,0.0,0.0
2122,3146,,Bulgaria,2020-03-07,0.0,0.0
2123,3147,,Bulgaria,2020-03-08,4.0,0.0
2124,3148,,Bulgaria,2020-03-09,4.0,0.0
2125,3149,,Bulgaria,2020-03-10,4.0,0.0
2126,3150,,Bulgaria,2020-03-11,7.0,1.0
2127,3151,,Bulgaria,2020-03-12,7.0,1.0
2128,3152,,Bulgaria,2020-03-13,23.0,1.0
2129,3153,,Bulgaria,2020-03-14,41.0,2.0
2130,3154,,Bulgaria,2020-03-15,51.0,2.0
2131,3155,,Bulgaria,2020-03-16,52.0,2.0
2132,3156,,Bulgaria,2020-03-17,67.0,2.0
2133,3157,,Bulgaria,2020-03-18,92.0,2.0
2134,3158,,Bulgaria,2020-03-19,94.0,3.0
2135,3159,,Bulgaria,2020-03-20,127.0,3.0
2136,3160,,Bulgaria,2020-03-21,163.0,3.0
2137,3161,,Bulgaria,2020-03-22,187.0,3.0
2138,3162,,Bulgaria,2020-03-23,201.0,3.0
2139,3163,,Bulgaria,2020-03-24,218.0,3.0
2140,3164,,Bulgaria,2020-03-25,242.0,3.0
2141,3165,,Bulgaria,2020-03-26,264.0,3.0
2142,3166,,Bulgaria,2020-03-27,293.0,3.0
2143,3167,,Bulgaria,2020-03-28,331.0,7.0
