,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
2278,3401,,Cambodia,2020-01-22,0.0,0.0
2279,3402,,Cambodia,2020-01-23,0.0,0.0
2280,3403,,Cambodia,2020-01-24,0.0,0.0
2281,3404,,Cambodia,2020-01-25,0.0,0.0
2282,3405,,Cambodia,2020-01-26,0.0,0.0
2283,3406,,Cambodia,2020-01-27,1.0,0.0
2284,3407,,Cambodia,2020-01-28,1.0,0.0
2285,3408,,Cambodia,2020-01-29,1.0,0.0
2286,3409,,Cambodia,2020-01-30,1.0,0.0
2287,3410,,Cambodia,2020-01-31,1.0,0.0
2288,3411,,Cambodia,2020-02-01,1.0,0.0
2289,3412,,Cambodia,2020-02-02,1.0,0.0
2290,3413,,Cambodia,2020-02-03,1.0,0.0
2291,3414,,Cambodia,2020-02-04,1.0,0.0
2292,3415,,Cambodia,2020-02-05,1.0,0.0
2293,3416,,Cambodia,2020-02-06,1.0,0.0
2294,3417,,Cambodia,2020-02-07,1.0,0.0
2295,3418,,Cambodia,2020-02-08,1.0,0.0
2296,3419,,Cambodia,2020-02-09,1.0,0.0
2297,3420,,Cambodia,2020-02-10,1.0,0.0
2298,3421,,Cambodia,2020-02-11,1.0,0.0
2299,3422,,Cambodia,2020-02-12,1.0,0.0
2300,3423,,Cambodia,2020-02-13,1.0,0.0
2301,3424,,Cambodia,2020-02-14,1.0,0.0
2302,3425,,Cambodia,2020-02-15,1.0,0.0
2303,3426,,Cambodia,2020-02-16,1.0,0.0
2304,3427,,Cambodia,2020-02-17,1.0,0.0
2305,3428,,Cambodia,2020-02-18,1.0,0.0
2306,3429,,Cambodia,2020-02-19,1.0,0.0
2307,3430,,Cambodia,2020-02-20,1.0,0.0
2308,3431,,Cambodia,2020-02-21,1.0,0.0
2309,3432,,Cambodia,2020-02-22,1.0,0.0
2310,3433,,Cambodia,2020-02-23,1.0,0.0
2311,3434,,Cambodia,2020-02-24,1.0,0.0
2312,3435,,Cambodia,2020-02-25,1.0,0.0
2313,3436,,Cambodia,2020-02-26,1.0,0.0
2314,3437,,Cambodia,2020-02-27,1.0,0.0
2315,3438,,Cambodia,2020-02-28,1.0,0.0
2316,3439,,Cambodia,2020-02-29,1.0,0.0
2317,3440,,Cambodia,2020-03-01,1.0,0.0
2318,3441,,Cambodia,2020-03-02,1.0,0.0
2319,3442,,Cambodia,2020-03-03,1.0,0.0
2320,3443,,Cambodia,2020-03-04,1.0,0.0
2321,3444,,Cambodia,2020-03-05,1.0,0.0
2322,3445,,Cambodia,2020-03-06,1.0,0.0
2323,3446,,Cambodia,2020-03-07,1.0,0.0
2324,3447,,Cambodia,2020-03-08,2.0,0.0
2325,3448,,Cambodia,2020-03-09,2.0,0.0
2326,3449,,Cambodia,2020-03-10,2.0,0.0
2327,3450,,Cambodia,2020-03-11,3.0,0.0
2328,3451,,Cambodia,2020-03-12,3.0,0.0
2329,3452,,Cambodia,2020-03-13,5.0,0.0
2330,3453,,Cambodia,2020-03-14,7.0,0.0
2331,3454,,Cambodia,2020-03-15,7.0,0.0
2332,3455,,Cambodia,2020-03-16,7.0,0.0
2333,3456,,Cambodia,2020-03-17,33.0,0.0
2334,3457,,Cambodia,2020-03-18,35.0,0.0
2335,3458,,Cambodia,2020-03-19,37.0,0.0
2336,3459,,Cambodia,2020-03-20,51.0,0.0
2337,3460,,Cambodia,2020-03-21,53.0,0.0
2338,3461,,Cambodia,2020-03-22,84.0,0.0
2339,3462,,Cambodia,2020-03-23,87.0,0.0
2340,3463,,Cambodia,2020-03-24,91.0,0.0
2341,3464,,Cambodia,2020-03-25,96.0,0.0
2342,3465,,Cambodia,2020-03-26,96.0,0.0
2343,3466,,Cambodia,2020-03-27,99.0,0.0
2344,3467,,Cambodia,2020-03-28,99.0,0.0
