,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
2345,3501,,Cameroon,2020-01-22,0.0,0.0
2346,3502,,Cameroon,2020-01-23,0.0,0.0
2347,3503,,Cameroon,2020-01-24,0.0,0.0
2348,3504,,Cameroon,2020-01-25,0.0,0.0
2349,3505,,Cameroon,2020-01-26,0.0,0.0
2350,3506,,Cameroon,2020-01-27,0.0,0.0
2351,3507,,Cameroon,2020-01-28,0.0,0.0
2352,3508,,Cameroon,2020-01-29,0.0,0.0
2353,3509,,Cameroon,2020-01-30,0.0,0.0
2354,3510,,Cameroon,2020-01-31,0.0,0.0
2355,3511,,Cameroon,2020-02-01,0.0,0.0
2356,3512,,Cameroon,2020-02-02,0.0,0.0
2357,3513,,Cameroon,2020-02-03,0.0,0.0
2358,3514,,Cameroon,2020-02-04,0.0,0.0
2359,3515,,Cameroon,2020-02-05,0.0,0.0
2360,3516,,Cameroon,2020-02-06,0.0,0.0
2361,3517,,Cameroon,2020-02-07,0.0,0.0
2362,3518,,Cameroon,2020-02-08,0.0,0.0
2363,3519,,Cameroon,2020-02-09,0.0,0.0
2364,3520,,Cameroon,2020-02-10,0.0,0.0
2365,3521,,Cameroon,2020-02-11,0.0,0.0
2366,3522,,Cameroon,2020-02-12,0.0,0.0
2367,3523,,Cameroon,2020-02-13,0.0,0.0
2368,3524,,Cameroon,2020-02-14,0.0,0.0
2369,3525,,Cameroon,2020-02-15,0.0,0.0
2370,3526,,Cameroon,2020-02-16,0.0,0.0
2371,3527,,Cameroon,2020-02-17,0.0,0.0
2372,3528,,Cameroon,2020-02-18,0.0,0.0
2373,3529,,Cameroon,2020-02-19,0.0,0.0
2374,3530,,Cameroon,2020-02-20,0.0,0.0
2375,3531,,Cameroon,2020-02-21,0.0,0.0
2376,3532,,Cameroon,2020-02-22,0.0,0.0
2377,3533,,Cameroon,2020-02-23,0.0,0.0
2378,3534,,Cameroon,2020-02-24,0.0,0.0
2379,3535,,Cameroon,2020-02-25,0.0,0.0
2380,3536,,Cameroon,2020-02-26,0.0,0.0
2381,3537,,Cameroon,2020-02-27,0.0,0.0
2382,3538,,Cameroon,2020-02-28,0.0,0.0
2383,3539,,Cameroon,2020-02-29,0.0,0.0
2384,3540,,Cameroon,2020-03-01,0.0,0.0
2385,3541,,Cameroon,2020-03-02,0.0,0.0
2386,3542,,Cameroon,2020-03-03,0.0,0.0
2387,3543,,Cameroon,2020-03-04,0.0,0.0
2388,3544,,Cameroon,2020-03-05,0.0,0.0
2389,3545,,Cameroon,2020-03-06,1.0,0.0
2390,3546,,Cameroon,2020-03-07,1.0,0.0
2391,3547,,Cameroon,2020-03-08,2.0,0.0
2392,3548,,Cameroon,2020-03-09,2.0,0.0
2393,3549,,Cameroon,2020-03-10,2.0,0.0
2394,3550,,Cameroon,2020-03-11,2.0,0.0
2395,3551,,Cameroon,2020-03-12,2.0,0.0
2396,3552,,Cameroon,2020-03-13,2.0,0.0
2397,3553,,Cameroon,2020-03-14,2.0,0.0
2398,3554,,Cameroon,2020-03-15,2.0,0.0
2399,3555,,Cameroon,2020-03-16,4.0,0.0
2400,3556,,Cameroon,2020-03-17,10.0,0.0
2401,3557,,Cameroon,2020-03-18,10.0,0.0
2402,3558,,Cameroon,2020-03-19,13.0,0.0
2403,3559,,Cameroon,2020-03-20,20.0,0.0
2404,3560,,Cameroon,2020-03-21,27.0,0.0
2405,3561,,Cameroon,2020-03-22,40.0,0.0
2406,3562,,Cameroon,2020-03-23,56.0,0.0
2407,3563,,Cameroon,2020-03-24,66.0,0.0
2408,3564,,Cameroon,2020-03-25,75.0,1.0
2409,3565,,Cameroon,2020-03-26,75.0,1.0
2410,3566,,Cameroon,2020-03-27,91.0,2.0
2411,3567,,Cameroon,2020-03-28,91.0,2.0
