,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
2680,4001,Newfoundland and Labrador,Canada,2020-01-22,0.0,0.0
2681,4002,Newfoundland and Labrador,Canada,2020-01-23,0.0,0.0
2682,4003,Newfoundland and Labrador,Canada,2020-01-24,0.0,0.0
2683,4004,Newfoundland and Labrador,Canada,2020-01-25,0.0,0.0
2684,4005,Newfoundland and Labrador,Canada,2020-01-26,0.0,0.0
2685,4006,Newfoundland and Labrador,Canada,2020-01-27,0.0,0.0
2686,4007,Newfoundland and Labrador,Canada,2020-01-28,0.0,0.0
2687,4008,Newfoundland and Labrador,Canada,2020-01-29,0.0,0.0
2688,4009,Newfoundland and Labrador,Canada,2020-01-30,0.0,0.0
2689,4010,Newfoundland and Labrador,Canada,2020-01-31,0.0,0.0
2690,4011,Newfoundland and Labrador,Canada,2020-02-01,0.0,0.0
2691,4012,Newfoundland and Labrador,Canada,2020-02-02,0.0,0.0
2692,4013,Newfoundland and Labrador,Canada,2020-02-03,0.0,0.0
2693,4014,Newfoundland and Labrador,Canada,2020-02-04,0.0,0.0
2694,4015,Newfoundland and Labrador,Canada,2020-02-05,0.0,0.0
2695,4016,Newfoundland and Labrador,Canada,2020-02-06,0.0,0.0
2696,4017,Newfoundland and Labrador,Canada,2020-02-07,0.0,0.0
2697,4018,Newfoundland and Labrador,Canada,2020-02-08,0.0,0.0
2698,4019,Newfoundland and Labrador,Canada,2020-02-09,0.0,0.0
2699,4020,Newfoundland and Labrador,Canada,2020-02-10,0.0,0.0
2700,4021,Newfoundland and Labrador,Canada,2020-02-11,0.0,0.0
2701,4022,Newfoundland and Labrador,Canada,2020-02-12,0.0,0.0
2702,4023,Newfoundland and Labrador,Canada,2020-02-13,0.0,0.0
2703,4024,Newfoundland and Labrador,Canada,2020-02-14,0.0,0.0
2704,4025,Newfoundland and Labrador,Canada,2020-02-15,0.0,0.0
2705,4026,Newfoundland and Labrador,Canada,2020-02-16,0.0,0.0
2706,4027,Newfoundland and Labrador,Canada,2020-02-17,0.0,0.0
2707,4028,Newfoundland and Labrador,Canada,2020-02-18,0.0,0.0
2708,4029,Newfoundland and Labrador,Canada,2020-02-19,0.0,0.0
2709,4030,Newfoundland and Labrador,Canada,2020-02-20,0.0,0.0
2710,4031,Newfoundland and Labrador,Canada,2020-02-21,0.0,0.0
2711,4032,Newfoundland and Labrador,Canada,2020-02-22,0.0,0.0
2712,4033,Newfoundland and Labrador,Canada,2020-02-23,0.0,0.0
2713,4034,Newfoundland and Labrador,Canada,2020-02-24,0.0,0.0
2714,4035,Newfoundland and Labrador,Canada,2020-02-25,0.0,0.0
2715,4036,Newfoundland and Labrador,Canada,2020-02-26,0.0,0.0
2716,4037,Newfoundland and Labrador,Canada,2020-02-27,0.0,0.0
2717,4038,Newfoundland and Labrador,Canada,2020-02-28,0.0,0.0
2718,4039,Newfoundland and Labrador,Canada,2020-02-29,0.0,0.0
2719,4040,Newfoundland and Labrador,Canada,2020-03-01,0.0,0.0
2720,4041,Newfoundland and Labrador,Canada,2020-03-02,0.0,0.0
2721,4042,Newfoundland and Labrador,Canada,2020-03-03,0.0,0.0
2722,4043,Newfoundland and Labrador,Canada,2020-03-04,0.0,0.0
2723,4044,Newfoundland and Labrador,Canada,2020-03-05,0.0,0.0
2724,4045,Newfoundland and Labrador,Canada,2020-03-06,0.0,0.0
2725,4046,Newfoundland and Labrador,Canada,2020-03-07,0.0,0.0
2726,4047,Newfoundland and Labrador,Canada,2020-03-08,0.0,0.0
2727,4048,Newfoundland and Labrador,Canada,2020-03-09,0.0,0.0
2728,4049,Newfoundland and Labrador,Canada,2020-03-10,0.0,0.0
2729,4050,Newfoundland and Labrador,Canada,2020-03-11,0.0,0.0
2730,4051,Newfoundland and Labrador,Canada,2020-03-12,0.0,0.0
2731,4052,Newfoundland and Labrador,Canada,2020-03-13,0.0,0.0
2732,4053,Newfoundland and Labrador,Canada,2020-03-14,0.0,0.0
2733,4054,Newfoundland and Labrador,Canada,2020-03-15,1.0,0.0
2734,4055,Newfoundland and Labrador,Canada,2020-03-16,1.0,0.0
2735,4056,Newfoundland and Labrador,Canada,2020-03-17,3.0,0.0
2736,4057,Newfoundland and Labrador,Canada,2020-03-18,3.0,0.0
2737,4058,Newfoundland and Labrador,Canada,2020-03-19,3.0,0.0
2738,4059,Newfoundland and Labrador,Canada,2020-03-20,4.0,0.0
2739,4060,Newfoundland and Labrador,Canada,2020-03-21,6.0,0.0
2740,4061,Newfoundland and Labrador,Canada,2020-03-22,9.0,0.0
2741,4062,Newfoundland and Labrador,Canada,2020-03-23,24.0,0.0
2742,4063,Newfoundland and Labrador,Canada,2020-03-24,35.0,0.0
2743,4064,Newfoundland and Labrador,Canada,2020-03-25,35.0,0.0
2744,4065,Newfoundland and Labrador,Canada,2020-03-26,82.0,0.0
2745,4066,Newfoundland and Labrador,Canada,2020-03-27,102.0,0.0
2746,4067,Newfoundland and Labrador,Canada,2020-03-28,120.0,0.0
