,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
2948,4401,Quebec,Canada,2020-01-22,0.0,0.0
2949,4402,Quebec,Canada,2020-01-23,0.0,0.0
2950,4403,Quebec,Canada,2020-01-24,0.0,0.0
2951,4404,Quebec,Canada,2020-01-25,0.0,0.0
2952,4405,Quebec,Canada,2020-01-26,0.0,0.0
2953,4406,Quebec,Canada,2020-01-27,0.0,0.0
2954,4407,Quebec,Canada,2020-01-28,0.0,0.0
2955,4408,Quebec,Canada,2020-01-29,0.0,0.0
2956,4409,Quebec,Canada,2020-01-30,0.0,0.0
2957,4410,Quebec,Canada,2020-01-31,0.0,0.0
2958,4411,Quebec,Canada,2020-02-01,0.0,0.0
2959,4412,Quebec,Canada,2020-02-02,0.0,0.0
2960,4413,Quebec,Canada,2020-02-03,0.0,0.0
2961,4414,Quebec,Canada,2020-02-04,0.0,0.0
2962,4415,Quebec,Canada,2020-02-05,0.0,0.0
2963,4416,Quebec,Canada,2020-02-06,0.0,0.0
2964,4417,Quebec,Canada,2020-02-07,0.0,0.0
2965,4418,Quebec,Canada,2020-02-08,0.0,0.0
2966,4419,Quebec,Canada,2020-02-09,0.0,0.0
2967,4420,Quebec,Canada,2020-02-10,0.0,0.0
2968,4421,Quebec,Canada,2020-02-11,0.0,0.0
2969,4422,Quebec,Canada,2020-02-12,0.0,0.0
2970,4423,Quebec,Canada,2020-02-13,0.0,0.0
2971,4424,Quebec,Canada,2020-02-14,0.0,0.0
2972,4425,Quebec,Canada,2020-02-15,0.0,0.0
2973,4426,Quebec,Canada,2020-02-16,0.0,0.0
2974,4427,Quebec,Canada,2020-02-17,0.0,0.0
2975,4428,Quebec,Canada,2020-02-18,0.0,0.0
2976,4429,Quebec,Canada,2020-02-19,0.0,0.0
2977,4430,Quebec,Canada,2020-02-20,0.0,0.0
2978,4431,Quebec,Canada,2020-02-21,0.0,0.0
2979,4432,Quebec,Canada,2020-02-22,0.0,0.0
2980,4433,Quebec,Canada,2020-02-23,0.0,0.0
2981,4434,Quebec,Canada,2020-02-24,0.0,0.0
2982,4435,Quebec,Canada,2020-02-25,0.0,0.0
2983,4436,Quebec,Canada,2020-02-26,0.0,0.0
2984,4437,Quebec,Canada,2020-02-27,0.0,0.0
2985,4438,Quebec,Canada,2020-02-28,1.0,0.0
2986,4439,Quebec,Canada,2020-02-29,1.0,0.0
2987,4440,Quebec,Canada,2020-03-01,1.0,0.0
2988,4441,Quebec,Canada,2020-03-02,1.0,0.0
2989,4442,Quebec,Canada,2020-03-03,1.0,0.0
2990,4443,Quebec,Canada,2020-03-04,1.0,0.0
2991,4444,Quebec,Canada,2020-03-05,2.0,0.0
2992,4445,Quebec,Canada,2020-03-06,2.0,0.0
2993,4446,Quebec,Canada,2020-03-07,3.0,0.0
2994,4447,Quebec,Canada,2020-03-08,4.0,0.0
2995,4448,Quebec,Canada,2020-03-09,4.0,0.0
2996,4449,Quebec,Canada,2020-03-10,4.0,0.0
2997,4450,Quebec,Canada,2020-03-11,8.0,0.0
2998,4451,Quebec,Canada,2020-03-12,9.0,0.0
2999,4452,Quebec,Canada,2020-03-13,17.0,0.0
3000,4453,Quebec,Canada,2020-03-14,17.0,0.0
3001,4454,Quebec,Canada,2020-03-15,24.0,0.0
3002,4455,Quebec,Canada,2020-03-16,50.0,0.0
3003,4456,Quebec,Canada,2020-03-17,74.0,0.0
3004,4457,Quebec,Canada,2020-03-18,94.0,0.0
3005,4458,Quebec,Canada,2020-03-19,121.0,1.0
3006,4459,Quebec,Canada,2020-03-20,139.0,1.0
3007,4460,Quebec,Canada,2020-03-21,181.0,5.0
3008,4461,Quebec,Canada,2020-03-22,219.0,4.0
3009,4462,Quebec,Canada,2020-03-23,628.0,4.0
3010,4463,Quebec,Canada,2020-03-24,1013.0,4.0
3011,4464,Quebec,Canada,2020-03-25,1342.0,6.0
3012,4465,Quebec,Canada,2020-03-26,1632.0,8.0
3013,4466,Quebec,Canada,2020-03-27,2024.0,18.0
3014,4467,Quebec,Canada,2020-03-28,2498.0,22.0
