,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
3015,4501,Saskatchewan,Canada,2020-01-22,0.0,0.0
3016,4502,Saskatchewan,Canada,2020-01-23,0.0,0.0
3017,4503,Saskatchewan,Canada,2020-01-24,0.0,0.0
3018,4504,Saskatchewan,Canada,2020-01-25,0.0,0.0
3019,4505,Saskatchewan,Canada,2020-01-26,0.0,0.0
3020,4506,Saskatchewan,Canada,2020-01-27,0.0,0.0
3021,4507,Saskatchewan,Canada,2020-01-28,0.0,0.0
3022,4508,Saskatchewan,Canada,2020-01-29,0.0,0.0
3023,4509,Saskatchewan,Canada,2020-01-30,0.0,0.0
3024,4510,Saskatchewan,Canada,2020-01-31,0.0,0.0
3025,4511,Saskatchewan,Canada,2020-02-01,0.0,0.0
3026,4512,Saskatchewan,Canada,2020-02-02,0.0,0.0
3027,4513,Saskatchewan,Canada,2020-02-03,0.0,0.0
3028,4514,Saskatchewan,Canada,2020-02-04,0.0,0.0
3029,4515,Saskatchewan,Canada,2020-02-05,0.0,0.0
3030,4516,Saskatchewan,Canada,2020-02-06,0.0,0.0
3031,4517,Saskatchewan,Canada,2020-02-07,0.0,0.0
3032,4518,Saskatchewan,Canada,2020-02-08,0.0,0.0
3033,4519,Saskatchewan,Canada,2020-02-09,0.0,0.0
3034,4520,Saskatchewan,Canada,2020-02-10,0.0,0.0
3035,4521,Saskatchewan,Canada,2020-02-11,0.0,0.0
3036,4522,Saskatchewan,Canada,2020-02-12,0.0,0.0
3037,4523,Saskatchewan,Canada,2020-02-13,0.0,0.0
3038,4524,Saskatchewan,Canada,2020-02-14,0.0,0.0
3039,4525,Saskatchewan,Canada,2020-02-15,0.0,0.0
3040,4526,Saskatchewan,Canada,2020-02-16,0.0,0.0
3041,4527,Saskatchewan,Canada,2020-02-17,0.0,0.0
3042,4528,Saskatchewan,Canada,2020-02-18,0.0,0.0
3043,4529,Saskatchewan,Canada,2020-02-19,0.0,0.0
3044,4530,Saskatchewan,Canada,2020-02-20,0.0,0.0
3045,4531,Saskatchewan,Canada,2020-02-21,0.0,0.0
3046,4532,Saskatchewan,Canada,2020-02-22,0.0,0.0
3047,4533,Saskatchewan,Canada,2020-02-23,0.0,0.0
3048,4534,Saskatchewan,Canada,2020-02-24,0.0,0.0
3049,4535,Saskatchewan,Canada,2020-02-25,0.0,0.0
3050,4536,Saskatchewan,Canada,2020-02-26,0.0,0.0
3051,4537,Saskatchewan,Canada,2020-02-27,0.0,0.0
3052,4538,Saskatchewan,Canada,2020-02-28,0.0,0.0
3053,4539,Saskatchewan,Canada,2020-02-29,0.0,0.0
3054,4540,Saskatchewan,Canada,2020-03-01,0.0,0.0
3055,4541,Saskatchewan,Canada,2020-03-02,0.0,0.0
3056,4542,Saskatchewan,Canada,2020-03-03,0.0,0.0
3057,4543,Saskatchewan,Canada,2020-03-04,0.0,0.0
3058,4544,Saskatchewan,Canada,2020-03-05,0.0,0.0
3059,4545,Saskatchewan,Canada,2020-03-06,0.0,0.0
3060,4546,Saskatchewan,Canada,2020-03-07,0.0,0.0
3061,4547,Saskatchewan,Canada,2020-03-08,0.0,0.0
3062,4548,Saskatchewan,Canada,2020-03-09,0.0,0.0
3063,4549,Saskatchewan,Canada,2020-03-10,0.0,0.0
3064,4550,Saskatchewan,Canada,2020-03-11,0.0,0.0
3065,4551,Saskatchewan,Canada,2020-03-12,0.0,0.0
3066,4552,Saskatchewan,Canada,2020-03-13,2.0,0.0
3067,4553,Saskatchewan,Canada,2020-03-14,2.0,0.0
3068,4554,Saskatchewan,Canada,2020-03-15,2.0,0.0
3069,4555,Saskatchewan,Canada,2020-03-16,7.0,0.0
3070,4556,Saskatchewan,Canada,2020-03-17,7.0,0.0
3071,4557,Saskatchewan,Canada,2020-03-18,8.0,0.0
3072,4558,Saskatchewan,Canada,2020-03-19,16.0,0.0
3073,4559,Saskatchewan,Canada,2020-03-20,20.0,0.0
3074,4560,Saskatchewan,Canada,2020-03-21,26.0,0.0
3075,4561,Saskatchewan,Canada,2020-03-22,52.0,0.0
3076,4562,Saskatchewan,Canada,2020-03-23,66.0,0.0
3077,4563,Saskatchewan,Canada,2020-03-24,72.0,0.0
3078,4564,Saskatchewan,Canada,2020-03-25,72.0,0.0
3079,4565,Saskatchewan,Canada,2020-03-26,95.0,0.0
3080,4566,Saskatchewan,Canada,2020-03-27,95.0,0.0
3081,4567,Saskatchewan,Canada,2020-03-28,134.0,0.0
