,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
3216,4801,,Chile,2020-01-22,0.0,0.0
3217,4802,,Chile,2020-01-23,0.0,0.0
3218,4803,,Chile,2020-01-24,0.0,0.0
3219,4804,,Chile,2020-01-25,0.0,0.0
3220,4805,,Chile,2020-01-26,0.0,0.0
3221,4806,,Chile,2020-01-27,0.0,0.0
3222,4807,,Chile,2020-01-28,0.0,0.0
3223,4808,,Chile,2020-01-29,0.0,0.0
3224,4809,,Chile,2020-01-30,0.0,0.0
3225,4810,,Chile,2020-01-31,0.0,0.0
3226,4811,,Chile,2020-02-01,0.0,0.0
3227,4812,,Chile,2020-02-02,0.0,0.0
3228,4813,,Chile,2020-02-03,0.0,0.0
3229,4814,,Chile,2020-02-04,0.0,0.0
3230,4815,,Chile,2020-02-05,0.0,0.0
3231,4816,,Chile,2020-02-06,0.0,0.0
3232,4817,,Chile,2020-02-07,0.0,0.0
3233,4818,,Chile,2020-02-08,0.0,0.0
3234,4819,,Chile,2020-02-09,0.0,0.0
3235,4820,,Chile,2020-02-10,0.0,0.0
3236,4821,,Chile,2020-02-11,0.0,0.0
3237,4822,,Chile,2020-02-12,0.0,0.0
3238,4823,,Chile,2020-02-13,0.0,0.0
3239,4824,,Chile,2020-02-14,0.0,0.0
3240,4825,,Chile,2020-02-15,0.0,0.0
3241,4826,,Chile,2020-02-16,0.0,0.0
3242,4827,,Chile,2020-02-17,0.0,0.0
3243,4828,,Chile,2020-02-18,0.0,0.0
3244,4829,,Chile,2020-02-19,0.0,0.0
3245,4830,,Chile,2020-02-20,0.0,0.0
3246,4831,,Chile,2020-02-21,0.0,0.0
3247,4832,,Chile,2020-02-22,0.0,0.0
3248,4833,,Chile,2020-02-23,0.0,0.0
3249,4834,,Chile,2020-02-24,0.0,0.0
3250,4835,,Chile,2020-02-25,0.0,0.0
3251,4836,,Chile,2020-02-26,0.0,0.0
3252,4837,,Chile,2020-02-27,0.0,0.0
3253,4838,,Chile,2020-02-28,0.0,0.0
3254,4839,,Chile,2020-02-29,0.0,0.0
3255,4840,,Chile,2020-03-01,0.0,0.0
3256,4841,,Chile,2020-03-02,0.0,0.0
3257,4842,,Chile,2020-03-03,1.0,0.0
3258,4843,,Chile,2020-03-04,1.0,0.0
3259,4844,,Chile,2020-03-05,4.0,0.0
3260,4845,,Chile,2020-03-06,4.0,0.0
3261,4846,,Chile,2020-03-07,4.0,0.0
3262,4847,,Chile,2020-03-08,8.0,0.0
3263,4848,,Chile,2020-03-09,8.0,0.0
3264,4849,,Chile,2020-03-10,13.0,0.0
3265,4850,,Chile,2020-03-11,23.0,0.0
3266,4851,,Chile,2020-03-12,23.0,0.0
3267,4852,,Chile,2020-03-13,43.0,0.0
3268,4853,,Chile,2020-03-14,61.0,0.0
3269,4854,,Chile,2020-03-15,74.0,0.0
3270,4855,,Chile,2020-03-16,155.0,0.0
3271,4856,,Chile,2020-03-17,201.0,0.0
3272,4857,,Chile,2020-03-18,238.0,0.0
3273,4858,,Chile,2020-03-19,238.0,0.0
3274,4859,,Chile,2020-03-20,434.0,0.0
3275,4860,,Chile,2020-03-21,537.0,0.0
3276,4861,,Chile,2020-03-22,632.0,1.0
3277,4862,,Chile,2020-03-23,746.0,2.0
3278,4863,,Chile,2020-03-24,922.0,2.0
3279,4864,,Chile,2020-03-25,1142.0,3.0
3280,4865,,Chile,2020-03-26,1306.0,4.0
3281,4866,,Chile,2020-03-27,1610.0,5.0
3282,4867,,Chile,2020-03-28,1909.0,6.0
