,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
3350,5001,Beijing,China,2020-01-22,14.0,0.0
3351,5002,Beijing,China,2020-01-23,22.0,0.0
3352,5003,Beijing,China,2020-01-24,36.0,0.0
3353,5004,Beijing,China,2020-01-25,41.0,0.0
3354,5005,Beijing,China,2020-01-26,68.0,0.0
3355,5006,Beijing,China,2020-01-27,80.0,1.0
3356,5007,Beijing,China,2020-01-28,91.0,1.0
3357,5008,Beijing,China,2020-01-29,111.0,1.0
3358,5009,Beijing,China,2020-01-30,114.0,1.0
3359,5010,Beijing,China,2020-01-31,139.0,1.0
3360,5011,Beijing,China,2020-02-01,168.0,1.0
3361,5012,Beijing,China,2020-02-02,191.0,1.0
3362,5013,Beijing,China,2020-02-03,212.0,1.0
3363,5014,Beijing,China,2020-02-04,228.0,1.0
3364,5015,Beijing,China,2020-02-05,253.0,1.0
3365,5016,Beijing,China,2020-02-06,274.0,1.0
3366,5017,Beijing,China,2020-02-07,297.0,1.0
3367,5018,Beijing,China,2020-02-08,315.0,2.0
3368,5019,Beijing,China,2020-02-09,326.0,2.0
3369,5020,Beijing,China,2020-02-10,337.0,2.0
3370,5021,Beijing,China,2020-02-11,342.0,3.0
3371,5022,Beijing,China,2020-02-12,352.0,3.0
3372,5023,Beijing,China,2020-02-13,366.0,3.0
3373,5024,Beijing,China,2020-02-14,372.0,3.0
3374,5025,Beijing,China,2020-02-15,375.0,4.0
3375,5026,Beijing,China,2020-02-16,380.0,4.0
3376,5027,Beijing,China,2020-02-17,381.0,4.0
3377,5028,Beijing,China,2020-02-18,387.0,4.0
3378,5029,Beijing,China,2020-02-19,393.0,4.0
3379,5030,Beijing,China,2020-02-20,395.0,4.0
3380,5031,Beijing,China,2020-02-21,396.0,4.0
3381,5032,Beijing,China,2020-02-22,399.0,4.0
3382,5033,Beijing,China,2020-02-23,399.0,4.0
3383,5034,Beijing,China,2020-02-24,399.0,4.0
3384,5035,Beijing,China,2020-02-25,400.0,4.0
3385,5036,Beijing,China,2020-02-26,400.0,4.0
3386,5037,Beijing,China,2020-02-27,410.0,5.0
3387,5038,Beijing,China,2020-02-28,410.0,7.0
3388,5039,Beijing,China,2020-02-29,411.0,8.0
3389,5040,Beijing,China,2020-03-01,413.0,8.0
3390,5041,Beijing,China,2020-03-02,414.0,8.0
3391,5042,Beijing,China,2020-03-03,414.0,8.0
3392,5043,Beijing,China,2020-03-04,418.0,8.0
3393,5044,Beijing,China,2020-03-05,418.0,8.0
3394,5045,Beijing,China,2020-03-06,422.0,8.0
3395,5046,Beijing,China,2020-03-07,426.0,8.0
3396,5047,Beijing,China,2020-03-08,428.0,8.0
3397,5048,Beijing,China,2020-03-09,428.0,8.0
3398,5049,Beijing,China,2020-03-10,429.0,8.0
3399,5050,Beijing,China,2020-03-11,435.0,8.0
3400,5051,Beijing,China,2020-03-12,435.0,8.0
3401,5052,Beijing,China,2020-03-13,436.0,8.0
3402,5053,Beijing,China,2020-03-14,437.0,8.0
3403,5054,Beijing,China,2020-03-15,442.0,8.0
3404,5055,Beijing,China,2020-03-16,452.0,8.0
3405,5056,Beijing,China,2020-03-17,456.0,8.0
3406,5057,Beijing,China,2020-03-18,469.0,8.0
3407,5058,Beijing,China,2020-03-19,480.0,8.0
3408,5059,Beijing,China,2020-03-20,491.0,8.0
3409,5060,Beijing,China,2020-03-21,504.0,8.0
3410,5061,Beijing,China,2020-03-22,522.0,8.0
3411,5062,Beijing,China,2020-03-23,537.0,8.0
3412,5063,Beijing,China,2020-03-24,558.0,8.0
3413,5064,Beijing,China,2020-03-25,561.0,8.0
3414,5065,Beijing,China,2020-03-26,566.0,8.0
3415,5066,Beijing,China,2020-03-27,569.0,8.0
3416,5067,Beijing,China,2020-03-28,573.0,8.0
