,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
3417,5101,Chongqing,China,2020-01-22,6.0,0.0
3418,5102,Chongqing,China,2020-01-23,9.0,0.0
3419,5103,Chongqing,China,2020-01-24,27.0,0.0
3420,5104,Chongqing,China,2020-01-25,57.0,0.0
3421,5105,Chongqing,China,2020-01-26,75.0,0.0
3422,5106,Chongqing,China,2020-01-27,110.0,0.0
3423,5107,Chongqing,China,2020-01-28,132.0,0.0
3424,5108,Chongqing,China,2020-01-29,147.0,0.0
3425,5109,Chongqing,China,2020-01-30,182.0,0.0
3426,5110,Chongqing,China,2020-01-31,211.0,0.0
3427,5111,Chongqing,China,2020-02-01,247.0,1.0
3428,5112,Chongqing,China,2020-02-02,300.0,2.0
3429,5113,Chongqing,China,2020-02-03,337.0,2.0
3430,5114,Chongqing,China,2020-02-04,366.0,2.0
3431,5115,Chongqing,China,2020-02-05,389.0,2.0
3432,5116,Chongqing,China,2020-02-06,411.0,2.0
3433,5117,Chongqing,China,2020-02-07,426.0,2.0
3434,5118,Chongqing,China,2020-02-08,428.0,2.0
3435,5119,Chongqing,China,2020-02-09,468.0,2.0
3436,5120,Chongqing,China,2020-02-10,486.0,2.0
3437,5121,Chongqing,China,2020-02-11,505.0,3.0
3438,5122,Chongqing,China,2020-02-12,518.0,3.0
3439,5123,Chongqing,China,2020-02-13,529.0,4.0
3440,5124,Chongqing,China,2020-02-14,537.0,5.0
3441,5125,Chongqing,China,2020-02-15,544.0,5.0
3442,5126,Chongqing,China,2020-02-16,551.0,5.0
3443,5127,Chongqing,China,2020-02-17,553.0,5.0
3444,5128,Chongqing,China,2020-02-18,555.0,5.0
3445,5129,Chongqing,China,2020-02-19,560.0,5.0
3446,5130,Chongqing,China,2020-02-20,567.0,6.0
3447,5131,Chongqing,China,2020-02-21,572.0,6.0
3448,5132,Chongqing,China,2020-02-22,573.0,6.0
3449,5133,Chongqing,China,2020-02-23,575.0,6.0
3450,5134,Chongqing,China,2020-02-24,576.0,6.0
3451,5135,Chongqing,China,2020-02-25,576.0,6.0
3452,5136,Chongqing,China,2020-02-26,576.0,6.0
3453,5137,Chongqing,China,2020-02-27,576.0,6.0
3454,5138,Chongqing,China,2020-02-28,576.0,6.0
3455,5139,Chongqing,China,2020-02-29,576.0,6.0
3456,5140,Chongqing,China,2020-03-01,576.0,6.0
3457,5141,Chongqing,China,2020-03-02,576.0,6.0
3458,5142,Chongqing,China,2020-03-03,576.0,6.0
3459,5143,Chongqing,China,2020-03-04,576.0,6.0
3460,5144,Chongqing,China,2020-03-05,576.0,6.0
3461,5145,Chongqing,China,2020-03-06,576.0,6.0
3462,5146,Chongqing,China,2020-03-07,576.0,6.0
3463,5147,Chongqing,China,2020-03-08,576.0,6.0
3464,5148,Chongqing,China,2020-03-09,576.0,6.0
3465,5149,Chongqing,China,2020-03-10,576.0,6.0
3466,5150,Chongqing,China,2020-03-11,576.0,6.0
3467,5151,Chongqing,China,2020-03-12,576.0,6.0
3468,5152,Chongqing,China,2020-03-13,576.0,6.0
3469,5153,Chongqing,China,2020-03-14,576.0,6.0
3470,5154,Chongqing,China,2020-03-15,576.0,6.0
3471,5155,Chongqing,China,2020-03-16,576.0,6.0
3472,5156,Chongqing,China,2020-03-17,576.0,6.0
3473,5157,Chongqing,China,2020-03-18,576.0,6.0
3474,5158,Chongqing,China,2020-03-19,576.0,6.0
3475,5159,Chongqing,China,2020-03-20,576.0,6.0
3476,5160,Chongqing,China,2020-03-21,576.0,6.0
3477,5161,Chongqing,China,2020-03-22,577.0,6.0
3478,5162,Chongqing,China,2020-03-23,578.0,6.0
3479,5163,Chongqing,China,2020-03-24,578.0,6.0
3480,5164,Chongqing,China,2020-03-25,578.0,6.0
3481,5165,Chongqing,China,2020-03-26,578.0,6.0
3482,5166,Chongqing,China,2020-03-27,578.0,6.0
3483,5167,Chongqing,China,2020-03-28,578.0,6.0
