,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
3484,5201,Fujian,China,2020-01-22,1.0,0.0
3485,5202,Fujian,China,2020-01-23,5.0,0.0
3486,5203,Fujian,China,2020-01-24,10.0,0.0
3487,5204,Fujian,China,2020-01-25,18.0,0.0
3488,5205,Fujian,China,2020-01-26,35.0,0.0
3489,5206,Fujian,China,2020-01-27,59.0,0.0
3490,5207,Fujian,China,2020-01-28,80.0,0.0
3491,5208,Fujian,China,2020-01-29,84.0,0.0
3492,5209,Fujian,China,2020-01-30,101.0,0.0
3493,5210,Fujian,China,2020-01-31,120.0,0.0
3494,5211,Fujian,China,2020-02-01,144.0,0.0
3495,5212,Fujian,China,2020-02-02,159.0,0.0
3496,5213,Fujian,China,2020-02-03,179.0,0.0
3497,5214,Fujian,China,2020-02-04,194.0,0.0
3498,5215,Fujian,China,2020-02-05,205.0,0.0
3499,5216,Fujian,China,2020-02-06,215.0,0.0
3500,5217,Fujian,China,2020-02-07,224.0,0.0
3501,5218,Fujian,China,2020-02-08,239.0,0.0
3502,5219,Fujian,China,2020-02-09,250.0,0.0
3503,5220,Fujian,China,2020-02-10,261.0,0.0
3504,5221,Fujian,China,2020-02-11,267.0,0.0
3505,5222,Fujian,China,2020-02-12,272.0,0.0
3506,5223,Fujian,China,2020-02-13,279.0,0.0
3507,5224,Fujian,China,2020-02-14,281.0,0.0
3508,5225,Fujian,China,2020-02-15,285.0,0.0
3509,5226,Fujian,China,2020-02-16,287.0,0.0
3510,5227,Fujian,China,2020-02-17,290.0,0.0
3511,5228,Fujian,China,2020-02-18,292.0,0.0
3512,5229,Fujian,China,2020-02-19,293.0,0.0
3513,5230,Fujian,China,2020-02-20,293.0,1.0
3514,5231,Fujian,China,2020-02-21,293.0,1.0
3515,5232,Fujian,China,2020-02-22,293.0,1.0
3516,5233,Fujian,China,2020-02-23,293.0,1.0
3517,5234,Fujian,China,2020-02-24,293.0,1.0
3518,5235,Fujian,China,2020-02-25,294.0,1.0
3519,5236,Fujian,China,2020-02-26,294.0,1.0
3520,5237,Fujian,China,2020-02-27,296.0,1.0
3521,5238,Fujian,China,2020-02-28,296.0,1.0
3522,5239,Fujian,China,2020-02-29,296.0,1.0
3523,5240,Fujian,China,2020-03-01,296.0,1.0
3524,5241,Fujian,China,2020-03-02,296.0,1.0
3525,5242,Fujian,China,2020-03-03,296.0,1.0
3526,5243,Fujian,China,2020-03-04,296.0,1.0
3527,5244,Fujian,China,2020-03-05,296.0,1.0
3528,5245,Fujian,China,2020-03-06,296.0,1.0
3529,5246,Fujian,China,2020-03-07,296.0,1.0
3530,5247,Fujian,China,2020-03-08,296.0,1.0
3531,5248,Fujian,China,2020-03-09,296.0,1.0
3532,5249,Fujian,China,2020-03-10,296.0,1.0
3533,5250,Fujian,China,2020-03-11,296.0,1.0
3534,5251,Fujian,China,2020-03-12,296.0,1.0
3535,5252,Fujian,China,2020-03-13,296.0,1.0
3536,5253,Fujian,China,2020-03-14,296.0,1.0
3537,5254,Fujian,China,2020-03-15,296.0,1.0
3538,5255,Fujian,China,2020-03-16,296.0,1.0
3539,5256,Fujian,China,2020-03-17,296.0,1.0
3540,5257,Fujian,China,2020-03-18,296.0,1.0
3541,5258,Fujian,China,2020-03-19,296.0,1.0
3542,5259,Fujian,China,2020-03-20,299.0,1.0
3543,5260,Fujian,China,2020-03-21,303.0,1.0
3544,5261,Fujian,China,2020-03-22,313.0,1.0
3545,5262,Fujian,China,2020-03-23,313.0,1.0
3546,5263,Fujian,China,2020-03-24,318.0,1.0
3547,5264,Fujian,China,2020-03-25,322.0,1.0
3548,5265,Fujian,China,2020-03-26,328.0,1.0
3549,5266,Fujian,China,2020-03-27,331.0,1.0
3550,5267,Fujian,China,2020-03-28,337.0,1.0
