,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
3551,5301,Gansu,China,2020-01-22,0.0,0.0
3552,5302,Gansu,China,2020-01-23,2.0,0.0
3553,5303,Gansu,China,2020-01-24,2.0,0.0
3554,5304,Gansu,China,2020-01-25,4.0,0.0
3555,5305,Gansu,China,2020-01-26,7.0,0.0
3556,5306,Gansu,China,2020-01-27,14.0,0.0
3557,5307,Gansu,China,2020-01-28,19.0,0.0
3558,5308,Gansu,China,2020-01-29,24.0,0.0
3559,5309,Gansu,China,2020-01-30,26.0,0.0
3560,5310,Gansu,China,2020-01-31,29.0,0.0
3561,5311,Gansu,China,2020-02-01,40.0,0.0
3562,5312,Gansu,China,2020-02-02,51.0,0.0
3563,5313,Gansu,China,2020-02-03,55.0,0.0
3564,5314,Gansu,China,2020-02-04,57.0,0.0
3565,5315,Gansu,China,2020-02-05,62.0,0.0
3566,5316,Gansu,China,2020-02-06,62.0,0.0
3567,5317,Gansu,China,2020-02-07,67.0,0.0
3568,5318,Gansu,China,2020-02-08,79.0,1.0
3569,5319,Gansu,China,2020-02-09,83.0,2.0
3570,5320,Gansu,China,2020-02-10,83.0,2.0
3571,5321,Gansu,China,2020-02-11,86.0,2.0
3572,5322,Gansu,China,2020-02-12,87.0,2.0
3573,5323,Gansu,China,2020-02-13,90.0,2.0
3574,5324,Gansu,China,2020-02-14,90.0,2.0
3575,5325,Gansu,China,2020-02-15,90.0,2.0
3576,5326,Gansu,China,2020-02-16,90.0,2.0
3577,5327,Gansu,China,2020-02-17,91.0,2.0
3578,5328,Gansu,China,2020-02-18,91.0,2.0
3579,5329,Gansu,China,2020-02-19,91.0,2.0
3580,5330,Gansu,China,2020-02-20,91.0,2.0
3581,5331,Gansu,China,2020-02-21,91.0,2.0
3582,5332,Gansu,China,2020-02-22,91.0,2.0
3583,5333,Gansu,China,2020-02-23,91.0,2.0
3584,5334,Gansu,China,2020-02-24,91.0,2.0
3585,5335,Gansu,China,2020-02-25,91.0,2.0
3586,5336,Gansu,China,2020-02-26,91.0,2.0
3587,5337,Gansu,China,2020-02-27,91.0,2.0
3588,5338,Gansu,China,2020-02-28,91.0,2.0
3589,5339,Gansu,China,2020-02-29,91.0,2.0
3590,5340,Gansu,China,2020-03-01,91.0,2.0
3591,5341,Gansu,China,2020-03-02,91.0,2.0
3592,5342,Gansu,China,2020-03-03,91.0,2.0
3593,5343,Gansu,China,2020-03-04,91.0,2.0
3594,5344,Gansu,China,2020-03-05,102.0,2.0
3595,5345,Gansu,China,2020-03-06,119.0,2.0
3596,5346,Gansu,China,2020-03-07,120.0,2.0
3597,5347,Gansu,China,2020-03-08,124.0,2.0
3598,5348,Gansu,China,2020-03-09,124.0,2.0
3599,5349,Gansu,China,2020-03-10,125.0,2.0
3600,5350,Gansu,China,2020-03-11,127.0,2.0
3601,5351,Gansu,China,2020-03-12,127.0,2.0
3602,5352,Gansu,China,2020-03-13,127.0,2.0
3603,5353,Gansu,China,2020-03-14,129.0,2.0
3604,5354,Gansu,China,2020-03-15,133.0,2.0
3605,5355,Gansu,China,2020-03-16,133.0,2.0
3606,5356,Gansu,China,2020-03-17,133.0,2.0
3607,5357,Gansu,China,2020-03-18,133.0,2.0
3608,5358,Gansu,China,2020-03-19,134.0,2.0
3609,5359,Gansu,China,2020-03-20,134.0,2.0
3610,5360,Gansu,China,2020-03-21,134.0,2.0
3611,5361,Gansu,China,2020-03-22,136.0,2.0
3612,5362,Gansu,China,2020-03-23,136.0,2.0
3613,5363,Gansu,China,2020-03-24,136.0,2.0
3614,5364,Gansu,China,2020-03-25,136.0,2.0
3615,5365,Gansu,China,2020-03-26,136.0,2.0
3616,5366,Gansu,China,2020-03-27,136.0,2.0
3617,5367,Gansu,China,2020-03-28,136.0,2.0
