,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
3618,5401,Guangdong,China,2020-01-22,26.0,0.0
3619,5402,Guangdong,China,2020-01-23,32.0,0.0
3620,5403,Guangdong,China,2020-01-24,53.0,0.0
3621,5404,Guangdong,China,2020-01-25,78.0,0.0
3622,5405,Guangdong,China,2020-01-26,111.0,0.0
3623,5406,Guangdong,China,2020-01-27,151.0,0.0
3624,5407,Guangdong,China,2020-01-28,207.0,0.0
3625,5408,Guangdong,China,2020-01-29,277.0,0.0
3626,5409,Guangdong,China,2020-01-30,354.0,0.0
3627,5410,Guangdong,China,2020-01-31,436.0,0.0
3628,5411,Guangdong,China,2020-02-01,535.0,0.0
3629,5412,Guangdong,China,2020-02-02,632.0,0.0
3630,5413,Guangdong,China,2020-02-03,725.0,0.0
3631,5414,Guangdong,China,2020-02-04,813.0,0.0
3632,5415,Guangdong,China,2020-02-05,895.0,0.0
3633,5416,Guangdong,China,2020-02-06,970.0,0.0
3634,5417,Guangdong,China,2020-02-07,1034.0,1.0
3635,5418,Guangdong,China,2020-02-08,1095.0,1.0
3636,5419,Guangdong,China,2020-02-09,1131.0,1.0
3637,5420,Guangdong,China,2020-02-10,1159.0,1.0
3638,5421,Guangdong,China,2020-02-11,1177.0,1.0
3639,5422,Guangdong,China,2020-02-12,1219.0,1.0
3640,5423,Guangdong,China,2020-02-13,1241.0,2.0
3641,5424,Guangdong,China,2020-02-14,1261.0,2.0
3642,5425,Guangdong,China,2020-02-15,1294.0,2.0
3643,5426,Guangdong,China,2020-02-16,1316.0,2.0
3644,5427,Guangdong,China,2020-02-17,1322.0,4.0
3645,5428,Guangdong,China,2020-02-18,1328.0,4.0
3646,5429,Guangdong,China,2020-02-19,1331.0,5.0
3647,5430,Guangdong,China,2020-02-20,1332.0,5.0
3648,5431,Guangdong,China,2020-02-21,1333.0,5.0
3649,5432,Guangdong,China,2020-02-22,1339.0,5.0
3650,5433,Guangdong,China,2020-02-23,1342.0,6.0
3651,5434,Guangdong,China,2020-02-24,1345.0,6.0
3652,5435,Guangdong,China,2020-02-25,1347.0,7.0
3653,5436,Guangdong,China,2020-02-26,1347.0,7.0
3654,5437,Guangdong,China,2020-02-27,1347.0,7.0
3655,5438,Guangdong,China,2020-02-28,1348.0,7.0
3656,5439,Guangdong,China,2020-02-29,1349.0,7.0
3657,5440,Guangdong,China,2020-03-01,1349.0,7.0
3658,5441,Guangdong,China,2020-03-02,1350.0,7.0
3659,5442,Guangdong,China,2020-03-03,1350.0,7.0
3660,5443,Guangdong,China,2020-03-04,1350.0,7.0
3661,5444,Guangdong,China,2020-03-05,1351.0,7.0
3662,5445,Guangdong,China,2020-03-06,1352.0,7.0
3663,5446,Guangdong,China,2020-03-07,1352.0,7.0
3664,5447,Guangdong,China,2020-03-08,1352.0,7.0
3665,5448,Guangdong,China,2020-03-09,1352.0,8.0
3666,5449,Guangdong,China,2020-03-10,1353.0,8.0
3667,5450,Guangdong,China,2020-03-11,1356.0,8.0
3668,5451,Guangdong,China,2020-03-12,1356.0,8.0
3669,5452,Guangdong,China,2020-03-13,1356.0,8.0
3670,5453,Guangdong,China,2020-03-14,1356.0,8.0
3671,5454,Guangdong,China,2020-03-15,1360.0,8.0
3672,5455,Guangdong,China,2020-03-16,1361.0,8.0
3673,5456,Guangdong,China,2020-03-17,1364.0,8.0
3674,5457,Guangdong,China,2020-03-18,1370.0,8.0
3675,5458,Guangdong,China,2020-03-19,1378.0,8.0
3676,5459,Guangdong,China,2020-03-20,1395.0,8.0
3677,5460,Guangdong,China,2020-03-21,1400.0,8.0
3678,5461,Guangdong,China,2020-03-22,1413.0,8.0
3679,5462,Guangdong,China,2020-03-23,1415.0,8.0
3680,5463,Guangdong,China,2020-03-24,1428.0,8.0
3681,5464,Guangdong,China,2020-03-25,1433.0,8.0
3682,5465,Guangdong,China,2020-03-26,1448.0,8.0
3683,5466,Guangdong,China,2020-03-27,1456.0,8.0
3684,5467,Guangdong,China,2020-03-28,1467.0,8.0
